risk_id,risk_name,status,evidence,blocking,mitigation,residual_caveat,future_confirmation_needed
protocol_timing,protocol_timing,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
adaptive_analysis_in_frozen_universe,adaptive_analysis_in_frozen_universe,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
T3_HO_disjointness,T3_HO_disjointness,executed_from_c70_disjoint_set,Parent C70 protocol records T3-HO=1052 and T2 overlap=0; C71 consumes only the disjoint set.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
target_label_sampling_blindness,target_label_sampling_blindness,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
unique_trial_budget_contract,unique_trial_budget_contract,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
construction_eval_overlap,construction_eval_overlap,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
cache_rows_not_independent,cache_rows_not_independent,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
small_number_of_targets,small_number_of_targets,open_caveat_nonblocking_for_readiness,C71 remains conditional on nine frozen targets; target-population claim forbidden.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
physical_masking,physical_masking,physical_views_materialized,External source/key/construction/evaluation/oracle views are materialized and hashed.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
strict_source_feature_provenance,strict_source_feature_provenance,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
low_resolution_permutation,low_resolution_permutation,mitigated_in_protocol,C71 protocol requires >=4999 primary blocked permutations and reports floor/exceedances.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
bandwidth_multiple_testing,bandwidth_multiple_testing,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
reliability_not_actionability,reliability_not_actionability,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
same_label_oracle_misuse,same_label_oracle_misuse,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
conditional_cs_proxy_overclaim,conditional_cs_proxy_overclaim,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
target_population_overclaim,target_population_overclaim,mitigated_for_authorized_run,Exact CLI token supplied; C71 executes frozen-checkpoint CPU re-inference only.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
raw_cache_in_git,raw_cache_in_git,mitigated,No raw T3-HO cache is generated or committed.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
unauthorized_forward_or_training,unauthorized_forward_or_training,authorized_reinference_only,Exact C71 token supplied; forward/re-inference allowed only for frozen T3-HO CPU cache; training/GPU observed = 0.,0,Protocol amendment and blocking gates emitted before any T3-HO outcome access.,C71 remains conditional on the frozen nine-target universe and diagnostic-only.,0
