budget,repeat,target_id,labels_per_class,unique_construct_trials,unique_eval_trials,within_target_spearman,within_target_kendall_tau_proxy,pairwise_order_accuracy,median_eval_pair_margin,top1_hit,top3_hit,continuous_regret,actionability_hit_regret_le_0p02,gauge_residual_recovery,gauge_alpha
0,0,1,0,0,296,,0.0,0.5,0.038761,0.009091,0.027273,0.106604,0,0.0,0.0
0,0,2,0,0,293,,0.0,0.5,0.023217,0.007042,0.021127,0.054738,0,0.0,0.0
0,0,3,0,0,305,,0.0,0.5,0.070208,0.03125,0.091547,0.12266,0,0.0,0.0
0,0,4,0,0,315,,0.0,0.5,0.023612,0.007752,0.023256,0.082734,0,0.0,0.0
0,0,5,0,0,296,,0.0,0.5,0.011113,0.009804,0.029412,0.045024,0,0.0,0.0
0,0,6,0,0,285,,0.0,0.5,0.027757,0.009259,0.027778,0.056986,0,0.0,0.0
0,0,7,0,0,312,,0.0,0.5,0.026683,0.008929,0.026786,0.060257,0,0.0,0.0
0,0,8,0,0,294,,0.0,0.5,0.054326,0.009434,0.028302,0.127528,0,0.0,0.0
0,0,9,0,0,292,,0.0,0.5,0.040237,0.008696,0.026087,0.104594,0,0.0,0.0
0,1,1,0,0,296,,0.0,0.5,0.038761,0.009091,0.027273,0.106604,0,0.0,0.0
0,1,2,0,0,293,,0.0,0.5,0.023217,0.007042,0.021127,0.054738,0,0.0,0.0
0,1,3,0,0,305,,0.0,0.5,0.070208,0.03125,0.091547,0.12266,0,0.0,0.0
0,1,4,0,0,315,,0.0,0.5,0.023612,0.007752,0.023256,0.082734,0,0.0,0.0
0,1,5,0,0,296,,0.0,0.5,0.011113,0.009804,0.029412,0.045024,0,0.0,0.0
0,1,6,0,0,285,,0.0,0.5,0.027757,0.009259,0.027778,0.056986,0,0.0,0.0
0,1,7,0,0,312,,0.0,0.5,0.026683,0.008929,0.026786,0.060257,0,0.0,0.0
0,1,8,0,0,294,,0.0,0.5,0.054326,0.009434,0.028302,0.127528,0,0.0,0.0
0,1,9,0,0,292,,0.0,0.5,0.040237,0.008696,0.026087,0.104594,0,0.0,0.0
0,2,1,0,0,296,,0.0,0.5,0.038761,0.009091,0.027273,0.106604,0,0.0,0.0
0,2,2,0,0,293,,0.0,0.5,0.023217,0.007042,0.021127,0.054738,0,0.0,0.0
0,2,3,0,0,305,,0.0,0.5,0.070208,0.03125,0.091547,0.12266,0,0.0,0.0
0,2,4,0,0,315,,0.0,0.5,0.023612,0.007752,0.023256,0.082734,0,0.0,0.0
0,2,5,0,0,296,,0.0,0.5,0.011113,0.009804,0.029412,0.045024,0,0.0,0.0
0,2,6,0,0,285,,0.0,0.5,0.027757,0.009259,0.027778,0.056986,0,0.0,0.0
0,2,7,0,0,312,,0.0,0.5,0.026683,0.008929,0.026786,0.060257,0,0.0,0.0
0,2,8,0,0,294,,0.0,0.5,0.054326,0.009434,0.028302,0.127528,0,0.0,0.0
0,2,9,0,0,292,,0.0,0.5,0.040237,0.008696,0.026087,0.104594,0,0.0,0.0
0,3,1,0,0,296,,0.0,0.5,0.038761,0.009091,0.027273,0.106604,0,0.0,0.0
0,3,2,0,0,293,,0.0,0.5,0.023217,0.007042,0.021127,0.054738,0,0.0,0.0
0,3,3,0,0,305,,0.0,0.5,0.070208,0.03125,0.091547,0.12266,0,0.0,0.0
0,3,4,0,0,315,,0.0,0.5,0.023612,0.007752,0.023256,0.082734,0,0.0,0.0
0,3,5,0,0,296,,0.0,0.5,0.011113,0.009804,0.029412,0.045024,0,0.0,0.0
0,3,6,0,0,285,,0.0,0.5,0.027757,0.009259,0.027778,0.056986,0,0.0,0.0
0,3,7,0,0,312,,0.0,0.5,0.026683,0.008929,0.026786,0.060257,0,0.0,0.0
0,3,8,0,0,294,,0.0,0.5,0.054326,0.009434,0.028302,0.127528,0,0.0,0.0
0,3,9,0,0,292,,0.0,0.5,0.040237,0.008696,0.026087,0.104594,0,0.0,0.0
0,4,1,0,0,296,,0.0,0.5,0.038761,0.009091,0.027273,0.106604,0,0.0,0.0
0,4,2,0,0,293,,0.0,0.5,0.023217,0.007042,0.021127,0.054738,0,0.0,0.0
0,4,3,0,0,305,,0.0,0.5,0.070208,0.03125,0.091547,0.12266,0,0.0,0.0
0,4,4,0,0,315,,0.0,0.5,0.023612,0.007752,0.023256,0.082734,0,0.0,0.0
0,4,5,0,0,296,,0.0,0.5,0.011113,0.009804,0.029412,0.045024,0,0.0,0.0
0,4,6,0,0,285,,0.0,0.5,0.027757,0.009259,0.027778,0.056986,0,0.0,0.0
0,4,7,0,0,312,,0.0,0.5,0.026683,0.008929,0.026786,0.060257,0,0.0,0.0
0,4,8,0,0,294,,0.0,0.5,0.054326,0.009434,0.028302,0.127528,0,0.0,0.0
