budget,labels_per_class,repeat_count,target_count,mean_unique_construct_trials,mean_unique_eval_trials,mean_within_target_spearman,mean_kendall_tau_proxy,mean_pairwise_order_accuracy,mean_top1_hit,mean_top3_hit,mean_continuous_regret,actionability_rate_regret_le_0p02,mean_gauge_residual_recovery,endpoint_oracle_reference,few_label_sufficiency_claimed
0,0,256,9,0.0,298.666667,,0.0,0.5,0.011251,0.033507,0.084569,0.0,0.0,0.9444444444444444,0
1,1,256,9,4.0,298.666667,0.123953,0.075127,0.537564,0.025267,0.062412,0.074892,0.021267,0.061752,0.9444444444444444,0
2,2,256,9,8.0,298.666667,0.172055,0.110937,0.555469,0.034415,0.083191,0.069442,0.040799,0.082875,0.9444444444444444,0
4,4,256,9,16.0,298.666667,0.242381,0.163027,0.581514,0.043036,0.102221,0.064464,0.06684,0.117336,0.9444444444444444,0
8,8,256,9,32.0,298.666667,0.30747,0.212133,0.606066,0.050749,0.123617,0.056633,0.099392,0.17053,0.9444444444444444,0
12,12,256,9,48.0,298.666667,0.363349,0.255806,0.627903,0.065205,0.152593,0.051907,0.123698,0.217091,0.9444444444444444,0
16,16,256,9,64.0,298.666667,0.395768,0.280245,0.640123,0.067479,0.174825,0.050366,0.139757,0.245307,0.9444444444444444,0
24,24,256,9,96.0,298.666667,0.455068,0.328022,0.664011,0.099042,0.213071,0.045921,0.203993,0.302037,0.9444444444444444,0
32,32,256,9,128.0,298.666667,0.484355,0.351015,0.675508,0.112399,0.248198,0.042775,0.258247,0.336799,0.9444444444444444,0
48,48,256,9,192.0,298.666667,0.528023,0.387682,0.693841,0.170262,0.30292,0.038832,0.347656,0.389145,0.9444444444444444,0
64,64,256,9,254.222222,298.666667,0.55075,0.406221,0.703111,0.236762,0.290885,0.036392,0.434028,0.423187,0.9444444444444444,0
full-construction,full-construction,1,9,277.333333,298.666667,0.557457,0.409962,0.704981,0.222222,0.333333,0.036904,0.444444,0.43452,0.9444444444444444,0
