budget,role,labels_counted_as,checkpoint_scaled_cost_allowed,status
8,primary,unique_target_trial_ids_per_class,0,locked_not_executed
64,primary,unique_target_trial_ids_per_class,0,locked_not_executed
full-construction,primary,unique_target_trial_ids_per_class,0,locked_not_executed
0,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
1,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
2,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
4,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
12,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
16,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
24,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
32,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
48,secondary_descriptive,unique_target_trial_ids_per_class,0,locked_not_executed
