object,path,sha256,row_count,status
engineering_result_json,oaci/reports/C84L1C_ENGINEERING_CANARY_RESULT.json,5bcccf351704c427d148ca1f44de26ef7e0b137d8de56aa0cf9ca3f6723abaf5,NA,PASS
engineering_result_markdown,oaci/reports/C84L1C_ENGINEERING_CANARY_RESULT.md,fd9d67519b61fc9a33740c58f31cf044ffcbadcd74c40ce70b8d9e023869b7ab,NA,PASS
engineering_result_sidecar,oaci/reports/C84L1C_ENGINEERING_CANARY_RESULT.sha256,935751e82dde1de2a02feb7422b86599cadbf3366a6ea6a16f985fdc4d3f12a8,1,PASS
authorization_record,oaci/reports/C84L1C_PI_AUTHORIZATION_RECORD_V2.json,e287b40028ff9dc5373498b65f7316a443661de3e6548c23a456bedba40848fd,NA,PASS
squeue_snapshot,oaci/reports/C84L1C_JOB_896066_SQUEUE_SNAPSHOT.json,8968881aec7d87d77989efc83f6591979be417b9cfc8373535f67bf9f13066be,NA,PASS
artifact_count_replay,oaci/reports/c84l1c_tables/artifact_count_replay.csv,41c2f9786631af911bd6e40d5ecdc7d829e55d193f83faa1bbb3e93d3b3d19dc,15,PASS
artifact_replay,oaci/reports/c84l1c_tables/artifact_replay.csv,2d5927e255d41cfc0b685b9174782cef768ff9d1cb29f21d8b67499306be07d0,243,PASS
authorization_lock_replay,oaci/reports/c84l1c_tables/authorization_lock_replay.csv,adee26105b23c81fbd47dbeb18aaafb0b4f996e6b09b0ff194cb8d6528f013c0,8,PASS
complete_gate,oaci/reports/c84l1c_tables/complete_gate.csv,f54198f4565e2b2b0298f2ce0374312c13d9fe9fa913cf56b3e43d993ecb9a77,5,PASS
dataset_support_replay,oaci/reports/c84l1c_tables/dataset_support_replay.csv,515d9bb4043153497bf6efc15eaa4ceebb6cf386c27ef5f65749a7c781221d2d,3,PASS
external_artifact_manifest,oaci/reports/c84l1c_tables/external_artifact_manifest.csv,c89402817699fe3c12920613521b0f883e5fc74f9490b1c6609bdbe10999de73,6,PASS
failure_and_retry_ledger,oaci/reports/c84l1c_tables/failure_and_retry_ledger.csv,e76b1c1b1d4f373c240a6cb535e7294a9a2f2a4df7b9cf168a1eaa20599f549a,2,PASS
job_resource_ledger,oaci/reports/c84l1c_tables/job_resource_ledger.csv,5d42edbed1b9553d6b0755138b9a279947ff79e73e3c8ce8dd737cd7feb53fbf,1,PASS
target_label_isolation,oaci/reports/c84l1c_tables/target_label_isolation.csv,cac7c782d37951ba305caf4c706d8baff74e1c2db60e01b50839de970ffaa130,9,PASS
warning_ledger,oaci/reports/c84l1c_tables/warning_ledger.csv,fec00be0689f060a5bab66620b728683898b61578f8746bdcdff52343c89a0d6,2,PASS
focused_stdout,/home/infres/yinwang/CMI_AAAI/c84l1c_regression_logs/c84l1c-regression-896121.out,75790fcc18b0de173dfe3531473b2a493d48157eabd3f24cb217e4b88976ee52,NA,PASS
C65_stdout,/home/infres/yinwang/CMI_AAAI/c84l1c_regression_logs/c84l1c-regression-896122.out,c5379c5c0ba79192ee8aad4a307fd26324594dc52f3c23d4deb358bfbce2a3e7,NA,PASS
C23_stdout,/home/infres/yinwang/CMI_AAAI/c84l1c_regression_logs/c84l1c-regression-896123.out,1f906dc6a533d6fd40ab5da70478f5ccb05ed834887dd7cbdb63c822a7c289d2,NA,PASS
full_stdout,/home/infres/yinwang/CMI_AAAI/c84l1c_regression_logs/c84l1c-regression-896124.out,d14bc0d53ff97ea495d9de778cbf4ffee1578226e91aa6cbce659b75dea02a52,NA,PASS
all_regression_stderr,4_external_log_files,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4_empty_files,PASS
