check_id,check,observed,status,blocking
RT01,result_schema,c84l1c_engineering_canary_result_v1,PASS,0
RT02,final_gate,C84L1C_COMPLETE_ENGINEERING_REPLAY_PASSED_C84FL2_REVIEW_REQUIRED,PASS,0
RT03,execution_base_commit,60dd725026559f880dde71907eb69773d51961d9,PASS,0
RT04,direct_authorization_record_present,e287b40028ff9dc5373498b65f7316a443661de3e6548c23a456bedba40848fd,PASS,0
RT05,authorization_consumed,c11e73fd1be1264dd61719d3f149142ebe5e9cd442b621a2fda220fae0417552,PASS,0
RT06,authorization_bound_to_C84L1C_V2,true,PASS,0
RT07,historical_authorization_reused,false,PASS,0
RT08,failed_partial_artifacts_reused,false,PASS,0
RT09,C84F_authorized,false,PASS,0
RT10,C84S_authorized,false,PASS,0
RT11,repair_protocol_hash,2e199f6f63dffd1b02c1e31102ed189e31bf6e4961465394230f8e9de1d4ddf0,PASS,0
RT12,canary_protocol_V2_hash,6e6bcb6b60726c76c8db0afc48e954d0e4a1cf68bfd29796987bfd6828355616,PASS,0
RT13,execution_lock_V2_hash,f9ebd88c72915bb41ba2d2d84a2a00c6748272021d48043c299bce52a1ad3813,PASS,0
RT14,runtime_bound_objects,125_of_125,PASS,0
RT15,protocol_bindings,5_of_5,PASS,0
RT16,candidate_unit_digest,db0c41a8caeb7d0fffd6938554c660eec36582596f12915b8b981c05bc092b95,PASS,0
RT17,montage_digest,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,PASS,0
RT18,intervention_registry_digest,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,PASS,0
RT19,candidate_units,243_of_243,PASS,0
RT20,training_phases,9_of_9,PASS,0
RT21,checkpoint_replay,243_of_243,PASS,0
RT22,optimizer_replay,243_of_243,PASS,0
RT23,sidecar_replay,243_of_243,PASS,0
RT24,strict_source_artifacts,243_of_243,PASS,0
RT25,target_unlabeled_artifacts,243_of_243,PASS,0
RT26,all_artifact_byte_hash_replays,1215_of_1215,PASS,0
RT27,Lee_fixed_deletion,subject_31_x_left_hand_50_rows,PASS,0
RT28,Cho_fixed_deletion,subject_17_x_left_hand_100_rows,PASS,0
RT29,Physionet_fixed_deletion,subject_103_x_left_hand_22_rows,PASS,0
RT30,post_deletion_support_cells,23_of_24_all_datasets,PASS,0
RT31,minimum_retained_support,Lee_50_Cho_100_Physionet_21_ge_8,PASS,0
RT32,paired_model_initialization,3_datasets_all_units,PASS,0
RT33,accepted_level0_plan_replay,3_datasets_all_units,PASS,0
RT34,max_in_memory_linear_replay,1.0967254638671875e-05_le_2e-05,PASS,0
RT35,max_persisted_linear_replay,3.337860107421875e-06_le_2e-05,PASS,0
RT36,max_softmax_replay,0_le_1e-06,PASS,0
RT37,max_repeat_logits_replay,0_le_1e-06,PASS,0
RT38,max_repeat_z_replay,0_le_1e-06,PASS,0
RT39,target_y_access,0,PASS,0
RT40,target_label_fields,0,PASS,0
RT41,training_target_rows,0,PASS,0
RT42,training_target_labels,0,PASS,0
RT43,source_audit_rows_used_in_training,0,PASS,0
RT44,target_outcome_retention,0,PASS,0
RT45,target_outcome_retry,0,PASS,0
RT46,target_scientific_metrics,0,PASS,0
RT47,construction_evaluation_oracle_access,0,PASS,0
RT48,forbidden_scientific_outputs,absent,PASS,0
RT49,Cho_loader_notices,17_disclosed_nonblocking,PASS,0
RT50,traceback_or_runtime_failure_markers,0,PASS,0
RT51,historical_failed_job,895928_preserved_nonreusable,PASS,0
RT52,replacement_retry_count,0,PASS,0
RT53,complete_manifest_hash,3cf1366ccf40efc82a6bb2ffef56045e83c0f0e9670429973f23252371ad1c18,PASS,0
RT54,partial_manifest_hash,91eb2226a66489daeb017ac342ed12b113b4c06b34345cf0baafdb5935ea3dc5,PASS,0
RT55,attempt_ledger_hash,611bef2f9c6acd75867a3dae8fc032d50c5545895c207c8a0aba1469425dc8fd,PASS,0
RT56,external_root_identity,1219_files_361627353_bytes,PASS,0
RT57,scheduler_evidence,squeue_only_sacct_not_used,PASS,0
RT58,focused_regression,183_passed,PASS,0
RT59,C65_regression,669_passed_1_skipped_3_deselected,PASS,0
RT60,C23_regression,1080_passed_1_skipped_3_deselected,PASS,0
RT61,full_regression,2004_passed_1_skipped_3_deselected,PASS,0
RT62,all_regression_stderr,0_bytes,PASS,0
RT63,skip_and_deselection_reasons,explicit_and_nonconcealing,PASS,0
RT64,active_C84L1C_jobs,0_by_squeue,PASS,0
RT65,C84F_and_C84S_execution_locks,absent,PASS,0
RT66,Git_raw_weight_cache_payload,absent,PASS,0
RT67,Git_max_tracked_file,21936073_bytes_lt_50MiB,PASS,0
RT68,verification_repository_identity,branch_oaci_HEAD_equals_origin_ffdd7504d6fb0a31f8ad619f590cd7bbe4a3b4b8_clean,PASS,0
