dataset,unit_id,regime,epoch,trajectory_order,checkpoint_sha256,optimizer_sha256,sidecar_sha256,source_audit_sha256,target_unlabeled_sha256,Wz_plus_b_max_error,persisted_linear_max_error,softmax_max_error,repeat_logits_max_error,repeat_z_max_error,status
Cho2017,c84l1_017484469b67c502df30c6e010d6fb00,OACI,29,6,5bd6851d29736503f04b14476acd8af8926cf9c1fa70979593104d509faf78c0,c7b22c36f58a48f453685b2b95b1cb87d24b1f6b131733fe790241ff0ba45762,1a07e2712062b062d30ba0f863673dbaef1ede25a78b07187ef3190ba62a34d1,366f45348f58f79c9918e7147075bd7ad18db5c3878aa217a16f4b4b31ef0f91,6ac275af6c4417dadc082f570d3c4917307917df347adbca3b52b01cdccdff97,2.384185791015625e-06,9.5367431640625e-07,0.0,0.0,0.0,PASS
Cho2017,c84l1_0709b12f70bb9372be917d4533a93313,OACI,139,28,ef4dbe3a58b53c67920f022f61df67f985653abdf73548d0f64acfeac33e1b82,6c287bdddb393307af864fc17234e48741ba9b19c33533d687f648d74064b9d5,e707946e6bcf8ce6d13c5dc1f24d7904ff5909fccba754498b5cdc0332669010,e83521d0afa2f3a93a05d5b0db7cea31cb899dfb93f7ef8caeb1f753fcf2d152,7ca9d343d9efced952f6fbac5b225d24378ac785b0d13ae3876bde0d336eb87a,2.0265579223632812e-06,8.046627044677734e-07,0.0,0.0,0.0,PASS
Cho2017,c84l1_0a1eb6f54a8470f2c74f4ae31f2e6567,OACI,179,36,243e629200902b89fc2b64ec06fb8824ac4bc019024098abf984abe73c4eb42f,d6f78d16bfda334c6f21800fe55e1bb25017974b04ffde741ba69223fd584f43,38cf4106034b21894e4dc6ba0e04aa4ecdcacee886bb70cb5b360b6d23c0ec68,dceef85fc64f76b90c01085655ec168aff84b264cf20f76096c217227e5b7077,5bb670b197ab423ac3cecc397d273bee718176fb5c9e8e46a3b5142f3bce522e,1.6689300537109375e-06,7.152557373046875e-07,0.0,0.0,0.0,PASS
Cho2017,c84l1_0acd832b91566629fa75cdbb8050fc00,SRC,39,8,93773097425408149c13c56dfb5c503c4ad26b9b13ab5c6547de8a361e9fc9a8,74dd51f39ec5c4239ac48c4af5d6298833c3715f10b6180f0af25dfc5dbf8f44,8bfe424a330f07c5f5c10c644d89f24da37d7cd449efb9354661f499dcefbff9,f5579b8a67285425659ed1f651ee8e039693fae53ad4052d0c77c90c100e2d03,195941294570d173cb78abd52594b4582ad9b3382a32dd4c8ed031a78802d086,2.8014183044433594e-06,1.6689300537109375e-06,0.0,0.0,0.0,PASS
Cho2017,c84l1_0c30e1c2be7495fb98f79060617952f0,SRC,174,35,2271ac19486f3a85a70ee9229df8e3744ca90641fa30c317278160e36f0f817f,38a46cb9f339635e2ed73e0352cea4fb211b71b73f946369f27633001d637eef,ad37264acbcf28f4c454fc602c749854e45b04322cef543dec4aa54b5d8771a5,18b647977e9e269ece7d7397b9318252aee60fd6db91e7f06049809cab978049,25da453381dfb283a8a157c8f6273891b8e7d2f4138dd8f468235eb5785620dd,5.4836273193359375e-06,2.7418136596679688e-06,0.0,0.0,0.0,PASS
Cho2017,c84l1_11a6fb77194cf4e01c5bc86d8a4a69b2,SRC,164,33,a39de71c784ef80e859b3d2d9924aecb3925a95755c26904393e2c3b7fa0c338,483d4a8799d951858861572bd2626a9bfa71493f96174f10e4e9eda312f6ff2a,a28fcbba87c4ed959037af3a50f1344ac18a16e4d67d3ca54795717a19452733,6bcaa28fcb20050c49e0ec45c491b1fa9b921facca6dedd64e9d1a38ddc43a9a,b85cac4e094492615055504513b903dbcfbe708e7e592f1123af00f409329082,7.62939453125e-06,2.384185791015625e-06,0.0,0.0,0.0,PASS
Cho2017,c84l1_12c78e295b4675ceadb5da6f14fe817b,OACI,144,29,80a955b8623be6bbbfbaa751d8b414c83af99a2f722bc7cd56d2c96879406e46,dcfe0bebc97733ab28995fcd9f933460f6d9253bdbcc23eaeba1e78de0b36db4,b03b4901f14f3c064026742cd0be3e48ccd9e6e739988664eece2f3bdc18ec55,b92d2fb7d954ac94144c2edd4c0f5d459613244d3c970e47d2fd105c1159fd31,da48a869fcf95d1462a6cf230a2860a1bbe95d6df2fbdfdab4271af38099c7cc,1.7881393432617188e-06,7.152557373046875e-07,0.0,0.0,0.0,PASS
Cho2017,c84l1_13e822d895b2cadcbab6d7b6109bd2d6,SRC,114,23,28d3b9b2364819af5e1cd646a0f3851757f990b7436ecc211cbba14388e6f0e1,3890153d8d63dad6ed63c28c139ae1f932ba1cda10a95f38dde92ed78a3eebe4,46b42682105456bb8aa2850ddd56abba3eb663ced94cf34d30bd7631ded2d53d,df6b80c7d7c655cb9afdc51cd6bbbb58dbb9ebe268cb2129542c90c8ad1bd64c,2fd0c9baaa91f7b5a2664525a4d1458e2216bf6250f817b67a11652773ba0479,5.7220458984375e-06,2.1457672119140625e-06,0.0,0.0,0.0,PASS
Cho2017,c84l1_1af81c80fdb49936e659032fc3c372e1,OACI,69,14,1a052bde3b26c1529014411d65af7d56df0f9f507c45a675c7adf4b2aee61d04,f0de9fe9b4d8b25ce6ad0e42bf5737b6e2421af36cbb6cba91a7f08684cea693,765c9c1b5b0eb996d5d05c60a46af80caf15b9531e198ab3355a3d3e15b5f007,001d17b98f9b8a3dcf9f10f4d5d5049f79b047f250ed98e34d96f9493b1df547,03f857b5537eadf3ee76eea068bb117e4c330f0942eea805843a95f2fab54e7e,1.1920928955078125e-06,7.152557373046875e-07,0.0,0.0,0.0,PASS
Cho2017,c84l1_1c23258f2ad93e79ffeb13eeddf03f65,SRC,99,20,57c8311147c36a5a3bb638088507ff60c39b18180ed285a32530c519b2c8ddd6,dc08d48fc1ca9fdce98c6f5c68eedd1b060a678e6c75e54d739774a1d0119628,a8a2d91844001d2b70696e188b7428db1e39dc9523c5f32fdf2adf68bc212021,c0c0449f94db18ce9666cc048590fc79111a13b21903edb103eb73bee7391563,b8a17b0b87bdf8c76f0b9e357bf3d02eb68ac4b2c055ab778c697081aa71a7f2,6.9141387939453125e-06,1.9073486328125e-06,0.0,0.0,0.0,PASS
