unit_id,seed,target,level,regime,selected_order,better_order,store_exists,selection_design_available,selection_fold_plan_available,selection_bootstrap_plan_available,support_graph_available,selected_source_train_feature_available,better_source_train_feature_available,feature_availability_checked_by_worker,target_labels_loaded_for_replay
s0_t001_l000,0,1,0,S0_full_support,15,16,1,1,1,1,1,1,1,1,0
s0_t001_l001,0,1,1,S0_full_support,14,13,1,1,1,1,1,,1,1,0
s0_t002_l000,0,2,0,S0_full_support,2,1,1,1,1,1,1,,1,1,0
s0_t002_l001,0,2,1,S0_full_support,0,1,1,1,1,1,1,,1,1,0
s0_t003_l000,0,3,0,S0_full_support,0,1,1,1,1,1,1,,1,1,0
s0_t003_l001,0,3,1,S0_full_support,4,10,1,1,1,1,1,,1,1,0
s0_t004_l001,0,4,1,S0_full_support,2,1,1,1,1,1,1,,1,1,0
s0_t005_l000,0,5,0,S0_full_support,19,18,1,1,1,1,1,,1,1,0
s0_t006_l001,0,6,1,S0_full_support,20,19,1,1,1,1,1,,1,1,0
s0_t007_l001,0,7,1,S0_full_support,5,0,1,1,1,1,1,,1,1,0
s0_t008_l000,0,8,0,S0_full_support,17,15,1,1,1,1,1,,1,1,0
s0_t009_l000,0,9,0,S0_full_support,19,18,1,1,1,1,1,,1,1,0
s0_t009_l001,0,9,1,S0_full_support,12,13,1,1,1,1,1,,1,1,0
s1_t001_l000,1,1,0,S0_full_support,6,5,1,1,1,1,1,,1,1,0
s1_t001_l001,1,1,1,S0_full_support,16,15,1,1,1,1,1,,1,1,0
s1_t002_l000,1,2,0,S0_full_support,18,17,1,1,1,1,1,,1,1,0
s1_t002_l001,1,2,1,S0_full_support,2,1,1,1,1,1,1,,1,1,0
s1_t003_l000,1,3,0,S0_full_support,8,11,1,1,1,1,1,,1,1,0
s1_t003_l001,1,3,1,S0_full_support,11,3,1,1,1,1,1,1,1,1,0
s1_t005_l001,1,5,1,S0_full_support,17,16,1,1,1,1,1,,1,1,0
s1_t006_l000,1,6,0,S0_full_support,18,17,1,1,1,1,1,,1,1,0
s1_t006_l001,1,6,1,S0_full_support,6,5,1,1,1,1,1,,1,1,0
s1_t007_l001,1,7,1,S0_full_support,15,14,1,1,1,1,1,,1,1,0
s1_t008_l000,1,8,0,S0_full_support,15,14,1,1,1,1,1,,1,1,0
s1_t008_l001,1,8,1,S0_full_support,21,20,1,1,1,1,1,,1,1,0
s1_t009_l001,1,9,1,S0_full_support,14,16,1,1,1,1,1,,1,1,0
s2_t001_l001,2,1,1,S0_full_support,1,0,1,1,1,1,1,,1,1,0
s2_t002_l001,2,2,1,S0_full_support,0,1,1,1,1,1,1,,1,1,0
s2_t003_l000,2,3,0,S0_full_support,15,16,1,1,1,1,1,,1,1,0
s2_t003_l001,2,3,1,S0_full_support,5,4,1,1,1,1,1,,1,1,0
s2_t004_l000,2,4,0,S0_full_support,23,21,1,1,1,1,1,,1,1,0
s2_t004_l001,2,4,1,S0_full_support,14,12,1,1,1,1,1,,1,1,0
s2_t005_l000,2,5,0,S0_full_support,17,15,1,1,1,1,1,,1,1,0
s2_t006_l000,2,6,0,S0_full_support,21,20,1,1,1,1,1,,1,1,0
s2_t007_l000,2,7,0,S0_full_support,20,18,1,1,1,1,1,,1,1,0
s2_t007_l001,2,7,1,S0_full_support,19,18,1,1,1,1,1,,1,1,0
s2_t008_l000,2,8,0,S0_full_support,10,11,1,1,1,1,1,,1,1,0
s2_t009_l001,2,9,1,S0_full_support,29,23,1,1,1,1,1,1,1,1,0
