candidate_count,effective_multiplicity,top_gap,association_strength,transport_heterogeneity,label_budget,cell_id,replicates,association_detection_rate,mean_local_excess_r2,median_incremental_R2,median_trajectory_incremental_R2,transport_qualification_rate,mean_positive_regimes,mean_positive_trajectories,mean_top1_increment,mean_regret_reduction,actionability_qualification_rate,association_detection_count,transport_qualification_count,actionability_qualification_count
40,20,0.03,0.0,0.75,128,syn_00250ca8fbc2d2cd,400,0.03,-0.0002309895047216186,-0.0004760985314281041,-0.00029464728206099466,0.0,1.115,0.7175,0.0004629629629629629,-0.0018350505122044852,0.0,12,0,0
40,2,0.03,0.0,1.5,128,syn_003a82b2d2ebd469,400,0.0225,0.00028927411673708924,-0.0004055063475935464,-0.00029966422501975787,0.0,1.165,0.67,0.0006944444444444445,-0.0010761999147962077,0.0,9,0,0
20,20,0.01,0.0,0.75,32,syn_00962b1a057773c6,400,0.0425,0.0006854712652975538,-0.007530669752090824,-0.010000458464818479,0.0,0.7525,0.3575,-0.009351851851851853,-0.0018638888888888893,0.0,17,0,0
40,20,0.01,0.0,1.5,8,syn_01077c1c67583e05,400,0.0175,0.00039041047516153967,-0.00042218893629325516,-0.00027817040962005435,0.0,1.1375,0.7275,-0.00023148148148148154,-0.002548869719643672,0.0,7,0,0
40,20,0.01,0.5,1.5,128,syn_028fdea1c05b65ae,400,1.0,0.16011795883473504,0.11544008770416406,0.11839548364635072,0.8925,2.89,1.9925,0.3850462962962963,0.4750171011504222,0.82,400,357,328
40,20,0.01,0.0,0.75,32,syn_05e0a82787365682,400,0.0375,-9.354796490159291e-06,-0.0004099612791080842,-0.00023850697253854913,0.0,1.2175,0.76,-9.259259259259259e-05,0.001351176362831324,0.0,15,0,0
80,8,0.01,0.2,0.0,128,syn_0625a60f8583aae4,400,1.0,0.10630684800330706,0.11259368444665613,0.11230867282793272,1.0,3.0,2.0,0.18337962962962961,0.6111213512153255,0.9975,400,400,399
20,2,0.01,0.0,0.75,32,syn_066d6d65de442ad3,400,0.025,0.0005187011123601238,-0.0008832265235315477,-0.0005495818009368936,0.0,1.12,0.695,-0.0010185185185185184,-0.0010493150907695064,0.0,10,0,0
40,20,0.03,0.2,1.5,128,syn_06e7b90bbb1a9a1c,400,1.0,0.0713052343208192,0.05308088729439005,0.055262570332000854,0.815,2.845,1.9825,0.1515277777777778,0.17254268732378286,0.7025,400,326,281
80,8,0.03,0.2,0.0,128,syn_075a4361ea5b7d14,400,1.0,0.10677272246411337,0.11251222513818879,0.11267334936884138,1.0,3.0,2.0,0.18439814814814817,0.6064091996895123,0.995,400,400,398
