metric,reported,replayed,match
final_gate,LOCAL_NONLINEAR_MEASUREMENT_NONTRANSPORTABLE,LOCAL_NONLINEAR_MEASUREMENT_NONTRANSPORTABLE,1
strict_source_effect,0.23414362161678998,0.23414362161678998,1
strict_source_worst_p,0.054,0.054,1
strict_source_incremental_R2,-0.042482786177298726,-0.042482786177298726,1
target_unlabeled_effect,0.23772458460697768,0.23772458460697768,1
target_unlabeled_incremental_R2,-0.011040783959737399,-0.011040783959737399,1
target_unlabeled_positive_targets,4,4,1
conditioning_pooled,0.031216548003705068,0.031216548003705068,1
conditioning_within_target,0.24176337706853065,0.24176337706853065,1
conditioning_target_trajectory,0.5871835805550271,0.5871835805550271,1
