scope,field,dtype,information_class,required
checkpoint,dataset,string,metadata,1
checkpoint,target_subject,int,group_key,1
checkpoint,source_subjects,list[int],strict_source_metadata,1
checkpoint,seed,int,metadata,1
checkpoint,regime,enum,metadata,1
checkpoint,epoch_step,int_pair,metadata,1
checkpoint,checkpoint_hash,sha256,metadata,1
checkpoint,config_hash,sha256,metadata,1
checkpoint,code_commit,git_sha,metadata,1
checkpoint,optimizer_state_hash,sha256,training_trace,1
checkpoint,training_loss_components,map[float],strict_source_training_trace,1
checkpoint,source_audit_metrics,map[float],strict_source,1
checkpoint,support_leakage_metrics,map[float],diagnostic_measurement,1
checkpoint,checkpoint_genealogy,parent_hash,metadata,1
strict_source_trial_view,"unit_id,source_subject,trial_id,source_label,logits,probabilities,prediction,z,Wz,Wz_plus_b,class_margins",registered_schema,strict_source,1
target_unlabeled_trial_view,"unit_id,target_subject,trial_id,logits,probabilities,prediction,z,Wz,Wz_plus_b,class_margins",registered_schema,target_unlabeled,1
target_construction_view,"unit_id,target_subject,trial_id,target_label,split_id",registered_schema,target_label_construction,1
target_evaluation_view,"unit_id,target_subject,trial_id,target_label,split_id",registered_schema,target_label_evaluation,1
same_label_oracle_view,"unit_id,target_subject,trial_id,target_label,endpoints",registered_schema,same_label_oracle,1
trajectory_trace_view,"unit_id,epoch,source_metrics,representation_summaries,registered_leakage_atoms,genealogy",registered_schema,strict_source_training_trace,1
