artifact,field_order,field,type_contract,target_label_or_derived,source_label_allowed,required
complete_target_unlabeled,0,unit_id,scalar_or_row_key,0,0,1
complete_target_unlabeled,1,dataset,scalar_or_row_key,0,0,1
complete_target_unlabeled,2,panel,scalar_or_row_key,0,0,1
complete_target_unlabeled,3,training_seed,scalar_or_row_key,0,0,1
complete_target_unlabeled,4,level,scalar_or_row_key,0,0,1
complete_target_unlabeled,5,regime,scalar_or_row_key,0,0,1
complete_target_unlabeled,6,epoch,scalar_or_row_key,0,0,1
complete_target_unlabeled,7,trajectory_order,scalar_or_row_key,0,0,1
complete_target_unlabeled,8,target_subject_id,scalar_or_row_key,0,0,1
complete_target_unlabeled,9,target_trial_id,scalar_or_row_key,0,0,1
complete_target_unlabeled,10,session,scalar_or_row_key,0,0,1
complete_target_unlabeled,11,run,scalar_or_row_key,0,0,1
complete_target_unlabeled,12,logits,numeric_array,0,0,1
complete_target_unlabeled,13,probabilities,numeric_array,0,0,1
complete_target_unlabeled,14,z,numeric_array,0,0,1
complete_target_unlabeled,15,Wz_plus_b,numeric_array,0,0,1
complete_target_unlabeled,16,classifier_weight,numeric_array,0,0,1
complete_target_unlabeled,17,classifier_bias,numeric_array,0,0,1
