artifact,field_order,field,type_contract,target_label_or_derived,source_label_allowed,required
model_field_manifest,0,unit_id,scalar_or_row_key,0,0,1
model_field_manifest,1,dataset,scalar_or_row_key,0,0,1
model_field_manifest,2,panel,scalar_or_row_key,0,0,1
model_field_manifest,3,training_seed,scalar_or_row_key,0,0,1
model_field_manifest,4,level,scalar_or_row_key,0,0,1
model_field_manifest,5,regime,scalar_or_row_key,0,0,1
model_field_manifest,6,epoch,scalar_or_row_key,0,0,1
model_field_manifest,7,trajectory_order,scalar_or_row_key,0,0,1
model_field_manifest,8,checkpoint_path,scalar_or_row_key,0,0,1
model_field_manifest,9,checkpoint_sha256,scalar_or_row_key,0,0,1
model_field_manifest,10,optimizer_path,scalar_or_row_key,0,0,1
model_field_manifest,11,optimizer_sha256,scalar_or_row_key,0,0,1
model_field_manifest,12,sidecar_path,scalar_or_row_key,0,0,1
model_field_manifest,13,sidecar_sha256,scalar_or_row_key,0,0,1
model_field_manifest,14,source_audit_path,scalar_or_row_key,0,0,1
model_field_manifest,15,source_audit_sha256,scalar_or_row_key,0,0,1
model_field_manifest,16,model_state_hash,scalar_or_row_key,0,0,1
model_field_manifest,17,parent_ERM_model_state_hash,scalar_or_row_key,0,0,1
model_field_manifest,18,previous_trajectory_model_state_hash,scalar_or_row_key,0,0,1
model_field_manifest,19,reuse_provenance,scalar_or_row_key,0,0,1
model_field_manifest,20,checkpoint_replay_pass,scalar_or_row_key,0,0,1
model_field_manifest,21,optimizer_replay_pass,scalar_or_row_key,0,0,1
model_field_manifest,22,sidecar_replay_pass,scalar_or_row_key,0,0,1
model_field_manifest,23,source_audit_replay_pass,scalar_or_row_key,0,0,1
model_field_manifest,24,training_target_rows,scalar_or_row_key,0,0,1
model_field_manifest,25,training_target_labels,scalar_or_row_key,0,0,1
model_field_manifest,26,source_audit_rows_used_in_training,scalar_or_row_key,0,0,1
model_field_manifest,27,target_outcome_retention,scalar_or_row_key,0,0,1
model_field_manifest,28,target_outcome_retry,scalar_or_row_key,0,0,1
