scope,resource,estimate,unit,hard_or_planning_envelope,within_envelope,basis
C84C_measured,calendar_and_GPU_time,1.771944,hours,250.0,1,C84C_job_895441_measured_and_scope_arithmetic
C84F_remaining,linear_training_GPU_time,12.403611,hours,250.0,1,C84C_job_895441_measured_and_scope_arithmetic
C84_complete,linear_training_GPU_time,14.175556,hours,250.0,1,C84C_job_895441_measured_and_scope_arithmetic
C84C_measured,external_root,361267953,bytes,2199023255552,1,C84C_job_895441_measured_and_scope_arithmetic
C84_complete,model_state_source_artifacts,1138648128,bytes,2199023255552,1,C84C_job_895441_measured_and_scope_arithmetic
C84_complete,all_target_instrumentation_projection,49036391984,bytes,2199023255552,1,C84C_job_895441_measured_and_scope_arithmetic
C84_complete,derived_projection,50175040112,bytes,2199023255552,1,C84C_job_895441_measured_and_scope_arithmetic
C84F,raw_download_cache_upper_bound,193273528320,bytes,2199023255552,1,C84C_job_895441_measured_and_scope_arithmetic
C84_complete,download_plus_derived_projection,243448568432,bytes,2199023255552,1,C84C_job_895441_measured_and_scope_arithmetic
C84F,CPU_manifest_replay,76464,candidate_context_slices,76464,1,C84C_job_895441_measured_and_scope_arithmetic
C84F_remaining,candidate_units,1701,units,1701,1,C84C_job_895441_measured_and_scope_arithmetic
C84_complete,candidate_units,1944,units,1944,1,C84C_job_895441_measured_and_scope_arithmetic
