unit_id,dataset,canary_target_subject_id,canary_target_path,canary_target_sha256,historical_scope,complete_dataset_target_subjects,complete_target_artifact_reusable,C84F_all_target_subset_replay_required,trial_ID_and_numerical_identity_required
c84v2_6a3c564f2e54713057ad9c7cc5e67126,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_6a3c564f2e54713057ad9c7cc5e67126.npz,613f4d2a54b78de4ce0c6a36221e76586c17546725e2c6d4a86faeddb7839513,one_target_subject_slice,22,0,1,1
c84v2_d2b388b46c8b30ff927c6938252392e1,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_d2b388b46c8b30ff927c6938252392e1.npz,62592f626a143e06071cd0d15256c753221d5a07ba25e63d6f4745d12cbd070d,one_target_subject_slice,22,0,1,1
c84v2_47113118d42ff78374237776adc4aa10,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_47113118d42ff78374237776adc4aa10.npz,48608fd4024aaad6250ca03215ffd13bf4990c427d13301e00f58943d41add01,one_target_subject_slice,22,0,1,1
c84v2_be45de5a3ca99235f2d9bb0a36766a20,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_be45de5a3ca99235f2d9bb0a36766a20.npz,2262e04bd1f473b526d7930e44a8bd3fef0334235607a3a8c63d25fab7704f94,one_target_subject_slice,22,0,1,1
c84v2_164c7d6b8a677fad4ec7e97930ff3b96,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_164c7d6b8a677fad4ec7e97930ff3b96.npz,732b16a9ec27dcf742ee91190c666d204d12d942fe57c856d2a25c254266bfc1,one_target_subject_slice,22,0,1,1
c84v2_39eb6d1671a9f8d85fc2b030ffe0fe35,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_39eb6d1671a9f8d85fc2b030ffe0fe35.npz,5f447b271478248259c753d53a6c44147522171451c62e88719f6e885c0acf84,one_target_subject_slice,22,0,1,1
c84v2_a365ba3ef502d4e1dc9deb08f06a2023,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_a365ba3ef502d4e1dc9deb08f06a2023.npz,6b18b0a9b91712a10031664566959e4c074dc84938a23a775a241d6273093611,one_target_subject_slice,22,0,1,1
c84v2_fb07305cfed7feb61b7b2ce6ae17262f,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_fb07305cfed7feb61b7b2ce6ae17262f.npz,a730332833482305b9b4e41ad0888c0df44abc9c4c9a05067f8ea63100b24871,one_target_subject_slice,22,0,1,1
c84v2_def7990a4244d6d3a198b4b90a2a4836,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_def7990a4244d6d3a198b4b90a2a4836.npz,939876d69e20cd2cf3dc2e01ad0a7d8d745fb44a3983d09f22a852fbc4f44206,one_target_subject_slice,22,0,1,1
c84v2_8074a6b1b9e576311b54a3b4da79e95c,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_8074a6b1b9e576311b54a3b4da79e95c.npz,e7590545d15af6fd67e3325d1adfa136a7035dd4b98f567748d419678957b23f,one_target_subject_slice,22,0,1,1
c84v2_4fea141169bfb7e2bb9887c7f96c55f3,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_4fea141169bfb7e2bb9887c7f96c55f3.npz,d79fe274ca940d6161f03fba71adaaaeae5cf70d14d865d94eaba7cae35fe71b,one_target_subject_slice,22,0,1,1
c84v2_c86443af27fcc6b583d01789172d78a8,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_c86443af27fcc6b583d01789172d78a8.npz,b62ebd4357e0b1f6ae8ec603ba5ea4a91a6de2a1e5d34d4efeb638540b110614,one_target_subject_slice,22,0,1,1
c84v2_1708df6d469593eeead0a04d8a79f7cf,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_1708df6d469593eeead0a04d8a79f7cf.npz,2b1522f8da97e7f5936134b28257cfb4d11c6912e1d5159fd54206227fb5a5cf,one_target_subject_slice,22,0,1,1
c84v2_ff9e1d555bb9072d64668a8309e319ad,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_ff9e1d555bb9072d64668a8309e319ad.npz,f0637e013a9657788f1d794264781a9771fef68c71b2f8a7394c50ee06ca2f35,one_target_subject_slice,22,0,1,1
c84v2_9e4bcc71115681d6f28489cb0df6216c,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_9e4bcc71115681d6f28489cb0df6216c.npz,16b44c7058b5469ffbdc1594481b6ad38df9ae8b67009856fff81e3ea348cfca,one_target_subject_slice,22,0,1,1
c84v2_8a7754c2784a247c88f6f009b218f1a6,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_8a7754c2784a247c88f6f009b218f1a6.npz,8d9b5a3f14440f93a5e8e2d8bacb0326162e70e5501f9ca65ffa379748e0bd2d,one_target_subject_slice,22,0,1,1
c84v2_fe702de6fd7774ab52c51bd246ae5b28,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_fe702de6fd7774ab52c51bd246ae5b28.npz,a04fbd314086e5793f4e2466e3eea1757e7c5ce2da76d101e55f5d9d00ca588c,one_target_subject_slice,22,0,1,1
c84v2_afbe9805afe72dd15edd0cde66267775,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_afbe9805afe72dd15edd0cde66267775.npz,275b44245d31989ee2918d51e800dc2c843308b68bf5c6dcaa5e1df9e4b48558,one_target_subject_slice,22,0,1,1
c84v2_6a3322654b529c9ee6669c2daecbb711,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_6a3322654b529c9ee6669c2daecbb711.npz,ea66e1cb7afb6cf039fbb9c8b5a43b6ea2c812ede2c383c2480814aa1879c9d5,one_target_subject_slice,22,0,1,1
c84v2_99aced3b32675991c7ec82c6c622670e,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_99aced3b32675991c7ec82c6c622670e.npz,faf3863947b2cb52dc19dcfa65f8fddd831900bef46da735e6857d0692b06d00,one_target_subject_slice,22,0,1,1
c84v2_973f80e21b350382951e66e61d5ab2cc,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_973f80e21b350382951e66e61d5ab2cc.npz,63e4b39f844b805ef81ae486a8866cd3c575636f7cc3cd3e4c3fa57b93bc501a,one_target_subject_slice,22,0,1,1
c84v2_60a779d1e52df64ea0d2bf4ef39bf460,Lee2019_MI,19,/projects/EEG-foundation-model/yinghao/oaci-c84-canary-v4/lock_c198607fb9e46ea2353f/Lee2019_MI/target_unlabeled/c84v2_60a779d1e52df64ea0d2bf4ef39bf460.npz,ac992240b333baa25ba3b77b9ba7007f07af22e929ad67e1eeb89c5f70e49d3a,one_target_subject_slice,22,0,1,1
