unit_id,dataset,panel,training_seed,level,regime,epoch,trajectory_order,interface_id,montage_sha256,wave,wave_order,reuse_C84C_model_state_source_audit,train_in_C84F,target_subject_contexts,complete_target_artifact_required
c84v2_ccd04b77c83cd3a5e8e72f287e8a49e9,Lee2019_MI,A,5,1,ERM,199,0,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_ff8ed82a4af349f3204cbc7766554434,Lee2019_MI,A,5,1,OACI,4,1,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_ae86b9fa1e4783d37226a00e18a6ffce,Lee2019_MI,A,5,1,OACI,9,2,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_838b0da4525b0aa55069a408837dac94,Lee2019_MI,A,5,1,OACI,14,3,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_18a1c61d575ccf5fb6705fbfb64856ff,Lee2019_MI,A,5,1,OACI,19,4,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_b69e0aeff5cfb8ebd66df1bab49853a9,Lee2019_MI,A,5,1,OACI,24,5,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_233c35d0b2dc72fb4106917a872e3385,Lee2019_MI,A,5,1,OACI,29,6,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_2bf939562fc9096671464ea4ba955854,Lee2019_MI,A,5,1,OACI,34,7,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_4e0984e28bd2c1e721955ff26da20b05,Lee2019_MI,A,5,1,OACI,39,8,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
c84v2_6f94a0fc76d589f324c542f67dac0b71,Lee2019_MI,A,5,1,OACI,44,9,C84_LEFT_RIGHT_20CH_160HZ_0_3S_V2,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,A,1,0,1,22,1
