sequence,stage,append_only,authorization_SHA,lock_SHA,attempt_ID,artifact_SHA_when_applicable,failure_last_stage
0,PREFLIGHT_STARTED,1,1,1,1,1,0
1,PREFLIGHT_COMPLETED,1,1,1,1,1,0
2,AUTHORIZATION_CONSUMED,1,1,1,1,1,0
3,EXACT_SCENARIOS_STARTED,1,1,1,1,1,0
4,EXACT_SCENARIOS_COMPLETED,1,1,1,1,1,0
5,MONTE_CARLO_STARTED,1,1,1,1,1,0
6,MONTE_CARLO_COMPLETED,1,1,1,1,1,0
7,PROOF_CANDIDATES_STARTED,1,1,1,1,1,0
8,PROOF_CANDIDATES_COMPLETED,1,1,1,1,1,0
9,MANIFEST_STARTED,1,1,1,1,1,0
10,MANIFEST_COMPLETED,1,1,1,1,1,0
11,ATOMIC_PUBLISH_COMPLETED,1,1,1,1,1,0
12,FAILED,1,1,1,1,1,1
