artifact,field,dtype,length_per_array,logical_rows,exact_reload_required
S6_replicates.npz,replicate_id,uint16,4096,4096,1
S6_replicates.npz,selected_action,uint16,4096,4096,1
S6_replicates.npz,top1,uint8,4096,4096,1
S6_replicates.npz,outside_A_epsilon,uint8,4096,4096,1
S6_replicates.npz,selection_regret,float64,4096,4096,1
S7_replicates.npz,replicate_id,uint16,4096,4096,1
S7_replicates.npz,selected_action,uint16,4096,4096,1
S7_replicates.npz,top1,uint8,4096,4096,1
S7_replicates.npz,outside_A_epsilon,uint8,4096,4096,1
S7_replicates.npz,selection_regret,float64,4096,4096,1
S9_replicates.npz,replicate_id_per_design,uint16,4096,8192,1
S9_replicates.npz,selected_action_per_design,uint8,4096,8192,1
S9_replicates.npz,correct_best_per_design,uint8,4096,8192,1
S9_replicates.npz,top2_coverage_per_design,uint8,4096,8192,1
S9_replicates.npz,selection_regret_per_design,float64,4096,8192,1
S9_replicates.npz,D_hat_per_design,float64,4096,8192,1
S9_replicates.npz,paired_endpoint_arrays,float64,4096,8192,1
