dataset,backbone,seed,fold,alpha,env,intervention,task_drop,domain_gain,n_env,tgt_bacc_full,tgt_bacc_eras,skip,fail
Lee2019_MI,EEGNet,0,1,0.5,subject,identity,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,subject,leace,0.00666445066614596,0.49584905660377354,53,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,0.5,subject,rlace,0.01550659181825842,0.3905660377358491,53,0.745,0.8,,
Lee2019_MI,EEGNet,0,1,0.5,subject,tos_vd,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,subject,tp_leace,0.00019076688286912002,0.4024528301886793,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,subject,alpha_leace,-0.0003774036876470488,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,subject,random_k,0.0,0.0,53,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,subject,oracle_nuisance_DIAGNOSTIC,0.007792531650995915,0.48226415094339625,53,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,0.5,oracle,identity,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,oracle,leace,0.00666445066614596,0.49584905660377354,3,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,0.5,oracle,rlace,0.01550659181825842,0.3905660377358491,3,0.745,0.8,,
Lee2019_MI,EEGNet,0,1,0.5,oracle,tos_vd,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,oracle,tp_leace,0.00019076688286912002,0.4024528301886793,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,oracle,alpha_leace,-0.0003774036876470488,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,oracle,random_k,0.0,0.0,3,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,oracle,oracle_nuisance_DIAGNOSTIC,0.007792531650995915,0.48226415094339625,3,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,0.5,covariance_cluster,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,covariance_cluster,leace,0.00666445066614596,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,0.5,covariance_cluster,rlace,0.01550659181825842,0.3905660377358491,8,0.745,0.8,,
Lee2019_MI,EEGNet,0,1,0.5,covariance_cluster,tos_vd,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,covariance_cluster,tp_leace,0.00019076688286912002,0.4024528301886793,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,covariance_cluster,alpha_leace,-0.0003774036876470488,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,covariance_cluster,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,covariance_cluster,oracle_nuisance_DIAGNOSTIC,0.007792531650995915,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,0.5,margin_cluster,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,margin_cluster,leace,0.00666445066614596,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,0.5,margin_cluster,rlace,0.01550659181825842,0.3905660377358491,8,0.745,0.8,,
Lee2019_MI,EEGNet,0,1,0.5,margin_cluster,tos_vd,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,margin_cluster,tp_leace,0.00019076688286912002,0.4024528301886793,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,margin_cluster,alpha_leace,-0.0003774036876470488,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,margin_cluster,random_k,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,margin_cluster,oracle_nuisance_DIAGNOSTIC,0.007792531650995915,0.48226415094339625,8,0.745,0.7849999999999999,,
Lee2019_MI,EEGNet,0,1,0.5,augmentation_shift,identity,0.0,0.0,8,0.745,0.745,,
Lee2019_MI,EEGNet,0,1,0.5,augmentation_shift,leace,0.00666445066614596,0.49584905660377354,8,0.745,0.78,,
Lee2019_MI,EEGNet,0,1,0.5,augmentation_shift,rlace,0.01550659181825842,0.3905660377358491,8,0.745,0.8,,
Lee2019_MI,EEGNet,0,1,0.5,augmentation_shift,tos_vd,0.0,0.0,8,0.745,0.745,,
