dataset,backbone,seed,fold,alpha,env,intervention,task_drop,domain_gain,n_env,tgt_bacc_full,tgt_bacc_eras,skip,fail
Cho2017,EEGNet,0,1,0.5,subject,identity,0.0,0.0,51,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,subject,leace,0.013449519230769202,0.4959302325581395,51,0.64,0.71,,
Cho2017,EEGNet,0,1,0.5,subject,rlace,0.0025360576923076916,0.40600775193798455,51,0.64,0.675,,
Cho2017,EEGNet,0,1,0.5,subject,tos_vd,0.0,0.0,51,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,subject,tp_leace,-0.00019230769230771383,0.15174418604651163,51,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,subject,alpha_leace,-0.0003906250000000888,0.0,51,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,subject,random_k,0.0,0.0,51,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,subject,oracle_nuisance_DIAGNOSTIC,0.0025300480769230305,0.47984496124031006,51,0.64,0.6699999999999999,,
Cho2017,EEGNet,0,1,0.5,oracle,identity,0.0,0.0,3,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,oracle,leace,0.013449519230769202,0.4959302325581395,3,0.64,0.71,,
Cho2017,EEGNet,0,1,0.5,oracle,rlace,0.0025360576923076916,0.40600775193798455,3,0.64,0.675,,
Cho2017,EEGNet,0,1,0.5,oracle,tos_vd,0.0,0.0,3,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,oracle,tp_leace,-0.00019230769230771383,0.15174418604651163,3,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,oracle,alpha_leace,-0.0003906250000000888,0.0,3,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,oracle,random_k,0.0,0.0,3,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,oracle,oracle_nuisance_DIAGNOSTIC,0.0025300480769230305,0.47984496124031006,3,0.64,0.6699999999999999,,
Cho2017,EEGNet,0,1,0.5,covariance_cluster,identity,0.0,0.0,8,0.64,0.64,,
Cho2017,EEGNet,0,1,0.5,covariance_cluster,leace,0.013449519230769202,0.4959302325581395,8,0.64,0.71,,
Cho2017,EEGNet,0,1,0.5,covariance_cluster,rlace,0.0025360576923076916,0.40600775193798455,8,0.64,0.675,,
