tag,rotation,subject_nll,subject_accuracy_diagnostic,pairwise_subject_auc,pairwise_subject_margin
random,0,1.4626061956591592,0.5059880239520959,0.91043467572951,0.7142647041806153
random,1,1.324133081998261,0.5454545454545454,0.9339470195539755,0.7495609527187688
random,2,1.4397330997582378,0.5344827586206896,0.922948628349326,0.729391564748117
random,3,1.4308515299308462,0.5175438596491229,0.9196061971707868,0.7306665240653923
random,4,1.4021706583678464,0.5398230088495575,0.9196297300441536,0.7266526938016925
random,5,1.3326121328465936,0.5710144927536231,0.918932033959034,0.7258616841697533
random,6,1.2077135091610915,0.6094674556213018,0.9317619724752906,0.7541061317814248
random,7,1.2092442004753337,0.6193353474320241,0.9456207987758304,0.7736390749258655
random,8,1.1326541520975821,0.6129032258064516,0.9560761850504014,0.7828377825873238
random,9,1.3547234432415816,0.5425219941348973,0.9257116426400973,0.730950306568827
released,0,0.1966544350303335,0.9640718562874252,0.9998789587605377,0.9710787885955402
released,1,0.18071518763166777,0.9794721407624634,1.0,0.9635098448821476
released,2,0.22844512530794947,0.9712643678160919,0.998634416451207,0.9499009358031409
released,3,0.23430171829131716,0.9649122807017544,0.9994478603415132,0.958720937371254
released,4,0.23283455489605837,0.9646017699115044,0.9994500517598343,0.964341014623642
released,5,0.2962358572743024,0.9565217391304348,0.9949644529350528,0.9489391499332019
released,6,0.26051867964745584,0.9615384615384616,0.9978246494824446,0.9574182980826923
released,7,0.28682230006890846,0.9516616314199395,0.9959638473654492,0.9533718089972224
released,8,0.16248607556239547,0.9912023460410557,1.0,0.9649802446365356
released,9,0.15538861718144206,0.9824046920821115,0.9999572795625428,0.968512916139194
H200_s0,0,0.39218220606358506,0.9041916167664671,0.9958865668373634,0.9136641451290676
H200_s0,1,0.6518306013924938,0.8269794721407625,0.9872645127495755,0.8879055556442056
H200_s0,2,0.6793223570120864,0.8045977011494253,0.9826230920942715,0.8728302174380848
H200_s0,3,0.5746702353128091,0.8070175438596491,0.9897984778412964,0.8920070358685085
H200_s0,4,0.47908545666418856,0.8731563421828908,0.9927277662763323,0.9048570575458663
H200_s0,5,0.4840562750218505,0.8666666666666667,0.9904531437827254,0.9017387138945716
H200_s0,6,0.3634179501547932,0.8905325443786982,0.9979055218201642,0.9171785031046186
H200_s0,7,0.418993828227217,0.8882175226586103,0.9948035379735474,0.9149012299520629
H200_s0,8,0.5459340404522613,0.8533724340175953,0.9863541568893048,0.8917800315788814
H200_s0,9,0.37211379233844694,0.9149560117302052,0.9982981625317765,0.9294234418443271
H200_s1,0,0.4838374197160301,0.8892215568862275,0.9883883129233266,0.8994830272027424
H200_s1,1,0.554144097483322,0.8709677419354839,0.9835805517835505,0.885248068187918
H200_s1,2,0.7805665964133288,0.8132183908045977,0.9719934291815594,0.8474733808210918
H200_s1,3,0.5822459229622562,0.8391812865497076,0.9903395768700838,0.8875638842582703
H200_s1,4,0.573091963416994,0.855457227138643,0.9854206683374915,0.8870985816631999
H200_s1,5,0.5648874288765214,0.8463768115942029,0.9854770246712252,0.8911508194037846
H200_s1,6,0.469040747067129,0.8668639053254438,0.9892637058860372,0.8964617050119809
H200_s1,7,0.6175927177945091,0.8459214501510574,0.9839618852171796,0.8817752738084111
H200_s1,8,0.5591245409582599,0.8651026392961877,0.9879856940450422,0.893550595002515
H200_s1,9,0.401842648475306,0.906158357771261,0.9950670332054131,0.9155611033950534
H500_s0,0,0.3055101013298426,0.9221556886227545,0.9985279249259512,0.9404847888009888
H500_s0,1,0.2958873414331359,0.9442815249266863,0.9979806854091751,0.9410771440182414
H500_s0,2,0.401586416569017,0.9080459770114943,0.9947964119078045,0.9216913846986634
H500_s0,3,0.42601966326868457,0.9064327485380117,0.9929109303644487,0.917970780815397
H500_s0,4,0.39608674357398144,0.9056047197640118,0.9942610529912166,0.9252042344638279
H500_s0,5,0.3777182715957873,0.9217391304347826,0.9929638201234311,0.9288516933364528
