tag,source_val_kappa,source_val_nll,source_val_balanced_accuracy,source_val_weighted_f1,target_test_kappa,target_test_nll,target_test_balanced_accuracy,target_test_weighted_f1,primary_metric,downstream_seeds_averaged,task_gate_pass
random,0.5844120816187628,0.8162936038016697,0.6233220316383384,0.6703096792241677,0.5313710267086881,0.883216421956153,0.5817384842504445,0.6268976183531522,target_test_kappa,3,False
released,0.7478906407367704,0.5738817917119936,0.77792221792749,0.8031785076686454,0.6910443230088184,0.6422377777981924,0.7300432737986298,0.7576949783997071,target_test_kappa,3,True
H200_s0,0.5794930962279852,0.8822065906764816,0.6290988200373232,0.6731930288345688,0.44705850157142957,1.0702013494744846,0.5304253509698514,0.5643516339057791,target_test_kappa,3,False
H200_s1,0.524179916561959,0.9563703230514794,0.5558028724453908,0.6107440700520932,0.40017362142955315,1.0961139480431157,0.4672358451148807,0.5020254663792598,target_test_kappa,3,False
H500_s0,0.6961873061730861,0.6829402837375143,0.7338815800435393,0.7615844678252797,0.5891964468699671,0.8315588648193963,0.6441713761324397,0.6783989476266576,target_test_kappa,3,True
H500_s1,0.6783013983322759,0.7240170065220959,0.718341479175155,0.7433500231044997,0.5399502855801868,0.9151456361253375,0.6095995719456468,0.6331994108405334,target_test_kappa,3,True
H1000_s0,0.7060419278110497,0.6564474073515236,0.7475375223227908,0.7719965793165544,0.5853609323465054,0.8356250109622745,0.6589497157418605,0.6751615538845729,target_test_kappa,3,True
H1000_s1,0.7165674956687685,0.6255046132469418,0.7505230034711415,0.7782414415029442,0.6256688484360907,0.7380969688971157,0.6730126488296542,0.7053338733280559,target_test_kappa,3,True
H2000_s0,0.7133664035064742,0.6492093685791173,0.7485556516420283,0.7766354582613892,0.6091783951014966,0.7970282155814172,0.6684243673524868,0.6941167093925528,target_test_kappa,3,True
H2000_s1,0.7214533456242409,0.6193643728004924,0.75783575252328,0.7823812014944608,0.6377932279126566,0.7349669374822642,0.6884517571561326,0.7158281816666792,target_test_kappa,3,True
