tag,rotation,projection_overlap_rank4,subject_heldout_captured_energy,task_heldout_captured_energy,subspace_stable
random,0,0.1285489045630445,0.3613408798174934,0.5683168466213977,True
random,1,0.12789538878720555,0.34903908029968256,0.5914839605436708,True
random,2,0.15086181177980165,0.3445926786925052,0.5972185937202602,True
random,3,0.16887498734723316,0.38091176558775647,0.5945025511262296,True
random,4,0.12901314553626012,0.3454905076849861,0.5704853726824883,True
random,5,0.13950048672109425,0.3414255707380287,0.6001982752752276,True
random,6,0.1261631575288712,0.39191583867852164,0.6285266950489499,True
random,7,0.1304175937526174,0.3440082687284356,0.6309622886272317,True
random,8,0.12592977371133812,0.3684397289298929,0.5946518760799233,True
random,9,0.14607686266517017,0.37710009050868276,0.5800615431358025,True
released,0,0.025540590717629895,0.34011807638146546,0.44842873093583885,True
released,1,0.023662318592274592,0.33209291303247507,0.44347025193270456,True
released,2,0.022726602370829418,0.30386795914898496,0.4103715662969991,True
released,3,0.022794432489934773,0.30969249489451733,0.42126058007298767,True
released,4,0.02439890327728277,0.3459202086586998,0.4090063769880924,True
released,5,0.02075277525353627,0.34974224711977175,0.41057535170947557,True
released,6,0.019458575552709176,0.36687627762182917,0.4090713928057146,True
released,7,0.0271888146643814,0.374294806820739,0.4070077712240058,True
released,8,0.028299207309778723,0.4057657490059128,0.4799242540967064,True
released,9,0.023334913014762773,0.39497429133467044,0.46710725707817286,True
H200_s0,0,0.05061189585731041,0.49944283396857214,0.5946893699815852,True
H200_s0,1,0.052006984341542536,0.477391492538222,0.622685455599968,True
H200_s0,2,0.056687276102803164,0.44729071860097924,0.6048099567574644,True
H200_s0,3,0.05806619936635604,0.4525174292204983,0.6004505333903554,True
H200_s0,4,0.06046547106900398,0.496550900979181,0.5877606306227487,True
H200_s0,5,0.05654328244407604,0.5065768286192162,0.5980573212534956,True
H200_s0,6,0.05914181682786761,0.5182157214321632,0.6017004699703907,True
H200_s0,7,0.06485355885317207,0.5127832983301059,0.5954839846227793,True
H200_s0,8,0.06355866627040117,0.5404505291001961,0.6155472832012034,True
H200_s0,9,0.05139669504075506,0.5487471762875384,0.5865896383894902,True
H1000_s0,0,0.01937854558940188,0.3868830172853789,0.5055297020813898,True
H1000_s0,1,0.022639258996129383,0.3749802204303647,0.49562831413996367,True
H1000_s0,2,0.02152573754462069,0.3328216477400214,0.4790922670324999,True
H1000_s0,3,0.0238441553607368,0.35419552966215206,0.49107556772932426,True
H1000_s0,4,0.02277303910417834,0.3836359577326146,0.4931481465114286,True
H1000_s0,5,0.016778543809456363,0.4106205430015567,0.49845341431522006,True
H1000_s0,6,0.015122629304610453,0.4023349997297746,0.49304077178836847,True
H1000_s0,7,0.027416516930767368,0.41597838322931413,0.4836167956690455,True
H1000_s0,8,0.027315910900212924,0.4694825124219075,0.5556147787947809,True
H1000_s0,9,0.02085831220947541,0.44145284098716026,0.5417631550463542,True
H2000_s0,0,0.019748794975603355,0.3369399407491874,0.4805172284593099,True
H2000_s0,1,0.02173636449914196,0.3317508514254757,0.46364682801122703,True
H2000_s0,2,0.019642702215700476,0.3075845880034457,0.43291905278076637,True
H2000_s0,3,0.023257615950537026,0.31460900345352166,0.4486190499376702,True
H2000_s0,4,0.0234945781605622,0.3392439725403643,0.4700048376884608,True
H2000_s0,5,0.019843111371765157,0.34588508387664196,0.47745826338757297,True
H2000_s0,6,0.016365821828161528,0.35735303950230646,0.4592265880114187,True
H2000_s0,7,0.024515426763676202,0.39229329064557145,0.44592408238402337,True
H2000_s0,8,0.02629824563814554,0.4350457493746382,0.531852474519551,True
H2000_s0,9,0.019833783870777888,0.39097556299996516,0.5160839312859644,True
