tag,omitted_test_subject,baseline_kappa,subject_erased_kappa,subject_delta_kappa,null_delta_kappa_mean,subject_minus_null_kappa,empirical_one_sided_p
released,1,0.6850550950328227,0.6442951643574809,0.04075993067534178,0.014464849726950588,0.026295080948391194,0.009950248756218905
released,2,0.7020153085768017,0.6648221176726931,0.037193190904108664,0.013211013213182741,0.02398217769092592,0.004975124378109453
released,3,0.6854933803245581,0.6503432472354533,0.03515013308910475,0.012499707225241128,0.02265042586386362,0.014925373134328358
released,4,0.6976258477975417,0.6539088759009832,0.04371697189655843,0.01318703072813101,0.030529941168427423,0.004975124378109453
released,5,0.6800804133823205,0.6399031248419598,0.040177288540360734,0.013354105277713081,0.026823183262647654,0.009950248756218905
released,6,0.7018675032620059,0.6761376186419252,0.025729884620080634,0.013253032487118031,0.012476852132962603,0.0945273631840796
released,7,0.6826254196889362,0.6440553815842691,0.03857003810466708,0.012301555499541256,0.026268482605125827,0.009950248756218905
released,8,0.6799580181583272,0.6366806873622032,0.04327733079612406,0.012915066869738251,0.03036226392638581,0.009950248756218905
released,9,0.7022618233140712,0.6655898703861765,0.03667195292789471,0.014342047241917885,0.022329905685976828,0.014925373134328358
released,10,0.6919862203604701,0.654957452938125,0.037028767422345066,0.011349647616488134,0.02567911980585693,0.009950248756218905
H500_s0,1,0.5869402566283457,0.4983153435129335,0.08862491311541221,0.013618126051082528,0.07500678706432967,0.004975124378109453
H500_s0,2,0.6157583117991549,0.5274815821700426,0.08827672962911226,0.01376448764271398,0.07451224198639828,0.004975124378109453
H500_s0,3,0.5939769143445515,0.5142279690772164,0.07974894526733511,0.011968496183243178,0.06778044908409193,0.004975124378109453
H500_s0,4,0.5923849438326859,0.5084807800355889,0.08390416379709698,0.011723144837730244,0.07218101895936674,0.004975124378109453
H500_s0,5,0.5823436976086319,0.4974228149202321,0.08492088268839981,0.011655443739034202,0.07326543894936562,0.004975124378109453
H500_s0,6,0.5896574251636675,0.5302171563885785,0.05944026877508901,0.013580119715294364,0.045860149059794644,0.009950248756218905
H500_s0,7,0.5743463672857696,0.5009292629246644,0.07341710436110516,0.011846758675333828,0.06157034568577133,0.004975124378109453
H500_s0,8,0.5654387697645625,0.5150008828011907,0.050437886963371814,0.012630650706750146,0.03780723625662167,0.004975124378109453
H500_s0,9,0.5916124360154489,0.5088474561297684,0.08276497988568043,0.01326054401184313,0.06950443587383731,0.004975124378109453
H500_s0,10,0.5977325660831241,0.5143197227594065,0.08341284332371757,0.010970220533838528,0.07244262278987904,0.004975124378109453
H500_s1,1,0.5445651172500672,0.5053509148539652,0.03921420239610196,0.013201546621381288,0.026012655774720672,0.029850746268656716
H500_s1,2,0.5557103404173419,0.5103082328433877,0.04540210757395424,0.0140096007392598,0.03139250683469444,0.014925373134328358
H500_s1,3,0.5523953203434342,0.5186484915161603,0.03374682882727387,0.013016203564148983,0.020730625263124886,0.03482587064676617
H500_s1,4,0.5412271020443264,0.5110373691475041,0.030189732896822363,0.012463314722534306,0.017726418174288057,0.07960199004975124
H500_s1,5,0.5291791731528386,0.49566238888454095,0.03351678426829763,0.013479893716396303,0.020036890551901325,0.06467661691542288
H500_s1,6,0.5607576208047487,0.5344194931173569,0.026338127687391744,0.014988922098743983,0.01134920558864776,0.1691542288557214
H500_s1,7,0.5178214383003694,0.4869029686931967,0.030918469607172705,0.011874418703790085,0.01904405090338262,0.06467661691542288
