path,kernel,bandwidth_factor,statistic,association,median_target_association,positive_targets,worst_required_global_p,required_nulls_passing_0.05,required_null_count
strict_source,rbf,0.5,normalized_alignment,0.026768950189218054,0.006683679859406039,6,1.0,0,6
strict_source,rbf,0.5,centered_hsic,0.21995448301848863,0.21611376669148494,9,0.374,4,6
strict_source,rbf,1.0,normalized_alignment,-0.013294172732278115,-0.023823070036838638,2,1.0,0,6
strict_source,rbf,1.0,centered_hsic,0.20911650050884187,0.1997170302743211,9,0.922,1,6
strict_source,rbf,2.0,normalized_alignment,-0.03603430265959559,-0.03896384192195529,0,1.0,0,6
strict_source,rbf,2.0,centered_hsic,0.1955737676315708,0.19114755697158625,9,1.0,0,6
strict_source,laplacian,0.5,normalized_alignment,0.009103853655378443,-0.00810601092890506,4,1.0,0,6
strict_source,laplacian,0.5,centered_hsic,0.23107203198929646,0.22986263699781823,9,0.084,5,6
strict_source,laplacian,1.0,normalized_alignment,-0.014465679806498362,-0.02516623397696305,2,1.0,0,6
strict_source,laplacian,1.0,centered_hsic,0.23414362161678998,0.22369430377960867,9,0.054,5,6
strict_source,laplacian,2.0,normalized_alignment,-0.029215406758532333,-0.03465753015817954,1,1.0,0,6
strict_source,laplacian,2.0,centered_hsic,0.23155542495587772,0.2214803669367646,9,0.076,5,6
target_unlabeled,rbf,0.5,normalized_alignment,0.04371843745043181,0.034910153424436555,6,1.0,0,6
target_unlabeled,rbf,0.5,centered_hsic,0.21978189311950092,0.20717335612485652,9,0.38,4,6
target_unlabeled,rbf,1.0,normalized_alignment,-0.003356552704091697,-0.010294944933981831,4,1.0,0,6
target_unlabeled,rbf,1.0,centered_hsic,0.21309575962242258,0.20984595136758366,9,0.784,3,6
target_unlabeled,rbf,2.0,normalized_alignment,-0.03338910538474357,-0.033918360377404866,0,1.0,0,6
target_unlabeled,rbf,2.0,centered_hsic,0.2011744541765282,0.2020267625835863,9,1.0,0,6
target_unlabeled,laplacian,0.5,normalized_alignment,0.025581955933512198,0.015047931402938652,5,1.0,0,6
target_unlabeled,laplacian,0.5,centered_hsic,0.23603112752992755,0.2180176882535382,9,0.04,6,6
target_unlabeled,laplacian,1.0,normalized_alignment,-0.003998056233301587,-0.012073256754948596,4,1.0,0,6
target_unlabeled,laplacian,1.0,centered_hsic,0.23772458460697768,0.21904969856089201,9,0.03,6,6
target_unlabeled,laplacian,2.0,normalized_alignment,-0.02379821118140038,-0.028729474312239135,1,1.0,0,6
target_unlabeled,laplacian,2.0,centered_hsic,0.23385503555919518,0.2204982187527013,9,0.056,5,6
