path,kernel,bandwidth_factor,statistic,fold_scaling,bandwidth_selection,null_reselects_bandwidth,global_family
strict_source,rbf,0.5,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,rbf,0.5,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,rbf,1.0,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,rbf,1.0,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,rbf,2.0,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,rbf,2.0,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,laplacian,0.5,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,laplacian,0.5,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,laplacian,1.0,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,laplacian,1.0,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,laplacian,2.0,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
strict_source,laplacian,2.0,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,rbf,0.5,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,rbf,0.5,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,rbf,1.0,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,rbf,1.0,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,rbf,2.0,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,rbf,2.0,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,laplacian,0.5,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,laplacian,0.5,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,laplacian,1.0,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,laplacian,1.0,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,laplacian,2.0,normalized_alignment,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
target_unlabeled,laplacian,2.0,centered_hsic,outer_training_fold_zscore,outer_training_fold_median_pairwise_distance,1,1
