null,replicate,max_statistic,family_size
N1_target_block,0,0.221435702731812,24
N1_target_block,1,0.20285995745507135,24
N1_target_block,2,0.2234154806574269,24
N1_target_block,3,0.23538554159207742,24
N1_target_block,4,0.2130568889870042,24
N1_target_block,5,0.21589085182657694,24
N1_target_block,6,0.21353083869411732,24
N1_target_block,7,0.20474507315495022,24
N1_target_block,8,0.2062468258961806,24
N1_target_block,9,0.21240196094156566,24
N1_target_block,10,0.2137125969904159,24
N1_target_block,11,0.21203131524100613,24
N1_target_block,12,0.21098445892169113,24
N1_target_block,13,0.19676036600592034,24
N1_target_block,14,0.2092975867961504,24
N1_target_block,15,0.21315631525029255,24
N1_target_block,16,0.20593789491110182,24
N1_target_block,17,0.20926256599942195,24
N1_target_block,18,0.22076500092630702,24
N1_target_block,19,0.20844990691371112,24
N1_target_block,20,0.2255628924520263,24
N1_target_block,21,0.20078737142199354,24
N1_target_block,22,0.2152130630658612,24
N1_target_block,23,0.21288672116131105,24
N1_target_block,24,0.21956799394343846,24
N1_target_block,25,0.2167375771742139,24
N1_target_block,26,0.2087628372020824,24
N1_target_block,27,0.22613317182502726,24
N1_target_block,28,0.20660287972780378,24
N1_target_block,29,0.21112543122829106,24
N1_target_block,30,0.20754164581030485,24
N1_target_block,31,0.2036790446883195,24
N1_target_block,32,0.21368423097489675,24
N1_target_block,33,0.21516684393799718,24
N1_target_block,34,0.19949142950404541,24
N1_target_block,35,0.21624360044830876,24
N1_target_block,36,0.19982391042845965,24
N1_target_block,37,0.20103369188913497,24
N1_target_block,38,0.21769899722033131,24
N1_target_block,39,0.21912198726063728,24
N1_target_block,40,0.20718015185996574,24
N1_target_block,41,0.21080765868966314,24
N1_target_block,42,0.21913904229561382,24
N1_target_block,43,0.20948110136699416,24
N1_target_block,44,0.20330761807395792,24
N1_target_block,45,0.2063401990234808,24
N1_target_block,46,0.23697393243098608,24
N1_target_block,47,0.21889517254246452,24
N1_target_block,48,0.21511127583916517,24
N1_target_block,49,0.21660028448294144,24
N1_target_block,50,0.22855451233510513,24
N1_target_block,51,0.21391675823719802,24
N1_target_block,52,0.23010717693059426,24
N1_target_block,53,0.20216269008582627,24
N1_target_block,54,0.20160515800220485,24
N1_target_block,55,0.2156351717939179,24
N1_target_block,56,0.21659241980722263,24
N1_target_block,57,0.2179020977758491,24
N1_target_block,58,0.21748144801394867,24
N1_target_block,59,0.20378513142648888,24
N1_target_block,60,0.22519241484556587,24
N1_target_block,61,0.20316188155511844,24
N1_target_block,62,0.20214595582934272,24
N1_target_block,63,0.21888517011527509,24
N1_target_block,64,0.2178199197559965,24
N1_target_block,65,0.22440063746569214,24
N1_target_block,66,0.23213828721255517,24
N1_target_block,67,0.2175519380289768,24
N1_target_block,68,0.2191622025125166,24
N1_target_block,69,0.21562429852920761,24
N1_target_block,70,0.21478622784467682,24
N1_target_block,71,0.20396924910760417,24
N1_target_block,72,0.22229918450383368,24
N1_target_block,73,0.20269090776937512,24
N1_target_block,74,0.22025124798038864,24
N1_target_block,75,0.20434375489799364,24
N1_target_block,76,0.2082628413291579,24
N1_target_block,77,0.22959117149921532,24
N1_target_block,78,0.21202036299098198,24
N1_target_block,79,0.223635383085945,24
N1_target_block,80,0.21929433273762766,24
N1_target_block,81,0.21899173294073063,24
N1_target_block,82,0.22113872007853208,24
N1_target_block,83,0.2065811004311792,24
N1_target_block,84,0.21966325784173746,24
N1_target_block,85,0.21852042690862838,24
N1_target_block,86,0.21805588051213995,24
N1_target_block,87,0.21642961639947406,24
N1_target_block,88,0.21248974935663628,24
N1_target_block,89,0.21319964837028643,24
N1_target_block,90,0.2137868084517579,24
N1_target_block,91,0.20188654397422617,24
