orbit,replicate,path,relative_feature_l2,baseline_centered_rank,orbit_centered_rank,feature_distance_spearman
O0,0,strict_source,0.0,25,25,1.0
O0,0,target_unlabeled,0.0,20,20,1.0
O0,0,target_unlabeled_full_C75,0.0,35,35,1.0
O1,0,strict_source,0.0,25,25,1.0
O1,0,target_unlabeled,0.0,20,20,1.0
O1,0,target_unlabeled_full_C75,0.0,35,35,1.0
O1,1,strict_source,0.0,25,25,1.0
O1,1,target_unlabeled,0.0,20,20,1.0
O1,1,target_unlabeled_full_C75,0.0,35,35,1.0
O1,2,strict_source,0.0,25,25,1.0
O1,2,target_unlabeled,0.0,20,20,1.0
O1,2,target_unlabeled_full_C75,0.0,35,35,1.0
O1,3,strict_source,0.0,25,25,1.0
O1,3,target_unlabeled,0.0,20,20,1.0
O1,3,target_unlabeled_full_C75,0.0,35,35,1.0
O2,0,strict_source,0.0,25,25,1.0
O2,0,target_unlabeled,0.0,20,20,1.0
O2,0,target_unlabeled_full_C75,0.0,35,35,1.0
O2,1,strict_source,0.0,25,25,1.0
O2,1,target_unlabeled,0.0,20,20,1.0
O2,1,target_unlabeled_full_C75,0.0,35,35,1.0
O2,2,strict_source,0.0,25,25,1.0
O2,2,target_unlabeled,0.0,20,20,1.0
O2,2,target_unlabeled_full_C75,0.0,35,35,1.0
O2,3,strict_source,0.0,25,25,1.0
O2,3,target_unlabeled,0.0,20,20,1.0
O2,3,target_unlabeled_full_C75,0.0,35,35,1.0
O3,0,strict_source,0.05109201929625312,25,25,0.997428070272361
O3,0,target_unlabeled,0.050245274727963266,20,20,0.9974091406920229
O3,0,target_unlabeled_full_C75,0.05021608201189698,35,35,0.9974421680524488
O3,1,strict_source,0.047173498259447076,25,25,0.9984233938668742
O3,1,target_unlabeled,0.04648515190971204,20,20,0.9983030333569056
O3,1,target_unlabeled_full_C75,0.046458143840827026,35,35,0.9983337136623417
O3,2,strict_source,0.04873088418856172,25,25,0.9979994907432872
O3,2,target_unlabeled,0.04751721677190551,20,20,0.9984115205748046
O3,2,target_unlabeled_full_C75,0.0474896090689923,35,35,0.9984313814975367
O3,3,strict_source,0.060338774238003046,25,25,0.9976978862363779
O3,3,target_unlabeled,0.058861564113683006,20,20,0.9972163715667097
O3,3,target_unlabeled_full_C75,0.058827365297223315,35,35,0.9972560302121565
O4,0,strict_source,0.05414159865442319,25,25,0.9870506853479455
O4,0,target_unlabeled,0.052494669660679394,20,20,0.9892277525785307
O4,0,target_unlabeled_full_C75,0.05246417003669098,35,35,0.9894024626966527
O4,1,strict_source,0.05730623762668786,25,25,0.9862695932369707
O4,1,target_unlabeled,0.05619336794477366,20,20,0.9894155788147256
O4,1,target_unlabeled_full_C75,0.05616071936151679,35,35,0.9896244573451648
O4,2,strict_source,0.05514691930176645,25,25,0.985641510240074
O4,2,target_unlabeled,0.05479373909004571,20,20,0.9869999358164075
O4,2,target_unlabeled_full_C75,0.05476190369704355,35,35,0.9872572248345837
O4,3,strict_source,0.055325215361553416,25,25,0.9868185870337306
O4,3,target_unlabeled,0.05386402325422715,20,20,0.98864516220328
O4,3,target_unlabeled_full_C75,0.05383272803003818,35,35,0.9888418225502906
O5,0,strict_source,0.004017553986919641,25,25,0.9992010733849049
O5,0,target_unlabeled,0.004127807312276214,20,20,0.9992129017968725
O5,0,target_unlabeled_full_C75,0.004125409038856553,35,35,0.999229535096173
O5,1,strict_source,0.005682511933951547,25,25,0.9989749057639268
O5,1,target_unlabeled,0.005957334876641291,20,20,0.9987543798515748
O5,1,target_unlabeled_full_C75,0.005953873640007454,35,35,0.9987765116271525
O5,2,strict_source,0.006284269056108671,25,25,0.998991557101342
O5,2,target_unlabeled,0.006320493201651866,20,20,0.9988852907732316
O5,2,target_unlabeled_full_C75,0.0063168209685029045,35,35,0.998905433623098
O5,3,strict_source,0.016522008968748118,25,25,0.998964360285666
O5,3,target_unlabeled,0.015798191749557322,20,20,0.9988316109054468
O5,3,target_unlabeled_full_C75,0.015789012933666625,35,35,0.9988644886843827
O6,0,strict_source,0.015582871142675581,25,25,0.9917275350493899
O6,0,target_unlabeled,0.015312457052493771,20,20,0.9930785079455964
O6,0,target_unlabeled_full_C75,0.015303560450506203,35,35,0.9932117975356708
O6,1,strict_source,0.016639467943408384,25,25,0.9909716872161235
O6,1,target_unlabeled,0.015776719645320653,20,20,0.9926950732962767
O6,1,target_unlabeled_full_C75,0.015767553304812876,35,35,0.9928310846642658
O6,2,strict_source,0.015323094671028076,25,25,0.9916895297961842
O6,2,target_unlabeled,0.014710171263335235,20,20,0.9933182171575625
O6,2,target_unlabeled_full_C75,0.014701624591925795,35,35,0.993427243962288
O6,3,strict_source,0.015340035475416907,25,25,0.9926205187548983
O6,3,target_unlabeled,0.014861734014849562,20,20,0.9944013345938589
O6,3,target_unlabeled_full_C75,0.014853099284843664,35,35,0.9945096175465717
O7,0,strict_source,0.0,25,25,1.0
O7,0,target_unlabeled,0.0,20,20,1.0
O7,0,target_unlabeled_full_C75,0.0,35,35,1.0
O7,1,strict_source,0.0,25,25,1.0
O7,1,target_unlabeled,0.0,20,20,1.0
O7,1,target_unlabeled_full_C75,0.0,35,35,1.0
O7,2,strict_source,0.0,25,25,1.0
O7,2,target_unlabeled,0.0,20,20,1.0
O7,2,target_unlabeled_full_C75,0.0,35,35,1.0
O7,3,strict_source,0.0,25,25,1.0
O7,3,target_unlabeled,0.0,20,20,1.0
O7,3,target_unlabeled_full_C75,0.0,35,35,1.0
