feature_set,path,kernel,bandwidth_factor,statistic,pooled,within_target,within_trajectory,within_regime,pooled_minus_within_target
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,0.0014217770375790503,0.02244297085897991,-0.27438094089723825,0.0014217770375790503,-0.02102119382140086
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,0.029401440941695934,0.2122842576167343,0.5659214312126958,0.029401440941695934,-0.18288281667503836
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,-0.0033283733919972362,-0.021752967189022157,-0.3679333148199296,-0.0033283733919972362,0.01842459379702492
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,0.01637676373720466,0.16843293100905693,0.522614891886799,0.01637676373720466,-0.15205616727185228
strict_source_G2_Wz,strict_source,rbf,2.0,normalized_alignment,-0.004764010757654021,-0.039027440543444765,-0.38979819388083414,-0.004764010757654021,0.03426342978579074
strict_source_G2_Wz,strict_source,rbf,2.0,centered_hsic,0.008019718646292895,0.13513904399784152,0.4986741796102549,0.008019718646292895,-0.12711932535154863
strict_source_G2_Wz,strict_source,laplacian,0.5,normalized_alignment,-0.0004257827779027366,0.004596404004086075,-0.326212809291211,-0.0004257827779027366,-0.005022186781988812
strict_source_G2_Wz,strict_source,laplacian,0.5,centered_hsic,0.04361758363497802,0.2252107258507961,0.5794862015325544,0.04361758363497802,-0.18159314221581807
strict_source_G2_Wz,strict_source,laplacian,1.0,normalized_alignment,-0.0028866159705721425,-0.019175716072980763,-0.3662773466893495,-0.0028866159705721425,0.01628910010240862
strict_source_G2_Wz,strict_source,laplacian,1.0,centered_hsic,0.03112627220467044,0.21497619644538263,0.5730247785017438,0.03112627220467044,-0.1838499242407122
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,-0.004062284860164881,-0.03238432319220081,-0.3831683590492524,-0.004062284860164881,0.028322038332035927
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,0.02421872063394447,0.20151068004260683,0.565646921892815,0.02421872063394447,-0.17729195940866235
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,0.00951836397748296,0.026598398925171643,-0.25610190588377857,0.00951836397748296,-0.017080034947688685
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,0.05051261363231875,0.22783673515706848,0.5796581025973369,0.05051261363231875,-0.17732412152474974
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,-7.516352152895171e-05,-0.019270739869074585,-0.36565946391938514,-7.516352152895171e-05,0.019195576347545634
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,0.038648161597095235,0.21352387443206486,0.5649305771959803,0.038648161597095235,-0.1748757128349696
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,-0.003431364221419833,-0.03805246505150031,-0.38883898823081353,-0.003431364221419833,0.03462110083008048
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,0.03533493576617956,0.2015693448435698,0.5555344696232578,0.03533493576617956,-0.16623440907739023
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,0.0054644183864269195,0.005681759356964285,-0.3210903026959559,0.0054644183864269195,-0.00021734097053736565
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,0.06478035914915513,0.23350426574960745,0.583890107080361,0.06478035914915513,-0.16872390660045233
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,0.000499514314825077,-0.017939453073164358,-0.36323186308231276,0.000499514314825077,0.018438967387989433
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,0.055081387185104067,0.2366296713087747,0.5845109270605545,0.055081387185104067,-0.18154828412367063
strict_source_G3_architecture,strict_source,laplacian,2.0,normalized_alignment,-0.002103650353288039,-0.03125955717702606,-0.38097055247478473,-0.002103650353288039,0.02915590682373802
strict_source_G3_architecture,strict_source,laplacian,2.0,centered_hsic,0.04990523234350317,0.2342714798376901,0.5832549448316252,0.04990523234350317,-0.18436624749418692
strict_source_G4_coordinates,strict_source,rbf,0.5,normalized_alignment,-0.0038872056217598245,-0.017041885186973214,-0.302019981808978,-0.0038872056217598245,0.013154679565213389
strict_source_G4_coordinates,strict_source,rbf,0.5,centered_hsic,0.025684735312555808,0.17450549984041536,0.5631987713151991,0.025684735312555808,-0.14882076452785956
strict_source_G4_coordinates,strict_source,rbf,1.0,normalized_alignment,-0.005044013944083741,-0.04105233536224053,-0.3821645259757228,-0.005044013944083741,0.03600832141815679
strict_source_G4_coordinates,strict_source,rbf,1.0,centered_hsic,0.013718497829644396,0.12797736541624793,0.5361963662683933,0.013718497829644396,-0.11425886758660354
strict_source_G4_coordinates,strict_source,rbf,2.0,normalized_alignment,-0.0048935793760094765,-0.04460204609134926,-0.3931986967698347,-0.0048935793760094765,0.039708466715339785
strict_source_G4_coordinates,strict_source,rbf,2.0,centered_hsic,0.008920103635897382,0.10211599981995832,0.5217628849931127,0.008920103635897382,-0.09319589618406093
strict_source_G4_coordinates,strict_source,laplacian,0.5,normalized_alignment,-0.004149618713556737,-0.028750320697500758,-0.3532503497717904,-0.004149618713556737,0.02460070198394402
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,0.04378184300447232,0.1988718343109138,0.5745856391650845,0.04378184300447232,-0.15508999130644147
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,-0.004831001835987711,-0.038933557080365895,-0.3810872107464032,-0.004831001835987711,0.034102555244378184
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,0.03171039091415365,0.1827478983346244,0.5698534486972755,0.03171039091415365,-0.15103750742047076
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,-0.004885686377903491,-0.04273124456125503,-0.39011567681371695,-0.004885686377903491,0.03784555818335154
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,0.025493279137218907,0.1691739914821361,0.565120070702856,0.025493279137218907,-0.1436807123449172
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,-0.0002548707907835004,0.04855295673758758,-0.297494762561429,-0.0002548707907835004,-0.04880782752837108
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,0.025016025368344547,0.24712239133861327,0.573301135682372,0.025016025368344547,-0.22210636597026873
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,normalized_alignment,-0.005708629466693826,-0.008901759004749562,-0.36747393357964847,-0.005708629466693826,0.0031931295380557365
target_unlabeled_G2_Wz,target_unlabeled,rbf,1.0,centered_hsic,0.006935624304184417,0.22120823698540878,0.5426204983877067,0.006935624304184417,-0.21427261268122436
