feature_set,path,kernel,bandwidth_factor,statistic,target_id,statistic_value,training_bandwidth,candidate_count
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,1,0.06879184247976097,3.241889078019845,24
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,2,-0.02377550705719572,3.247526518893304,24
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,3,-0.019893481501140658,3.240529923824068,24
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,4,0.10764275521804552,3.239288182455679,24
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,5,-0.05477946964130932,3.2457540594905017,24
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,6,0.006683679859406039,3.230879122219391,24
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,7,0.0033406686749391824,3.249135052295569,24
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,8,0.11429007163477038,3.242228143050462,24
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,9,0.03861999203568609,3.2518504211812336,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,1,0.27648646708017793,3.241889078019845,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,2,0.16864861725378752,3.247526518893304,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,3,0.1654015184276598,3.240529923824068,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,4,0.2883973835257549,3.239288182455679,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,5,0.14258188620118206,3.2457540594905017,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,6,0.21053667244353355,3.230879122219391,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,7,0.21611376669148494,3.249135052295569,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,8,0.27868341201344865,3.242228143050462,24
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,9,0.23274062352936853,3.2518504211812336,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,1,-0.007833371666256998,6.48377815603969,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,2,-0.04033409248524825,6.495053037786608,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,3,-0.028031048046587903,6.481059847648136,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,4,0.01268348342351486,6.478576364911358,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,5,-0.05100368947304082,6.491508118981003,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,6,-0.023823070036838638,6.461758244438782,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,7,-0.03328259243104853,6.498270104591138,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,8,0.062226061188114294,6.484456286100924,24
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,9,-0.010249235063111059,6.503700842362467,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,1,0.25025238183074516,6.48377815603969,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,2,0.12518299222327667,6.495053037786608,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,3,0.1634001621922999,6.481059847648136,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,4,0.277219173493136,6.478576364911358,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,5,0.08495278397987101,6.491508118981003,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,6,0.1997170302743211,6.461758244438782,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,7,0.169786370901698,6.498270104591138,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,8,0.3890646152913402,6.484456286100924,24
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,9,0.22247299439288865,6.503700842362467,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,1,-0.03608466663623814,12.96755631207938,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,2,-0.04380055940122871,12.990106075573216,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,3,-0.03896384192195529,12.962119695296272,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,4,-0.0309290933778618,12.957152729822717,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,5,-0.04801379405224898,12.983016237962007,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,6,-0.03916330690130334,12.923516488877564,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,7,-0.0418283403887726,12.996540209182276,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,8,-0.010153663430618888,12.968912572201848,24
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,9,-0.035371457826132595,13.007401684724934,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,1,0.2234558944104535,12.96755631207938,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,2,0.10421080347019539,12.990106075573216,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,3,0.17162715886795443,12.962119695296272,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,4,0.2448434337105912,12.957152729822717,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,5,0.056187571960292344,12.983016237962007,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,6,0.19114755697158625,12.923516488877564,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,7,0.1499083039276173,12.996540209182276,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,8,0.4226748084810261,12.968912572201848,24
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,9,0.19610837688442076,13.007401684724934,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,1,0.034210934574205584,3.241889078019845,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,2,-0.029860772974368826,3.247526518893304,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,3,-0.019882928040208345,3.240529923824068,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,4,0.06971719511816378,3.239288182455679,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,5,-0.058803596498771815,3.2457540594905017,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,6,-0.009755918942527662,3.230879122219391,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,7,-0.00810601092890506,3.249135052295569,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,8,0.08998836973124907,3.242228143050462,24
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,9,0.014427410859569263,3.2518504211812336,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,1,0.26022775634745116,3.241889078019845,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,2,0.2008039349645416,3.247526518893304,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,3,0.20584271412382635,3.240529923824068,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,4,0.276007903116944,3.239288182455679,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,5,0.17543624032327568,3.2457540594905017,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,6,0.22175385877638942,3.230879122219391,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,7,0.22986263699781823,3.249135052295569,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,8,0.2753864390827765,3.242228143050462,24
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,9,0.23432680417064505,3.2518504211812336,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,1,-0.003432513996671318,6.48377815603969,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,2,-0.03870534932779402,6.495053037786608,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,3,-0.029642174909785688,6.481059847648136,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,4,0.01617608606877967,6.478576364911358,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,5,-0.053251209555533724,6.491508118981003,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,6,-0.02516623397696305,6.461758244438782,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,7,-0.027844115257963303,6.498270104591138,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,8,0.04397656576465685,6.484456286100924,24
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,9,-0.012302173067210664,6.503700842362467,24
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,1,0.26927681852866503,6.48377815603969,24
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,2,0.18392382238826457,6.495053037786608,24
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,3,0.19890400005687522,6.481059847648136,24
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,4,0.2885133879843271,6.478576364911358,24
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,5,0.1473944490134805,6.491508118981003,24
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,6,0.22369430377960867,6.461758244438782,24
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,7,0.22192590943885165,6.498270104591138,24
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,8,0.333192935012613,6.484456286100924,24
