orbit,replicate,scope,family,max_projection_error,max_probability_error,prediction_disagreements,max_condition_number,unique_transform_hashes
O0,0,global,identity,0.0,0.0,0,1.0,1
O1,0,global,orthogonal,2.6645352591003757e-15,8.881784197001252e-16,0,1.0000000000000007,1
O1,1,global,orthogonal,3.552713678800501e-15,7.771561172376096e-16,0,1.0000000000000007,1
O1,2,global,orthogonal,3.552713678800501e-15,8.881784197001252e-16,0,1.0000000000000007,1
O1,3,global,orthogonal,3.552713678800501e-15,8.881784197001252e-16,0,1.0000000000000007,1
O2,0,checkpoint,orthogonal,3.552713678800501e-15,7.216449660063518e-16,0,1.0000000000000007,216
O2,1,checkpoint,orthogonal,4.440892098500626e-15,8.881784197001252e-16,0,1.0000000000000007,216
O2,2,checkpoint,orthogonal,3.552713678800501e-15,8.881784197001252e-16,0,1.0000000000000007,216
O2,3,checkpoint,orthogonal,3.552713678800501e-15,7.771561172376096e-16,0,1.0000000000000007,216
O3,0,global,diagonal,1.7763568394002505e-15,5.551115123125783e-16,0,1.9437206255192458,1
O3,1,global,diagonal,2.220446049250313e-15,6.661338147750939e-16,0,1.937342899673798,1
O3,2,global,diagonal,1.7763568394002505e-15,6.661338147750939e-16,0,1.8683140018714954,1
O3,3,global,diagonal,2.6645352591003757e-15,6.661338147750939e-16,0,1.9849877213835152,1
O4,0,checkpoint,diagonal,2.6645352591003757e-15,6.661338147750939e-16,0,1.9948315517278519,216
O4,1,checkpoint,diagonal,2.6645352591003757e-15,7.771561172376096e-16,0,1.9964904112923523,216
O4,2,checkpoint,diagonal,1.7763568394002505e-15,6.661338147750939e-16,0,1.9962253452599747,216
O4,3,checkpoint,diagonal,2.6645352591003757e-15,6.661338147750939e-16,0,1.9983569072003267,216
O5,0,global,nonorthogonal,2.6645352591003757e-15,7.216449660063518e-16,0,1.518073564742611,1
O5,1,global,nonorthogonal,2.6645352591003757e-15,7.771561172376096e-16,0,1.5415881045413415,1
O5,2,global,nonorthogonal,3.1086244689504383e-15,8.881784197001252e-16,0,1.5559138805354362,1
O5,3,global,nonorthogonal,2.6645352591003757e-15,7.771561172376096e-16,0,1.5085266912467665,1
O6,0,checkpoint,nonorthogonal,2.6645352591003757e-15,7.771561172376096e-16,0,1.5720509876069497,216
O6,1,checkpoint,nonorthogonal,2.6645352591003757e-15,1.1102230246251565e-15,0,1.578186436319679,216
O6,2,checkpoint,nonorthogonal,3.1086244689504383e-15,7.771561172376096e-16,0,1.584116169525154,216
O6,3,checkpoint,nonorthogonal,3.552713678800501e-15,7.771561172376096e-16,0,1.5841360997310854,216
O7,0,checkpoint,signed_permutation,1.4210854715202004e-14,4.718447854656915e-15,0,1.0,216
O7,1,checkpoint,signed_permutation,1.5987211554602254e-14,5.440092820663267e-15,0,1.0,216
O7,2,checkpoint,signed_permutation,1.3322676295501878e-14,4.9960036108132044e-15,0,1.0,216
O7,3,checkpoint,signed_permutation,1.4210854715202004e-14,4.218847493575595e-15,0,1.0,216
