orbit,replicate,path,candidate_density_order_spearman
O0,0,strict_source,0.9999999999999999
O0,0,target_unlabeled,0.9999999999999999
O0,0,target_unlabeled_full_C75,0.9999999999999999
O1,0,strict_source,0.9999999999999999
O1,0,target_unlabeled,0.9999999999999999
O1,0,target_unlabeled_full_C75,0.9999999999999999
O1,1,strict_source,0.9999999999999999
O1,1,target_unlabeled,0.9999999999999999
O1,1,target_unlabeled_full_C75,0.9999999999999999
O1,2,strict_source,0.9999999999999999
O1,2,target_unlabeled,0.9999999999999999
O1,2,target_unlabeled_full_C75,0.9999999999999999
O1,3,strict_source,0.9999999999999999
O1,3,target_unlabeled,0.9999999999999999
O1,3,target_unlabeled_full_C75,0.9999999999999999
O2,0,strict_source,0.9999999999999999
O2,0,target_unlabeled,0.9999999999999999
O2,0,target_unlabeled_full_C75,0.9999999999999999
O2,1,strict_source,0.9999999999999999
O2,1,target_unlabeled,0.9999999999999999
O2,1,target_unlabeled_full_C75,0.9999999999999999
O2,2,strict_source,0.9999999999999999
O2,2,target_unlabeled,0.9999999999999999
O2,2,target_unlabeled_full_C75,0.9999999999999999
O2,3,strict_source,0.9999999999999999
O2,3,target_unlabeled,0.9999999999999999
O2,3,target_unlabeled_full_C75,0.9999999999999999
O3,0,strict_source,0.9817391304347826
O3,0,target_unlabeled,0.9808695652173912
O3,0,target_unlabeled_full_C75,0.9852173913043477
O3,1,strict_source,0.9808695652173912
O3,1,target_unlabeled,0.9843478260869565
O3,1,target_unlabeled_full_C75,0.988695652173913
O3,2,strict_source,0.9799999999999999
O3,2,target_unlabeled,0.9826086956521738
O3,2,target_unlabeled_full_C75,0.9904347826086956
O3,3,strict_source,0.9756521739130434
O3,3,target_unlabeled,0.9695652173913042
O3,3,target_unlabeled_full_C75,0.9878260869565217
O4,0,strict_source,0.9756521739130434
O4,0,target_unlabeled,0.9799999999999999
O4,0,target_unlabeled_full_C75,0.9817391304347826
O4,1,strict_source,0.9791304347826085
O4,1,target_unlabeled,0.9739130434782608
O4,1,target_unlabeled_full_C75,0.9808695652173912
O4,2,strict_source,0.9799999999999999
O4,2,target_unlabeled,0.9678260869565216
O4,2,target_unlabeled_full_C75,0.9765217391304346
O4,3,strict_source,0.9808695652173912
O4,3,target_unlabeled,0.9747826086956521
O4,3,target_unlabeled_full_C75,0.9895652173913043
O5,0,strict_source,0.983478260869565
O5,0,target_unlabeled,0.988695652173913
O5,0,target_unlabeled_full_C75,0.9939130434782607
O5,1,strict_source,0.9913043478260868
O5,1,target_unlabeled,0.983478260869565
O5,1,target_unlabeled_full_C75,0.9921739130434782
O5,2,strict_source,0.9852173913043477
O5,2,target_unlabeled,0.983478260869565
O5,2,target_unlabeled_full_C75,0.9921739130434782
O5,3,strict_source,0.9895652173913043
O5,3,target_unlabeled,0.9852173913043477
O5,3,target_unlabeled_full_C75,0.9913043478260868
O6,0,strict_source,0.9852173913043477
O6,0,target_unlabeled,0.9817391304347826
O6,0,target_unlabeled_full_C75,0.9913043478260868
O6,1,strict_source,0.9843478260869565
O6,1,target_unlabeled,0.9826086956521738
O6,1,target_unlabeled_full_C75,0.9904347826086956
O6,2,strict_source,0.9791304347826085
O6,2,target_unlabeled,0.9817391304347826
O6,2,target_unlabeled_full_C75,0.9869565217391304
O6,3,strict_source,0.9808695652173912
O6,3,target_unlabeled,0.983478260869565
O6,3,target_unlabeled_full_C75,0.9913043478260868
O7,0,strict_source,0.9999999999999999
O7,0,target_unlabeled,0.9999999999999999
O7,0,target_unlabeled_full_C75,0.9999999999999999
O7,1,strict_source,0.9999999999999999
O7,1,target_unlabeled,0.9999999999999999
O7,1,target_unlabeled_full_C75,0.9999999999999999
O7,2,strict_source,0.9999999999999999
O7,2,target_unlabeled,0.9999999999999999
O7,2,target_unlabeled_full_C75,0.9999999999999999
O7,3,strict_source,0.9999999999999999
O7,3,target_unlabeled,0.9999999999999999
O7,3,target_unlabeled_full_C75,0.9999999999999999
