path,orbit,family,scope,median_effect_retention,median_candidate_order_spearman,all_signs_match,orbit_family_pass
strict_source,O1,orthogonal,global,1.0,0.9999999999999999,1,1
strict_source,O2,orthogonal,checkpoint,1.0,0.9999999999999999,1,1
strict_source,O3,diagonal,global,0.9770763653189922,0.9804347826086955,1,1
strict_source,O4,diagonal,checkpoint,1.0333985768775906,0.9795652173913042,1,1
strict_source,O5,nonorthogonal,global,0.97081065751629,0.987391304347826,1,1
strict_source,O6,nonorthogonal,checkpoint,0.9822927895210389,0.9826086956521738,1,1
strict_source,O7,signed_permutation,checkpoint,1.0,0.9999999999999999,1,1
target_unlabeled,O1,orthogonal,global,1.0,0.9999999999999999,1,1
target_unlabeled,O2,orthogonal,checkpoint,1.0,0.9999999999999999,1,1
target_unlabeled,O3,diagonal,global,0.9510165631938052,0.9817391304347824,1,1
target_unlabeled,O4,diagonal,checkpoint,0.9307180895898304,0.9743478260869565,1,1
target_unlabeled,O5,nonorthogonal,global,0.9707917296899022,0.9843478260869564,1,1
target_unlabeled,O6,nonorthogonal,checkpoint,0.9961755803214702,0.9821739130434781,1,1
target_unlabeled,O7,signed_permutation,checkpoint,1.0,0.9999999999999999,1,1
target_unlabeled_full_C75,O1,orthogonal,global,1.0,0.9999999999999999,1,1
target_unlabeled_full_C75,O2,orthogonal,checkpoint,1.0,0.9999999999999999,1,1
target_unlabeled_full_C75,O3,diagonal,global,1.0000897306180758,0.9882608695652173,1,1
target_unlabeled_full_C75,O4,diagonal,checkpoint,0.9586879329561999,0.9813043478260869,1,1
target_unlabeled_full_C75,O5,nonorthogonal,global,0.9845535343821333,0.9921739130434782,1,1
target_unlabeled_full_C75,O6,nonorthogonal,checkpoint,0.9835488966027621,0.9908695652173911,1,1
target_unlabeled_full_C75,O7,signed_permutation,checkpoint,1.0,0.9999999999999999,1,1
