path,replicate,observed,matched_association,matched_exceeds_observed,dimension
strict_source,0,-0.013294172732278115,-0.03788391870913382,0,25
strict_source,1,-0.013294172732278115,-0.03707602078392783,0,25
strict_source,2,-0.013294172732278115,-0.03566797872662753,0,25
strict_source,3,-0.013294172732278115,-0.033099753461998734,0,25
strict_source,4,-0.013294172732278115,-0.035350892365175586,0,25
strict_source,5,-0.013294172732278115,-0.031691207191061596,0,25
strict_source,6,-0.013294172732278115,-0.03993526643724591,0,25
strict_source,7,-0.013294172732278115,-0.03683058481938503,0,25
strict_source,8,-0.013294172732278115,-0.037439224108592635,0,25
strict_source,9,-0.013294172732278115,-0.03225621020706223,0,25
strict_source,10,-0.013294172732278115,-0.0369797255311851,0,25
strict_source,11,-0.013294172732278115,-0.03167805298970167,0,25
strict_source,12,-0.013294172732278115,-0.03151605563451999,0,25
strict_source,13,-0.013294172732278115,-0.02648045208325068,0,25
strict_source,14,-0.013294172732278115,-0.03840466481373943,0,25
strict_source,15,-0.013294172732278115,-0.027036496264272937,0,25
strict_source,16,-0.013294172732278115,-0.03677377256975317,0,25
strict_source,17,-0.013294172732278115,-0.032343345398502456,0,25
strict_source,18,-0.013294172732278115,-0.033744718721577055,0,25
strict_source,19,-0.013294172732278115,-0.0349174358011425,0,25
strict_source,20,-0.013294172732278115,-0.03690494609291088,0,25
strict_source,21,-0.013294172732278115,-0.038603398631378294,0,25
strict_source,22,-0.013294172732278115,-0.03497001591845869,0,25
strict_source,23,-0.013294172732278115,-0.03354771781624976,0,25
strict_source,24,-0.013294172732278115,-0.036220835590671685,0,25
strict_source,25,-0.013294172732278115,-0.03774366583145575,0,25
strict_source,26,-0.013294172732278115,-0.035518987999794346,0,25
strict_source,27,-0.013294172732278115,-0.032190851117166346,0,25
strict_source,28,-0.013294172732278115,-0.0330253566787213,0,25
strict_source,29,-0.013294172732278115,-0.0315462129168683,0,25
strict_source,30,-0.013294172732278115,-0.03877567998592058,0,25
strict_source,31,-0.013294172732278115,-0.02509383671017171,0,25
target_unlabeled,0,-0.003356552704091697,-0.033263223888386616,0,20
target_unlabeled,1,-0.003356552704091697,-0.016261458447435075,0,20
target_unlabeled,2,-0.003356552704091697,-0.023724039536984196,0,20
target_unlabeled,3,-0.003356552704091697,-0.03309865129875215,0,20
target_unlabeled,4,-0.003356552704091697,-0.02105426944563524,0,20
target_unlabeled,5,-0.003356552704091697,-0.018641931769344696,0,20
target_unlabeled,6,-0.003356552704091697,-0.027038009067019406,0,20
target_unlabeled,7,-0.003356552704091697,-0.02352271123544592,0,20
target_unlabeled,8,-0.003356552704091697,-0.027201317070288424,0,20
target_unlabeled,9,-0.003356552704091697,-0.0230516851457228,0,20
target_unlabeled,10,-0.003356552704091697,-0.02575796939708114,0,20
target_unlabeled,11,-0.003356552704091697,-0.0283507956202443,0,20
target_unlabeled,12,-0.003356552704091697,-0.023306075860203095,0,20
target_unlabeled,13,-0.003356552704091697,-0.028058467799637093,0,20
target_unlabeled,14,-0.003356552704091697,-0.02584165357526344,0,20
target_unlabeled,15,-0.003356552704091697,-0.031142754475168812,0,20
target_unlabeled,16,-0.003356552704091697,-0.01954411212553178,0,20
target_unlabeled,17,-0.003356552704091697,-0.028005556014119595,0,20
target_unlabeled,18,-0.003356552704091697,-0.02762665851565758,0,20
target_unlabeled,19,-0.003356552704091697,-0.028410558544649786,0,20
target_unlabeled,20,-0.003356552704091697,-0.028775740157451855,0,20
target_unlabeled,21,-0.003356552704091697,-0.01917138036926636,0,20
target_unlabeled,22,-0.003356552704091697,-0.018861259603625728,0,20
target_unlabeled,23,-0.003356552704091697,-0.03790175872703088,0,20
target_unlabeled,24,-0.003356552704091697,-0.023850900749674418,0,20
target_unlabeled,25,-0.003356552704091697,-0.027424638554638617,0,20
target_unlabeled,26,-0.003356552704091697,-0.02948027992294467,0,20
target_unlabeled,27,-0.003356552704091697,-0.032518880911746866,0,20
target_unlabeled,28,-0.003356552704091697,-0.021010542368713168,0,20
target_unlabeled,29,-0.003356552704091697,-0.02652845612512626,0,20
target_unlabeled,30,-0.003356552704091697,-0.022892780968255706,0,20
target_unlabeled,31,-0.003356552704091697,-0.02672927181615642,0,20
