candidate,path,gate,passed,association_kernel,association_bandwidth_factor,association_statistic,association,association_worst_required_p,incremental_R2,prediction_global_p,positive_targets,material_actionability,observed_target_label_leakage
G3S_strict_source,strict_source,functional_identity,1,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,orbit_robustness,1,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,association_effect,1,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,association_bootstrap_lower,1,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,incremental_R2,0,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,observed_above_nested_null_p95,0,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,global_max_stat_p,0,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,leave_target_median_increment,1,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,positive_targets,0,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,material_actionability,0,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,not_redundant_with_logits,1,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,target_label_leakage,1,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3S_strict_source,strict_source,ALL_REQUIRED,0,laplacian,1.0,centered_hsic,0.23414362161678998,0.054,-0.042482786177298726,0.998,6,0,0
G3T_target_unlabeled,target_unlabeled,functional_identity,1,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,orbit_robustness,1,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,association_effect,1,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,association_bootstrap_lower,1,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,incremental_R2,0,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,observed_above_nested_null_p95,0,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,global_max_stat_p,0,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,leave_target_median_increment,0,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,positive_targets,0,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,material_actionability,0,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,not_redundant_with_logits,1,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,target_label_leakage,1,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
G3T_target_unlabeled,target_unlabeled,ALL_REQUIRED,0,laplacian,1.0,centered_hsic,0.23772458460697768,0.03,-0.011040783959737399,0.82,4,0,0
