candidate,path,gate,operator,threshold,all_required
G3S_strict_source,strict_source,functional_identity,==,1,1
G3S_strict_source,strict_source,orbit_robustness,==,1,1
G3S_strict_source,strict_source,association_effect,>=,0.02,1
G3S_strict_source,strict_source,association_bootstrap_lower,>,0.0,1
G3S_strict_source,strict_source,incremental_R2,>=,0.02,1
G3S_strict_source,strict_source,observed_above_nested_null_p95,==,1,1
G3S_strict_source,strict_source,global_max_stat_p,<,0.05,1
G3S_strict_source,strict_source,leave_target_median_increment,>,0.0,1
G3S_strict_source,strict_source,positive_targets,>=,7,1
G3S_strict_source,strict_source,material_actionability,==,1,1
G3S_strict_source,strict_source,not_redundant_with_logits,==,1,1
G3S_strict_source,strict_source,target_label_leakage,==,0,1
G3T_target_unlabeled,target_unlabeled,functional_identity,==,1,1
G3T_target_unlabeled,target_unlabeled,orbit_robustness,==,1,1
G3T_target_unlabeled,target_unlabeled,association_effect,>=,0.02,1
G3T_target_unlabeled,target_unlabeled,association_bootstrap_lower,>,0.0,1
G3T_target_unlabeled,target_unlabeled,incremental_R2,>=,0.02,1
G3T_target_unlabeled,target_unlabeled,observed_above_nested_null_p95,==,1,1
G3T_target_unlabeled,target_unlabeled,global_max_stat_p,<,0.05,1
G3T_target_unlabeled,target_unlabeled,leave_target_median_increment,>,0.0,1
G3T_target_unlabeled,target_unlabeled,positive_targets,>=,7,1
G3T_target_unlabeled,target_unlabeled,material_actionability,==,1,1
G3T_target_unlabeled,target_unlabeled,not_redundant_with_logits,==,1,1
G3T_target_unlabeled,target_unlabeled,target_label_leakage,==,0,1
