feature_set,path,kernel,bandwidth_factor,statistic,level,association,group_count,positive_group_fraction,status
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,pooled,0.0014217770375790503,1,1.0,
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,within_target,0.02244297085897991,9,0.5555555555555556,
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,within_target_x_trajectory,-0.27438094089723825,54,0.2222222222222222,
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,within_regime,0.0014217770375790503,1,1.0,
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,trajectory_template,-0.023135476142652298,6,0.16666666666666666,
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,pooled,0.029401440941695934,1,1.0,
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,within_target,0.2122842576167343,9,1.0,
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,within_target_x_trajectory,0.5659214312126958,54,1.0,
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,within_regime,0.029401440941695934,1,1.0,
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,trajectory_template,0.09971523130653487,6,1.0,
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,pooled,-0.0033283733919972362,1,0.0,
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,within_target,-0.021752967189022157,9,0.2222222222222222,
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,within_target_x_trajectory,-0.3679333148199296,54,0.0,
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,within_regime,-0.0033283733919972362,1,0.0,
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,trajectory_template,-0.02797031758984179,6,0.0,
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,cross_regime_transfer,nan,1,nan,unavailable_single_regime
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,pooled,0.01637676373720466,1,1.0,
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,within_target,0.16843293100905693,9,1.0,
