artifact,path,sha256,size_bytes
C75_REPRESENTATION_CONSTRUCT_PROTOCOL.json,oaci/reports/C75_REPRESENTATION_CONSTRUCT_PROTOCOL.json,a42f06909ca05ba96edd28d611783a1ba5ab6ecd8ff91a0e53ee4396dfc97c7b,10279
C75_REPRESENTATION_CONSTRUCT_VALIDITY.json,oaci/reports/C75_REPRESENTATION_CONSTRUCT_VALIDITY.json,bc81456545f23ca9e6d098e4a842eb58872ef6fe20a55695d9c0aa2350bf041f,6449
C75_REPRESENTATION_CONSTRUCT_VALIDITY.md,oaci/reports/C75_REPRESENTATION_CONSTRUCT_VALIDITY.md,936c952cd4d1ac208288b708579d0f6a349727be6fa20fcbabae2337e2f4d5bc,4852
artifact_manifest.csv,oaci/reports/c75_tables/artifact_manifest.csv,f26d884b10c651b7e8f1aafe74db0e278c845e8c0bbf0acc3e9b476cca811e50,8204
C75_RED_TEAM_VERIFICATION.md,oaci/reports/C75_RED_TEAM_VERIFICATION.md,dd328f9726ec904c4c58518ceb50eb94b61e9c9fa93bb34403b01258c674f6f3,5255
cross_fitted_incremental_relevance.csv,oaci/reports/c75_tables/cross_fitted_incremental_relevance.csv,0c5b8c0db1063c71eecdb613544c7e7de6ca543a799c3dd91881848e35c0c734,8913
representation_conditional_observability.csv,oaci/reports/c75_tables/representation_conditional_observability.csv,f4fd0da3f9ec03f082fb3648c3aa0d72c6a38a256360d024714f9a5e0e0f3f58,481
Wz_logit_redundancy.csv,oaci/reports/c75_tables/Wz_logit_redundancy.csv,a4e7dbbb6fd92c8e002713070e558639f2a2a1d3041006160309cf970fc316ce,557
projection_construct_validity.csv,oaci/reports/c75_tables/projection_construct_validity.csv,b04d5730c8da84d032c58a66f3b6b513deba09867176dfe93e8e089ba10475d1,409
t3_ho_decision.csv,oaci/reports/c75_tables/t3_ho_decision.csv,6632805c636dc21096457834406aa38db31d034c131816872999fa491fd70666,214
C74_T2_SOURCE_WZ_INSTRUMENTATION_PROTOCOL.json,oaci/reports/C74_T2_SOURCE_WZ_INSTRUMENTATION_PROTOCOL.json,76d0f4d9d96d012856d72934a720c52e067e7f0ae27081ad5c97d6b4eea1acb6,9962
physical_view_manifest.csv,oaci/reports/c74_tables/physical_view_manifest.csv,b037c9dfe1696ef450a15db81fbaed97cbdb7468255fee9241cc786edf866eeb,2135
full_t2_unit_manifest.csv,oaci/reports/c74_tables/full_t2_unit_manifest.csv,860acf1485554dd2f6884a44eb26f6089e477aeea3e7ab8474c18f3050fe3a36,80178
t3_ho_holdout_unit_manifest.csv,oaci/reports/c74_tables/t3_ho_holdout_unit_manifest.csv,d7c7114fbe125a712ec560bce2a8bb94e895859068a62210bd513b96c8078980,397518
