feature_set,path,kernel,bandwidth_factor,statistic,target_id,statistic_value,training_bandwidth,candidate_count
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,1,0.03901892151360077,1.558032312940027,24
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,2,0.17167192280876328,1.5310250424666199,24
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,3,-0.0016328665828075936,1.53265203350887,24
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,4,0.11396624013028224,1.5672952743867414,24
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,5,-0.03948336584158505,1.6037047046562232,24
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,6,-0.019612788035266778,1.5261183482632867,24
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,7,-0.019556234887236585,1.5470039984266166,24
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,8,0.022845377708404124,1.5238886295173937,24
strict_source_G2_Wz,strict_source,rbf,0.5,normalized_alignment,9,-0.04932559233524074,1.5362674812876436,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,1,0.2616796027770986,1.558032312940027,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,2,0.3733420612975476,1.5310250424666199,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,3,0.18438410889977594,1.53265203350887,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,4,0.266776143304914,1.5672952743867414,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,5,0.14801972612163866,1.6037047046562232,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,6,0.16559216813742264,1.5261183482632867,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,7,0.18142693200986335,1.5470039984266166,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,8,0.1984129186913918,1.5238886295173937,24
strict_source_G2_Wz,strict_source,rbf,0.5,centered_hsic,9,0.12448747844826144,1.5362674812876436,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,1,-0.015380047766009848,3.116064625880054,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,2,0.036805162732401,3.0620500849332397,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,3,-0.0007618359308729592,3.06530406701774,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,4,0.036593789532443334,3.134590548773483,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,5,-0.0416964838137683,3.2074094093124463,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,6,-0.04000217042296269,3.0522366965265735,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,7,-0.04031395008038429,3.0940079968532332,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,8,-0.03501148178454089,3.0477772590347874,24
strict_source_G2_Wz,strict_source,rbf,1.0,normalized_alignment,9,-0.05842345665316976,3.072534962575287,24
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,1,0.22521837924624377,3.116064625880054,24
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,2,0.35188319480635,3.0620500849332397,24
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,3,0.19259540015315899,3.06530406701774,24
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,4,0.26219903680725476,3.134590548773483,24
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,5,0.09607410204795316,3.2074094093124463,24
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,6,0.10777495755366694,3.0522366965265735,24
strict_source_G2_Wz,strict_source,rbf,1.0,centered_hsic,7,0.13305665348506265,3.0940079968532332,24
