family_a,family_b,n_pairs,mean_spearman,mean_abs_spearman,negative_fraction,opposition
leakage,leakage,1,0.3163978564734076,0.3163978564734076,0.0,0
leakage,source_endpoint,8,0.0875854632746341,0.21850990168846973,0.5,0
leakage,source_rank,2,-0.07109398916881127,0.07109398916881127,1.0,0
leakage,source_risk,6,-0.16937443843253983,0.4011796245625925,0.6666666666666666,1
source_endpoint,leakage,8,0.0875854632746341,0.21850990168846976,0.5,0
source_endpoint,source_endpoint,6,0.13752339210887166,0.3176915851679146,0.3333333333333333,0
source_endpoint,source_rank,4,0.23876120713553942,0.23876120713553942,0.0,0
source_endpoint,source_risk,12,-0.05786385845607515,0.3850362795933751,0.4166666666666667,0
source_rank,leakage,2,-0.07109398916881127,0.07109398916881127,1.0,0
source_rank,source_endpoint,4,0.23876120713553942,0.23876120713553942,0.0,0
source_rank,source_rank,0,,,,0
source_rank,source_risk,3,0.01958053816354197,0.06769716345142125,0.3333333333333333,0
source_risk,leakage,6,-0.16937443843253983,0.40117962456259243,0.6666666666666666,1
source_risk,source_endpoint,12,-0.05786385845607515,0.3850362795933752,0.4166666666666667,0
source_risk,source_rank,3,0.01958053816354197,0.06769716345142125,0.3333333333333333,0
source_risk,source_risk,3,-0.016252862669314177,0.6749458375400792,0.6666666666666666,0
