trajectory_id,seed,target,level,regime,n_candidates,n_front,n_not_front,n_joint_good_front,n_joint_bad_front,front_contains_joint_good,front_contains_joint_bad,front_contains_both_good_and_bad,target_labels_diagnostic_only
0|1|0|S0_full_support,0,1,0,S0_full_support,20,20,0,1,19,1,1,1,1
0|1|0|S2_rare_cells,0,1,0,S2_rare_cells,20,20,0,1,19,1,1,1,1
0|1|0|S3_nonestimable_cells,0,1,0,S3_nonestimable_cells,20,20,0,1,19,1,1,1,1
0|1|1|S0_full_support,0,1,1,S0_full_support,20,20,0,5,15,1,1,1,1
0|1|1|S2_rare_cells,0,1,1,S2_rare_cells,20,20,0,5,15,1,1,1,1
0|1|1|S3_nonestimable_cells,0,1,1,S3_nonestimable_cells,20,20,0,5,15,1,1,1,1
0|2|0|S0_full_support,0,2,0,S0_full_support,27,27,0,14,13,1,1,1,1
0|2|0|S2_rare_cells,0,2,0,S2_rare_cells,27,27,0,14,13,1,1,1,1
0|2|0|S3_nonestimable_cells,0,2,0,S3_nonestimable_cells,27,27,0,14,13,1,1,1,1
0|2|1|S0_full_support,0,2,1,S0_full_support,28,28,0,8,20,1,1,1,1
0|2|1|S2_rare_cells,0,2,1,S2_rare_cells,28,28,0,8,20,1,1,1,1
0|2|1|S3_nonestimable_cells,0,2,1,S3_nonestimable_cells,28,28,0,8,20,1,1,1,1
0|3|0|S0_full_support,0,3,0,S0_full_support,23,23,0,17,6,1,1,1,1
0|3|0|S2_rare_cells,0,3,0,S2_rare_cells,23,23,0,17,6,1,1,1,1
0|3|0|S3_nonestimable_cells,0,3,0,S3_nonestimable_cells,23,23,0,17,6,1,1,1,1
0|3|1|S0_full_support,0,3,1,S0_full_support,25,25,0,0,25,0,1,0,1
0|3|1|S2_rare_cells,0,3,1,S2_rare_cells,25,25,0,0,25,0,1,0,1
0|3|1|S3_nonestimable_cells,0,3,1,S3_nonestimable_cells,25,25,0,0,25,0,1,0,1
0|4|0|S0_full_support,0,4,0,S0_full_support,24,22,2,13,9,1,1,1,1
0|4|0|S2_rare_cells,0,4,0,S2_rare_cells,24,22,2,13,9,1,1,1,1
0|4|0|S3_nonestimable_cells,0,4,0,S3_nonestimable_cells,24,22,2,13,9,1,1,1,1
0|4|1|S0_full_support,0,4,1,S0_full_support,36,36,0,4,32,1,1,1,1
0|4|1|S2_rare_cells,0,4,1,S2_rare_cells,36,36,0,4,32,1,1,1,1
0|4|1|S3_nonestimable_cells,0,4,1,S3_nonestimable_cells,36,36,0,4,32,1,1,1,1
0|5|0|S0_full_support,0,5,0,S0_full_support,20,20,0,11,9,1,1,1,1
0|5|0|S2_rare_cells,0,5,0,S2_rare_cells,20,20,0,11,9,1,1,1,1
0|5|0|S3_nonestimable_cells,0,5,0,S3_nonestimable_cells,20,20,0,11,9,1,1,1,1
0|5|1|S0_full_support,0,5,1,S0_full_support,22,22,0,1,21,1,1,1,1
0|5|1|S2_rare_cells,0,5,1,S2_rare_cells,22,22,0,1,21,1,1,1,1
0|5|1|S3_nonestimable_cells,0,5,1,S3_nonestimable_cells,22,22,0,1,21,1,1,1,1
0|6|0|S0_full_support,0,6,0,S0_full_support,22,22,0,2,20,1,1,1,1
0|6|0|S2_rare_cells,0,6,0,S2_rare_cells,22,22,0,2,20,1,1,1,1
0|6|0|S3_nonestimable_cells,0,6,0,S3_nonestimable_cells,22,22,0,2,20,1,1,1,1
0|6|1|S0_full_support,0,6,1,S0_full_support,21,21,0,2,19,1,1,1,1
0|6|1|S2_rare_cells,0,6,1,S2_rare_cells,21,21,0,2,19,1,1,1,1
0|6|1|S3_nonestimable_cells,0,6,1,S3_nonestimable_cells,21,21,0,2,19,1,1,1,1
0|7|0|S0_full_support,0,7,0,S0_full_support,21,20,1,8,12,1,1,1,1
0|7|0|S2_rare_cells,0,7,0,S2_rare_cells,21,21,0,9,12,1,1,1,1
0|7|0|S3_nonestimable_cells,0,7,0,S3_nonestimable_cells,21,21,0,9,12,1,1,1,1
0|7|1|S0_full_support,0,7,1,S0_full_support,24,17,7,6,11,1,1,1,1
0|7|1|S2_rare_cells,0,7,1,S2_rare_cells,24,21,3,6,15,1,1,1,1
0|7|1|S3_nonestimable_cells,0,7,1,S3_nonestimable_cells,24,21,3,6,15,1,1,1,1
0|8|0|S0_full_support,0,8,0,S0_full_support,20,20,0,13,7,1,1,1,1
0|8|0|S2_rare_cells,0,8,0,S2_rare_cells,20,20,0,13,7,1,1,1,1
0|8|0|S3_nonestimable_cells,0,8,0,S3_nonestimable_cells,20,20,0,13,7,1,1,1,1
