backbone,method,dtgt_bacc,dtgt_bacc_lo,dtgt_bacc_hi,dtgt_nll,dtgt_nll_lo,dtgt_nll_hi,improves_target
TSMNet,TOS_VD,-0.0003215020576131676,-0.002121913580246898,0.0014146090534979414,0.005521868903633803,-0.0076398896597315346,0.018126806539739283,False
TSMNet,LEACE,0.0007073045267489687,-0.003793724279835392,0.005017039609053491,-0.03086992286944707,-0.059466647996833016,-0.002336164605729316,True
TSMNet,RLACE,-0.0039866255144032905,-0.006238747427983539,-0.0016075102880658294,-0.08931532716117141,-0.14157256630418366,-0.04682733840290647,True
TSMNet,INLP,-0.0621141975308642,-0.09452321244855968,-0.03266139403292183,-1.1496042451676258,-1.9992744327498764,-0.5128246169993876,True
TSMNet,random_k,-9.645061728394102e-05,-0.0013342335390946595,0.0012299463091563817,-0.034042719591781456,-0.053001398257296654,-0.01837554394614247,True
EEGNet,TOS_VD,-0.00045010288065842744,-0.0023148148148148077,0.0015432098765432167,0.01107145269713409,0.006980592368413207,0.01707811046703945,False
EEGNet,LEACE,-0.01125257201646089,-0.021090534979423852,-0.002379115226337436,-0.069556901486725,-0.16246177356538066,0.010920016002361576,False
EEGNet,RLACE,-0.011766975308641965,-0.02398566100823046,-0.0016718106995884643,-0.09516132623245342,-0.22293959907008076,0.004047547106203328,False
EEGNet,INLP,-0.1596579218106996,-0.23572852366255143,-0.08519161522633747,-0.24903337289711386,-0.6262195959232417,0.07341985236372399,False
EEGNet,random_k,-0.007233796296296289,-0.010778356481481474,-0.004115226337448544,-0.018319727568529547,-0.03223982407891468,-0.0028582382233708413,True
