model,condition,N_source,seed,n_source,n_train_trials,source_val_bacc,target_bacc,task_gated
cbramod,growing,2,0,2,64,0.2937,0.5468,False
cbramod,fixed,2,0,2,64,0.2937,0.5468,False
cbramod,growing,2,1,2,64,0.4375,0.5244,False
cbramod,fixed,2,1,2,64,0.4375,0.5244,False
cbramod,growing,2,2,2,64,0.8182,0.5435,True
cbramod,fixed,2,2,2,64,0.8182,0.5435,True
cbramod,growing,2,3,2,64,0.7778,0.5099,True
cbramod,fixed,2,3,2,64,0.7778,0.5099,True
cbramod,growing,2,4,2,64,0.4167,0.5262,False
cbramod,fixed,2,4,2,64,0.4167,0.5262,False
cbramod,growing,2,5,2,64,0.3095,0.5008,False
cbramod,fixed,2,5,2,64,0.3095,0.5008,False
cbramod,growing,2,6,2,64,0.6833,0.5278,True
cbramod,fixed,2,6,2,64,0.6833,0.5278,True
cbramod,growing,2,7,2,64,0.6667,0.5628,True
cbramod,fixed,2,7,2,64,0.6667,0.5628,True
cbramod,growing,2,8,2,64,0.7333,0.5122,True
cbramod,fixed,2,8,2,64,0.7333,0.5122,True
cbramod,growing,2,9,2,64,0.4524,0.4875,False
cbramod,fixed,2,9,2,64,0.4524,0.4875,False
cbramod,growing,4,0,4,128,0.4314,0.5201,False
cbramod,fixed,4,0,4,64,0.625,0.5569,True
cbramod,growing,4,1,4,128,0.6082,0.5646,True
cbramod,fixed,4,1,4,64,0.8091,0.5038,True
cbramod,growing,4,2,4,128,0.5,0.5138,False
cbramod,fixed,4,2,4,64,0.5794,0.504,False
cbramod,growing,4,3,4,128,0.5909,0.5142,True
cbramod,fixed,4,3,4,64,0.2909,0.5538,False
cbramod,growing,4,4,4,128,0.5333,0.4981,False
cbramod,fixed,4,4,4,64,0.4,0.5376,False
cbramod,growing,4,5,4,128,0.4555,0.5047,False
cbramod,fixed,4,5,4,64,0.5333,0.4976,False
cbramod,growing,4,6,4,128,0.3889,0.511,False
cbramod,fixed,4,6,4,64,0.375,0.5167,False
cbramod,growing,4,7,4,128,0.5938,0.5022,True
cbramod,fixed,4,7,4,64,0.5794,0.533,False
cbramod,growing,4,8,4,128,0.5625,0.5097,False
cbramod,fixed,4,8,4,64,0.6667,0.5645,True
cbramod,growing,4,9,4,128,0.45,0.5167,False
cbramod,fixed,4,9,4,64,0.619,0.5421,True
cbramod,growing,8,0,8,256,0.5625,0.5273,False
cbramod,fixed,8,0,8,64,0.4048,0.4962,False
cbramod,growing,8,1,8,256,0.5802,0.5822,True
cbramod,fixed,8,1,8,64,0.7667,0.5318,True
cbramod,growing,8,2,8,256,0.5597,0.5376,False
cbramod,fixed,8,2,8,64,0.6667,0.5158,True
cbramod,growing,8,3,8,256,0.5953,0.5707,True
cbramod,fixed,8,3,8,64,0.4167,0.5289,False
cbramod,growing,8,4,8,256,0.5719,0.5438,False
cbramod,fixed,8,4,8,64,0.6833,0.5584,True
cbramod,growing,8,5,8,256,0.5015,0.5467,False
cbramod,fixed,8,5,8,64,0.3167,0.4932,False
cbramod,growing,8,6,8,256,0.5836,0.5629,True
cbramod,fixed,8,6,8,64,0.6333,0.52,True
cbramod,growing,8,7,8,256,0.5271,0.5378,False
cbramod,fixed,8,7,8,64,0.625,0.5406,True
cbramod,growing,8,8,8,256,0.6719,0.5481,True
cbramod,fixed,8,8,8,64,0.7063,0.5583,True
cbramod,growing,8,9,8,256,0.6735,0.5748,True
cbramod,fixed,8,9,8,64,0.5625,0.5274,False
cbramod,growing,16,0,16,512,0.6059,0.5792,True
cbramod,growing,16,1,16,512,0.6835,0.5717,True
cbramod,growing,16,2,16,512,0.6943,0.5805,True
cbramod,growing,16,3,16,512,0.6602,0.6222,True
cbramod,growing,16,4,16,512,0.5932,0.6224,True
cbramod,growing,16,5,16,512,0.6085,0.6045,True
cbramod,growing,16,6,16,512,0.5703,0.6148,False
cbramod,growing,16,7,16,512,0.6348,0.5615,True
cbramod,growing,16,8,16,512,0.543,0.5957,False
cbramod,growing,16,9,16,512,0.6574,0.6089,True
cbramod,growing,104,0,90,2880,0.6706,0.6444,True
codebrain,growing,2,0,2,64,0.4206,0.5468,False
codebrain,fixed,2,0,2,64,0.4206,0.5468,False
codebrain,growing,2,1,2,64,0.4375,0.5174,False
codebrain,fixed,2,1,2,64,0.4375,0.5174,False
codebrain,growing,2,2,2,64,0.7636,0.5392,True
codebrain,fixed,2,2,2,64,0.7636,0.5392,True
codebrain,growing,2,3,2,64,0.7063,0.5331,True
codebrain,fixed,2,3,2,64,0.7063,0.5331,True
codebrain,growing,2,4,2,64,0.6667,0.5228,True
codebrain,fixed,2,4,2,64,0.6667,0.5228,True
codebrain,growing,2,5,2,64,0.4524,0.5138,False
codebrain,fixed,2,5,2,64,0.4524,0.5138,False
codebrain,growing,2,6,2,64,0.5167,0.4994,False
codebrain,fixed,2,6,2,64,0.5167,0.4994,False
codebrain,growing,2,7,2,64,0.5833,0.5093,True
codebrain,fixed,2,7,2,64,0.5833,0.5093,True
codebrain,growing,2,8,2,64,0.6667,0.4945,True
codebrain,fixed,2,8,2,64,0.6667,0.4945,True
codebrain,growing,2,9,2,64,0.2381,0.5009,False
codebrain,fixed,2,9,2,64,0.2381,0.5009,False
codebrain,growing,4,0,4,128,0.5059,0.5111,False
codebrain,fixed,4,0,4,64,0.75,0.5041,True
codebrain,growing,4,1,4,128,0.6515,0.4744,True
codebrain,fixed,4,1,4,64,0.6182,0.5289,True
codebrain,growing,4,2,4,128,0.5278,0.5256,False
codebrain,fixed,4,2,4,64,0.5238,0.5125,False
codebrain,growing,4,3,4,128,0.4455,0.4906,False
codebrain,fixed,4,3,4,64,0.6636,0.5316,True
codebrain,growing,4,4,4,128,0.5583,0.4872,False
codebrain,fixed,4,4,4,64,0.7833,0.4947,True
codebrain,growing,4,5,4,128,0.4271,0.5243,False
codebrain,fixed,4,5,4,64,0.4833,0.5244,False
codebrain,growing,4,6,4,128,0.5159,0.5183,False
codebrain,fixed,4,6,4,64,0.5,0.4684,False
codebrain,growing,4,7,4,128,0.5312,0.5188,False
codebrain,fixed,4,7,4,64,0.3492,0.5097,False
codebrain,growing,4,8,4,128,0.7188,0.5346,True
codebrain,fixed,4,8,4,64,0.8,0.5318,True
codebrain,growing,4,9,4,128,0.6167,0.5072,True
codebrain,fixed,4,9,4,64,0.5476,0.5038,False
codebrain,growing,8,0,8,256,0.5,0.526,False
codebrain,fixed,8,0,8,64,0.5476,0.4934,False
codebrain,growing,8,1,8,256,0.5337,0.5395,False
codebrain,fixed,8,1,8,64,0.5,0.5112,False
codebrain,growing,8,2,8,256,0.7065,0.529,True
codebrain,fixed,8,2,8,64,0.5833,0.5228,True
codebrain,growing,8,3,8,256,0.5782,0.5674,False
codebrain,fixed,8,3,8,64,0.5,0.554,False
codebrain,growing,8,4,8,256,0.5243,0.5214,False
codebrain,fixed,8,4,8,64,0.3833,0.5348,False
codebrain,growing,8,5,8,256,0.5586,0.5214,False
codebrain,fixed,8,5,8,64,0.6167,0.5183,True
codebrain,growing,8,6,8,256,0.4434,0.5596,False
codebrain,fixed,8,6,8,64,0.6333,0.507,True
codebrain,growing,8,7,8,256,0.5158,0.5541,False
codebrain,fixed,8,7,8,64,0.375,0.5065,False
codebrain,growing,8,8,8,256,0.5781,0.5571,False
codebrain,fixed,8,8,8,64,0.3492,0.4858,False
codebrain,growing,8,9,8,256,0.5627,0.52,False
codebrain,fixed,8,9,8,64,0.625,0.532,True
codebrain,growing,16,0,16,512,0.5006,0.5497,False
codebrain,growing,16,1,16,512,0.6089,0.5719,True
codebrain,growing,16,2,16,512,0.6092,0.5537,True
codebrain,growing,16,3,16,512,0.5488,0.5466,False
codebrain,growing,16,4,16,512,0.6167,0.5466,True
codebrain,growing,16,5,16,512,0.522,0.5171,False
codebrain,growing,16,6,16,512,0.5333,0.5585,False
codebrain,growing,16,7,16,512,0.5691,0.5629,False
codebrain,growing,16,8,16,512,0.5792,0.5734,False
codebrain,growing,16,9,16,512,0.5916,0.5274,True
codebrain,growing,104,0,90,2880,0.5901,0.6073,True
