model,condition,N_source,seed,n_train_trials,target_bacc,source_val_bacc
cbramod,growing,2,0,64,0.5468,0.2937
cbramod,fixed,2,0,64,0.5468,0.2937
cbramod,growing,2,1,64,0.5244,0.4375
cbramod,fixed,2,1,64,0.5244,0.4375
cbramod,growing,2,2,64,0.5435,0.8182
cbramod,fixed,2,2,64,0.5435,0.8182
cbramod,growing,2,3,64,0.5099,0.7778
cbramod,fixed,2,3,64,0.5099,0.7778
cbramod,growing,2,4,64,0.5262,0.4167
cbramod,fixed,2,4,64,0.5262,0.4167
cbramod,growing,2,5,64,0.5008,0.3095
cbramod,fixed,2,5,64,0.5008,0.3095
cbramod,growing,2,6,64,0.5278,0.6833
cbramod,fixed,2,6,64,0.5278,0.6833
cbramod,growing,2,7,64,0.5628,0.6667
cbramod,fixed,2,7,64,0.5628,0.6667
cbramod,growing,2,8,64,0.5122,0.7333
cbramod,fixed,2,8,64,0.5122,0.7333
cbramod,growing,2,9,64,0.4875,0.4524
cbramod,fixed,2,9,64,0.4875,0.4524
cbramod,growing,4,0,128,0.5201,0.4314
cbramod,fixed,4,0,64,0.5569,0.625
cbramod,growing,4,1,128,0.5646,0.6082
cbramod,fixed,4,1,64,0.5038,0.8091
cbramod,growing,4,2,128,0.5138,0.5
cbramod,fixed,4,2,64,0.504,0.5794
cbramod,growing,4,3,128,0.5142,0.5909
cbramod,fixed,4,3,64,0.5538,0.2909
cbramod,growing,4,4,128,0.4981,0.5333
cbramod,fixed,4,4,64,0.5376,0.4
cbramod,growing,4,5,128,0.5047,0.4555
cbramod,fixed,4,5,64,0.4976,0.5333
cbramod,growing,4,6,128,0.511,0.3889
cbramod,fixed,4,6,64,0.5167,0.375
cbramod,growing,4,7,128,0.5022,0.5938
cbramod,fixed,4,7,64,0.533,0.5794
cbramod,growing,4,8,128,0.5097,0.5625
cbramod,fixed,4,8,64,0.5645,0.6667
cbramod,growing,4,9,128,0.5167,0.45
cbramod,fixed,4,9,64,0.5421,0.619
cbramod,growing,8,0,256,0.5273,0.5625
cbramod,fixed,8,0,64,0.4962,0.4048
cbramod,growing,8,1,256,0.5822,0.5802
cbramod,fixed,8,1,64,0.5318,0.7667
cbramod,growing,8,2,256,0.5376,0.5597
cbramod,fixed,8,2,64,0.5158,0.6667
cbramod,growing,8,3,256,0.5707,0.5953
cbramod,fixed,8,3,64,0.5289,0.4167
cbramod,growing,8,4,256,0.5438,0.5719
cbramod,fixed,8,4,64,0.5584,0.6833
cbramod,growing,8,5,256,0.5467,0.5015
cbramod,fixed,8,5,64,0.4932,0.3167
cbramod,growing,8,6,256,0.5629,0.5836
cbramod,fixed,8,6,64,0.52,0.6333
cbramod,growing,8,7,256,0.5378,0.5271
cbramod,fixed,8,7,64,0.5406,0.625
cbramod,growing,8,8,256,0.5481,0.6719
cbramod,fixed,8,8,64,0.5583,0.7063
cbramod,growing,8,9,256,0.5748,0.6735
cbramod,fixed,8,9,64,0.5274,0.5625
cbramod,growing,16,0,512,0.5792,0.6059
cbramod,growing,16,1,512,0.5717,0.6835
cbramod,growing,16,2,512,0.5805,0.6943
cbramod,growing,16,3,512,0.6222,0.6602
cbramod,growing,16,4,512,0.6224,0.5932
cbramod,growing,16,5,512,0.6045,0.6085
cbramod,growing,16,6,512,0.6148,0.5703
cbramod,growing,16,7,512,0.5615,0.6348
cbramod,growing,16,8,512,0.5957,0.543
cbramod,growing,16,9,512,0.6089,0.6574
cbramod,growing,104,0,2880,0.6444,0.6706
codebrain,growing,2,0,64,0.5468,0.4206
codebrain,fixed,2,0,64,0.5468,0.4206
codebrain,growing,2,1,64,0.5174,0.4375
codebrain,fixed,2,1,64,0.5174,0.4375
codebrain,growing,2,2,64,0.5392,0.7636
codebrain,fixed,2,2,64,0.5392,0.7636
codebrain,growing,2,3,64,0.5331,0.7063
codebrain,fixed,2,3,64,0.5331,0.7063
codebrain,growing,2,4,64,0.5228,0.6667
codebrain,fixed,2,4,64,0.5228,0.6667
codebrain,growing,2,5,64,0.5138,0.4524
codebrain,fixed,2,5,64,0.5138,0.4524
codebrain,growing,2,6,64,0.4994,0.5167
codebrain,fixed,2,6,64,0.4994,0.5167
codebrain,growing,2,7,64,0.5093,0.5833
codebrain,fixed,2,7,64,0.5093,0.5833
codebrain,growing,2,8,64,0.4945,0.6667
codebrain,fixed,2,8,64,0.4945,0.6667
codebrain,growing,2,9,64,0.5009,0.2381
codebrain,fixed,2,9,64,0.5009,0.2381
codebrain,growing,4,0,128,0.5111,0.5059
codebrain,fixed,4,0,64,0.5041,0.75
codebrain,growing,4,1,128,0.4744,0.6515
codebrain,fixed,4,1,64,0.5289,0.6182
codebrain,growing,4,2,128,0.5256,0.5278
codebrain,fixed,4,2,64,0.5125,0.5238
codebrain,growing,4,3,128,0.4906,0.4455
codebrain,fixed,4,3,64,0.5316,0.6636
codebrain,growing,4,4,128,0.4872,0.5583
codebrain,fixed,4,4,64,0.4947,0.7833
codebrain,growing,4,5,128,0.5243,0.4271
codebrain,fixed,4,5,64,0.5244,0.4833
codebrain,growing,4,6,128,0.5183,0.5159
codebrain,fixed,4,6,64,0.4684,0.5
codebrain,growing,4,7,128,0.5188,0.5312
codebrain,fixed,4,7,64,0.5097,0.3492
codebrain,growing,4,8,128,0.5346,0.7188
codebrain,fixed,4,8,64,0.5318,0.8
codebrain,growing,4,9,128,0.5072,0.6167
codebrain,fixed,4,9,64,0.5038,0.5476
codebrain,growing,8,0,256,0.526,0.5
codebrain,fixed,8,0,64,0.4934,0.5476
codebrain,growing,8,1,256,0.5395,0.5337
codebrain,fixed,8,1,64,0.5112,0.5
codebrain,growing,8,2,256,0.529,0.7065
codebrain,fixed,8,2,64,0.5228,0.5833
codebrain,growing,8,3,256,0.5674,0.5782
codebrain,fixed,8,3,64,0.554,0.5
codebrain,growing,8,4,256,0.5214,0.5243
codebrain,fixed,8,4,64,0.5348,0.3833
codebrain,growing,8,5,256,0.5214,0.5586
codebrain,fixed,8,5,64,0.5183,0.6167
codebrain,growing,8,6,256,0.5596,0.4434
codebrain,fixed,8,6,64,0.507,0.6333
codebrain,growing,8,7,256,0.5541,0.5158
codebrain,fixed,8,7,64,0.5065,0.375
codebrain,growing,8,8,256,0.5571,0.5781
codebrain,fixed,8,8,64,0.4858,0.3492
codebrain,growing,8,9,256,0.52,0.5627
codebrain,fixed,8,9,64,0.532,0.625
codebrain,growing,16,0,512,0.5497,0.5006
codebrain,growing,16,1,512,0.5719,0.6089
codebrain,growing,16,2,512,0.5537,0.6092
codebrain,growing,16,3,512,0.5466,0.5488
codebrain,growing,16,4,512,0.5466,0.6167
codebrain,growing,16,5,512,0.5171,0.522
codebrain,growing,16,6,512,0.5585,0.5333
codebrain,growing,16,7,512,0.5629,0.5691
codebrain,growing,16,8,512,0.5734,0.5792
codebrain,growing,16,9,512,0.5274,0.5916
codebrain,growing,104,0,2880,0.6073,0.5901
