model,N_source,seed,n_source,nway_acc_descriptive,nway_chance
cbramod,2,0,2,1.0,0.5
cbramod,2,1,2,0.8333,0.5
cbramod,2,2,2,0.9667,0.5
cbramod,2,3,2,1.0,0.5
cbramod,2,4,2,0.9667,0.5
cbramod,2,5,2,1.0,0.5
cbramod,2,6,2,0.8667,0.5
cbramod,2,7,2,0.9667,0.5
cbramod,2,8,2,0.9667,0.5
cbramod,2,9,2,0.8667,0.5
cbramod,4,0,4,0.9167,0.25
cbramod,4,1,4,0.8,0.25
cbramod,4,2,4,0.85,0.25
cbramod,4,3,4,0.9,0.25
cbramod,4,4,4,0.9333,0.25
cbramod,4,5,4,0.7667,0.25
cbramod,4,6,4,0.7667,0.25
cbramod,4,7,4,0.95,0.25
cbramod,4,8,4,0.9333,0.25
cbramod,4,9,4,0.9833,0.25
cbramod,8,0,8,0.9833,0.125
cbramod,8,1,8,0.9917,0.125
cbramod,8,2,8,0.9667,0.125
cbramod,8,3,8,0.975,0.125
cbramod,8,4,8,1.0,0.125
cbramod,8,5,8,0.9833,0.125
cbramod,8,6,8,0.9917,0.125
cbramod,8,7,8,0.9833,0.125
cbramod,8,8,8,0.9667,0.125
cbramod,8,9,8,1.0,0.125
cbramod,16,0,16,0.9833,0.0625
cbramod,16,1,16,0.9542,0.0625
cbramod,16,2,16,0.9667,0.0625
cbramod,16,3,16,0.975,0.0625
cbramod,16,4,16,0.9792,0.0625
cbramod,16,5,16,0.9708,0.0625
cbramod,16,6,16,0.9958,0.0625
cbramod,16,7,16,0.9458,0.0625
cbramod,16,8,16,0.9583,0.0625
cbramod,16,9,16,0.9708,0.0625
cbramod,all,0,90,0.9415,0.0111
codebrain,2,0,2,1.0,0.5
codebrain,2,1,2,0.8667,0.5
codebrain,2,2,2,0.9667,0.5
codebrain,2,3,2,1.0,0.5
codebrain,2,4,2,0.9333,0.5
codebrain,2,5,2,1.0,0.5
codebrain,2,6,2,1.0,0.5
codebrain,2,7,2,1.0,0.5
codebrain,2,8,2,1.0,0.5
codebrain,2,9,2,0.9,0.5
codebrain,4,0,4,0.8167,0.25
codebrain,4,1,4,0.9167,0.25
codebrain,4,2,4,0.9833,0.25
codebrain,4,3,4,0.8833,0.25
codebrain,4,4,4,0.9833,0.25
codebrain,4,5,4,0.85,0.25
codebrain,4,6,4,0.7,0.25
codebrain,4,7,4,0.9667,0.25
codebrain,4,8,4,0.95,0.25
codebrain,4,9,4,0.9667,0.25
codebrain,8,0,8,1.0,0.125
codebrain,8,1,8,0.9333,0.125
codebrain,8,2,8,0.9833,0.125
codebrain,8,3,8,0.8917,0.125
codebrain,8,4,8,0.9833,0.125
codebrain,8,5,8,0.9667,0.125
codebrain,8,6,8,1.0,0.125
codebrain,8,7,8,0.925,0.125
codebrain,8,8,8,1.0,0.125
codebrain,8,9,8,1.0,0.125
codebrain,16,0,16,0.9292,0.0625
codebrain,16,1,16,0.9583,0.0625
codebrain,16,2,16,0.975,0.0625
codebrain,16,3,16,0.9917,0.0625
codebrain,16,4,16,0.9917,0.0625
codebrain,16,5,16,0.9792,0.0625
codebrain,16,6,16,0.975,0.0625
codebrain,16,7,16,0.9,0.0625
codebrain,16,8,16,0.9708,0.0625
codebrain,16,9,16,1.0,0.0625
codebrain,all,0,90,0.9104,0.0111
