model,condition,N_source,seed,source_val_bacc,task_gated
cbramod,growing,2,0,0.2937,False
cbramod,fixed,2,0,0.2937,False
cbramod,growing,2,1,0.4375,False
cbramod,fixed,2,1,0.4375,False
cbramod,growing,2,2,0.8182,True
cbramod,fixed,2,2,0.8182,True
cbramod,growing,2,3,0.7778,True
cbramod,fixed,2,3,0.7778,True
cbramod,growing,2,4,0.4167,False
cbramod,fixed,2,4,0.4167,False
cbramod,growing,2,5,0.3095,False
cbramod,fixed,2,5,0.3095,False
cbramod,growing,2,6,0.6833,True
cbramod,fixed,2,6,0.6833,True
cbramod,growing,2,7,0.6667,True
cbramod,fixed,2,7,0.6667,True
cbramod,growing,2,8,0.7333,True
cbramod,fixed,2,8,0.7333,True
cbramod,growing,2,9,0.4524,False
cbramod,fixed,2,9,0.4524,False
cbramod,growing,4,0,0.4314,False
cbramod,fixed,4,0,0.625,True
cbramod,growing,4,1,0.6082,True
cbramod,fixed,4,1,0.8091,True
cbramod,growing,4,2,0.5,False
cbramod,fixed,4,2,0.5794,False
cbramod,growing,4,3,0.5909,True
cbramod,fixed,4,3,0.2909,False
cbramod,growing,4,4,0.5333,False
cbramod,fixed,4,4,0.4,False
cbramod,growing,4,5,0.4555,False
cbramod,fixed,4,5,0.5333,False
cbramod,growing,4,6,0.3889,False
cbramod,fixed,4,6,0.375,False
cbramod,growing,4,7,0.5938,True
cbramod,fixed,4,7,0.5794,False
cbramod,growing,4,8,0.5625,False
cbramod,fixed,4,8,0.6667,True
cbramod,growing,4,9,0.45,False
cbramod,fixed,4,9,0.619,True
cbramod,growing,8,0,0.5625,False
cbramod,fixed,8,0,0.4048,False
cbramod,growing,8,1,0.5802,True
cbramod,fixed,8,1,0.7667,True
cbramod,growing,8,2,0.5597,False
cbramod,fixed,8,2,0.6667,True
cbramod,growing,8,3,0.5953,True
cbramod,fixed,8,3,0.4167,False
cbramod,growing,8,4,0.5719,False
cbramod,fixed,8,4,0.6833,True
cbramod,growing,8,5,0.5015,False
cbramod,fixed,8,5,0.3167,False
cbramod,growing,8,6,0.5836,True
cbramod,fixed,8,6,0.6333,True
cbramod,growing,8,7,0.5271,False
cbramod,fixed,8,7,0.625,True
cbramod,growing,8,8,0.6719,True
cbramod,fixed,8,8,0.7063,True
cbramod,growing,8,9,0.6735,True
cbramod,fixed,8,9,0.5625,False
cbramod,growing,16,0,0.6059,True
cbramod,growing,16,1,0.6835,True
cbramod,growing,16,2,0.6943,True
cbramod,growing,16,3,0.6602,True
cbramod,growing,16,4,0.5932,True
cbramod,growing,16,5,0.6085,True
cbramod,growing,16,6,0.5703,False
cbramod,growing,16,7,0.6348,True
cbramod,growing,16,8,0.543,False
cbramod,growing,16,9,0.6574,True
cbramod,growing,104,0,0.6706,True
codebrain,growing,2,0,0.4206,False
codebrain,fixed,2,0,0.4206,False
codebrain,growing,2,1,0.4375,False
codebrain,fixed,2,1,0.4375,False
codebrain,growing,2,2,0.7636,True
codebrain,fixed,2,2,0.7636,True
codebrain,growing,2,3,0.7063,True
codebrain,fixed,2,3,0.7063,True
codebrain,growing,2,4,0.6667,True
codebrain,fixed,2,4,0.6667,True
codebrain,growing,2,5,0.4524,False
codebrain,fixed,2,5,0.4524,False
codebrain,growing,2,6,0.5167,False
codebrain,fixed,2,6,0.5167,False
codebrain,growing,2,7,0.5833,True
codebrain,fixed,2,7,0.5833,True
codebrain,growing,2,8,0.6667,True
codebrain,fixed,2,8,0.6667,True
codebrain,growing,2,9,0.2381,False
codebrain,fixed,2,9,0.2381,False
codebrain,growing,4,0,0.5059,False
codebrain,fixed,4,0,0.75,True
codebrain,growing,4,1,0.6515,True
codebrain,fixed,4,1,0.6182,True
codebrain,growing,4,2,0.5278,False
codebrain,fixed,4,2,0.5238,False
codebrain,growing,4,3,0.4455,False
codebrain,fixed,4,3,0.6636,True
codebrain,growing,4,4,0.5583,False
codebrain,fixed,4,4,0.7833,True
codebrain,growing,4,5,0.4271,False
codebrain,fixed,4,5,0.4833,False
codebrain,growing,4,6,0.5159,False
codebrain,fixed,4,6,0.5,False
codebrain,growing,4,7,0.5312,False
codebrain,fixed,4,7,0.3492,False
codebrain,growing,4,8,0.7188,True
codebrain,fixed,4,8,0.8,True
codebrain,growing,4,9,0.6167,True
codebrain,fixed,4,9,0.5476,False
codebrain,growing,8,0,0.5,False
codebrain,fixed,8,0,0.5476,False
codebrain,growing,8,1,0.5337,False
codebrain,fixed,8,1,0.5,False
codebrain,growing,8,2,0.7065,True
codebrain,fixed,8,2,0.5833,True
codebrain,growing,8,3,0.5782,False
codebrain,fixed,8,3,0.5,False
codebrain,growing,8,4,0.5243,False
codebrain,fixed,8,4,0.3833,False
codebrain,growing,8,5,0.5586,False
codebrain,fixed,8,5,0.6167,True
codebrain,growing,8,6,0.4434,False
codebrain,fixed,8,6,0.6333,True
codebrain,growing,8,7,0.5158,False
codebrain,fixed,8,7,0.375,False
codebrain,growing,8,8,0.5781,False
codebrain,fixed,8,8,0.3492,False
codebrain,growing,8,9,0.5627,False
codebrain,fixed,8,9,0.625,True
codebrain,growing,16,0,0.5006,False
codebrain,growing,16,1,0.6089,True
codebrain,growing,16,2,0.6092,True
codebrain,growing,16,3,0.5488,False
codebrain,growing,16,4,0.6167,True
codebrain,growing,16,5,0.522,False
codebrain,growing,16,6,0.5333,False
codebrain,growing,16,7,0.5691,False
codebrain,growing,16,8,0.5792,False
codebrain,growing,16,9,0.5916,True
codebrain,growing,104,0,0.5901,True
