model,condition,N_source,seed,task_gated,l6_target_delta
cbramod,growing,2,0,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,2,0,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,2,1,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,2,1,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,2,2,True,0.0015
cbramod,fixed,2,2,True,0.0015
cbramod,growing,2,3,True,0.0044
cbramod,fixed,2,3,True,0.0044
cbramod,growing,2,4,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,2,4,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,2,5,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,2,5,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,2,6,True,-0.003
cbramod,fixed,2,6,True,-0.003
cbramod,growing,2,7,True,0.0104
cbramod,fixed,2,7,True,0.0104
cbramod,growing,2,8,True,-0.0045
cbramod,fixed,2,8,True,-0.0045
cbramod,growing,2,9,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,2,9,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,4,0,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,4,0,True,0.0118
cbramod,growing,4,1,True,-0.0015
cbramod,fixed,4,1,True,0.0163
cbramod,growing,4,2,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,4,2,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,4,3,True,-0.0015
cbramod,fixed,4,3,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,4,4,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,4,4,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,4,5,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,4,5,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,4,6,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,4,6,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,4,7,True,0.0
cbramod,fixed,4,7,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,4,8,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,4,8,True,-0.0015
cbramod,growing,4,9,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,4,9,True,0.0445
cbramod,growing,8,0,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,8,0,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,8,1,True,0.0074
cbramod,fixed,8,1,True,-0.0119
cbramod,growing,8,2,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,8,2,True,-0.0045
cbramod,growing,8,3,True,0.0015
cbramod,fixed,8,3,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,8,4,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,8,4,True,-0.0044
cbramod,growing,8,5,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,8,5,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,8,6,True,-0.003
cbramod,fixed,8,6,True,0.0015
cbramod,growing,8,7,False,WEAK_TASK_NOT_INTERPRETED
cbramod,fixed,8,7,True,-0.0
cbramod,growing,8,8,True,0.0015
cbramod,fixed,8,8,True,0.003
cbramod,growing,8,9,True,0.0
cbramod,fixed,8,9,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,16,0,True,-0.0015
cbramod,growing,16,1,True,-0.0059
cbramod,growing,16,2,True,0.0044
cbramod,growing,16,3,True,-0.003
cbramod,growing,16,4,True,-0.0059
cbramod,growing,16,5,True,0.003
cbramod,growing,16,6,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,16,7,True,-0.0
cbramod,growing,16,8,False,WEAK_TASK_NOT_INTERPRETED
cbramod,growing,16,9,True,-0.003
cbramod,growing,104,0,True,0.0015
codebrain,growing,2,0,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,2,0,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,2,1,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,2,1,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,2,2,True,0.0044
codebrain,fixed,2,2,True,0.0044
codebrain,growing,2,3,True,0.0044
codebrain,fixed,2,3,True,0.0044
codebrain,growing,2,4,True,0.0015
codebrain,fixed,2,4,True,0.0015
codebrain,growing,2,5,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,2,5,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,2,6,False,WEAK_TASK_NOT_INTERPRETED
codebrain,fixed,2,6,False,WEAK_TASK_NOT_INTERPRETED
codebrain,growing,2,7,True,0.0
codebrain,fixed,2,7,True,0.0
codebrain,growing,2,8,True,0.0044
