subject,ok,n_left,n_right,total,ch_ok,sfreq_ok,runheldout_ok,r4,r8,r12
1,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
2,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
3,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
4,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
5,True,21,24,45,True,True,True,"(7, 8)","(7, 8)","(7, 8)"
6,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
7,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
8,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
9,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
10,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
11,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
12,True,21,24,45,True,True,True,"(7, 8)","(7, 8)","(7, 8)"
13,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
14,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
15,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
16,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
17,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
18,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
19,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
20,True,23,22,45,True,True,True,"(7, 8)","(8, 7)","(8, 7)"
21,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
22,True,22,23,45,True,True,True,"(7, 8)","(8, 7)","(7, 8)"
23,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
24,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
25,True,22,23,45,True,True,True,"(7, 8)","(7, 8)","(8, 7)"
26,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
27,True,23,22,45,True,True,True,"(8, 7)","(7, 8)","(8, 7)"
28,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
29,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
30,True,24,21,45,True,True,True,"(8, 7)","(8, 7)","(8, 7)"
31,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
32,True,21,24,45,True,True,True,"(7, 8)","(7, 8)","(7, 8)"
33,True,23,22,45,True,True,True,"(8, 7)","(8, 7)","(7, 8)"
34,True,21,24,45,True,True,True,"(7, 8)","(7, 8)","(7, 8)"
35,True,22,23,45,True,True,True,"(8, 7)","(7, 8)","(7, 8)"
