subject,total,runheldout_ok
1,45,True
2,45,True
3,45,True
4,45,True
5,45,True
6,45,True
7,45,True
8,45,True
9,45,True
10,45,True
11,45,True
12,45,True
13,45,True
14,45,True
15,45,True
16,45,True
17,45,True
18,45,True
19,45,True
20,45,True
21,45,True
22,45,True
23,45,True
24,45,True
25,45,True
26,45,True
27,45,True
28,45,True
29,45,True
30,45,True
31,45,True
32,45,True
33,45,True
34,45,True
35,45,True
36,45,True
37,45,True
38,45,True
39,45,True
40,45,True
41,45,True
42,45,True
43,45,True
44,45,True
45,45,True
46,45,True
47,45,True
48,45,True
49,45,True
50,45,True
51,45,True
52,45,True
53,45,True
54,45,True
55,45,True
56,45,True
57,45,True
58,45,True
59,45,True
60,45,True
61,45,True
62,45,True
63,45,True
64,45,True
65,45,True
66,45,True
67,45,True
68,45,True
69,45,True
70,45,True
71,45,True
72,45,True
73,45,True
74,45,True
75,45,True
76,45,True
77,45,True
78,45,True
79,45,True
80,45,True
81,45,True
82,45,True
83,45,True
84,45,True
85,45,True
86,45,True
87,45,True
90,45,True
91,45,True
93,45,True
94,45,True
95,45,True
96,45,True
97,45,True
98,45,True
99,45,True
101,45,True
102,45,True
103,45,True
104,43,True
105,45,True
106,45,True
107,45,True
108,45,True
109,45,True
