model,condition,N_source,seed,task_gated,subj_rank,l4_alignment
cbramod,growing,2,0,False,,
cbramod,fixed,2,0,False,,
cbramod,growing,2,1,False,,
cbramod,fixed,2,1,False,,
cbramod,growing,2,2,True,2,0.0161
cbramod,fixed,2,2,True,2,0.0161
cbramod,growing,2,3,True,2,0.1281
cbramod,fixed,2,3,True,2,0.1281
cbramod,growing,2,4,False,,
cbramod,fixed,2,4,False,,
cbramod,growing,2,5,False,,
cbramod,fixed,2,5,False,,
cbramod,growing,2,6,True,2,0.0142
cbramod,fixed,2,6,True,2,0.0142
cbramod,growing,2,7,True,2,0.0551
cbramod,fixed,2,7,True,2,0.0551
cbramod,growing,2,8,True,2,0.0695
cbramod,fixed,2,8,True,2,0.0695
cbramod,growing,2,9,False,,
cbramod,fixed,2,9,False,,
cbramod,growing,4,0,False,,
cbramod,fixed,4,0,True,6,0.1816
cbramod,growing,4,1,True,6,0.0026
cbramod,fixed,4,1,True,6,0.1539
cbramod,growing,4,2,False,,
cbramod,fixed,4,2,False,,
cbramod,growing,4,3,True,6,0.0059
cbramod,fixed,4,3,False,,
cbramod,growing,4,4,False,,
cbramod,fixed,4,4,False,,
cbramod,growing,4,5,False,,
cbramod,fixed,4,5,False,,
cbramod,growing,4,6,False,,
cbramod,fixed,4,6,False,,
cbramod,growing,4,7,True,6,0.0023
cbramod,fixed,4,7,False,,
cbramod,growing,4,8,False,,
cbramod,fixed,4,8,True,6,0.1625
cbramod,growing,4,9,False,,
cbramod,fixed,4,9,True,6,0.3855
cbramod,growing,8,0,False,,
cbramod,fixed,8,0,False,,
cbramod,growing,8,1,True,8,0.0444
cbramod,fixed,8,1,True,8,0.0549
cbramod,growing,8,2,False,,
cbramod,fixed,8,2,True,8,0.0282
cbramod,growing,8,3,True,8,0.0252
cbramod,fixed,8,3,False,,
cbramod,growing,8,4,False,,
cbramod,fixed,8,4,True,8,0.029
cbramod,growing,8,5,False,,
cbramod,fixed,8,5,False,,
cbramod,growing,8,6,True,8,0.0255
cbramod,fixed,8,6,True,8,0.0299
cbramod,growing,8,7,False,,
cbramod,fixed,8,7,True,8,0.0226
cbramod,growing,8,8,True,8,0.0153
cbramod,fixed,8,8,True,8,0.0269
cbramod,growing,8,9,True,8,0.0495
cbramod,fixed,8,9,False,,
cbramod,growing,16,0,True,8,0.029
cbramod,growing,16,1,True,8,0.0205
cbramod,growing,16,2,True,8,0.0398
cbramod,growing,16,3,True,8,0.027
cbramod,growing,16,4,True,8,0.0133
cbramod,growing,16,5,True,8,0.0363
cbramod,growing,16,6,False,,
cbramod,growing,16,7,True,8,0.0199
cbramod,growing,16,8,False,,
cbramod,growing,16,9,True,8,0.0095
cbramod,growing,104,0,True,8,0.0365
codebrain,growing,2,0,False,,
codebrain,fixed,2,0,False,,
codebrain,growing,2,1,False,,
codebrain,fixed,2,1,False,,
codebrain,growing,2,2,True,2,0.0277
codebrain,fixed,2,2,True,2,0.0277
codebrain,growing,2,3,True,2,0.1548
codebrain,fixed,2,3,True,2,0.1548
codebrain,growing,2,4,True,2,0.0513
codebrain,fixed,2,4,True,2,0.0513
codebrain,growing,2,5,False,,
codebrain,fixed,2,5,False,,
codebrain,growing,2,6,False,,
codebrain,fixed,2,6,False,,
codebrain,growing,2,7,True,2,0.0115
codebrain,fixed,2,7,True,2,0.0115
codebrain,growing,2,8,True,2,0.0218
codebrain,fixed,2,8,True,2,0.0218
codebrain,growing,2,9,False,,
codebrain,fixed,2,9,False,,
codebrain,growing,4,0,False,,
codebrain,fixed,4,0,True,6,0.0733
codebrain,growing,4,1,True,6,0.0007
codebrain,fixed,4,1,True,6,0.0603
codebrain,growing,4,2,False,,
codebrain,fixed,4,2,False,,
codebrain,growing,4,3,False,,
codebrain,fixed,4,3,True,6,0.1723
codebrain,growing,4,4,False,,
codebrain,fixed,4,4,True,6,0.0964
codebrain,growing,4,5,False,,
codebrain,fixed,4,5,False,,
codebrain,growing,4,6,False,,
codebrain,fixed,4,6,False,,
codebrain,growing,4,7,False,,
codebrain,fixed,4,7,False,,
codebrain,growing,4,8,True,6,0.0012
codebrain,fixed,4,8,True,6,0.0824
codebrain,growing,4,9,True,6,0.0008
codebrain,fixed,4,9,False,,
codebrain,growing,8,0,False,,
codebrain,fixed,8,0,False,,
codebrain,growing,8,1,False,,
codebrain,fixed,8,1,False,,
codebrain,growing,8,2,True,8,0.0295
codebrain,fixed,8,2,True,8,0.0524
codebrain,growing,8,3,False,,
codebrain,fixed,8,3,False,,
codebrain,growing,8,4,False,,
codebrain,fixed,8,4,False,,
codebrain,growing,8,5,False,,
codebrain,fixed,8,5,True,8,0.0522
codebrain,growing,8,6,False,,
codebrain,fixed,8,6,True,8,0.053
codebrain,growing,8,7,False,,
codebrain,fixed,8,7,False,,
codebrain,growing,8,8,False,,
codebrain,fixed,8,8,False,,
codebrain,growing,8,9,False,,
codebrain,fixed,8,9,True,8,0.0194
codebrain,growing,16,0,False,,
codebrain,growing,16,1,True,8,0.0215
codebrain,growing,16,2,True,8,0.0193
codebrain,growing,16,3,False,,
codebrain,growing,16,4,True,8,0.014
codebrain,growing,16,5,False,,
codebrain,growing,16,6,False,,
codebrain,growing,16,7,False,,
codebrain,growing,16,8,False,,
codebrain,growing,16,9,True,8,0.0113
codebrain,growing,104,0,True,8,0.0604
