model,dataset,target_subject,k,base_bacc,drop_subject,drop_variance,drop_oracle_task,var_removed_subject
codebrain,shu,1,2,0.5794,-0.0021,0.0,0.0789,0.0035
codebrain,shu,2,2,0.5984,0.0025,-0.0057,0.0984,0.0035
codebrain,shu,3,2,0.628,0.0041,0.0016,0.128,0.0082
codebrain,shu,4,2,0.6885,-0.0016,0.0042,0.1885,0.0045
codebrain,shu,5,2,0.6543,0.0005,0.001,0.1543,0.0052
codebrain,shu,6,2,0.5134,-0.0068,-0.0037,0.0134,0.0047
codebrain,shu,7,2,0.6384,-0.001,0.0021,0.1384,0.0103
codebrain,shu,8,2,0.7159,0.0015,0.0061,0.2159,0.0053
codebrain,shu,9,2,0.6866,0.0016,-0.0094,0.1866,0.0039
codebrain,shu,10,2,0.5564,-0.0051,-0.001,0.0564,0.0022
codebrain,shu,11,2,0.6359,-0.0016,-0.0037,0.1359,0.0044
codebrain,shu,12,2,0.6095,-0.001,0.0005,0.1095,0.0059
codebrain,shu,13,2,0.6516,-0.001,0.0016,0.1516,0.0097
codebrain,shu,14,2,0.568,0.0062,0.0085,0.068,0.0095
codebrain,shu,15,2,0.5841,-0.0064,-0.001,0.0841,0.0043
codebrain,shu,16,2,0.6003,-0.0021,0.0084,0.1003,0.0056
codebrain,shu,17,2,0.6051,-0.0016,0.0005,0.1051,0.0024
codebrain,shu,18,2,0.6015,-0.0047,0.0052,0.1015,0.0104
codebrain,shu,19,2,0.5683,-0.0005,0.0052,0.0683,0.0043
codebrain,shu,20,2,0.5223,0.001,0.014,0.0218,0.0047
codebrain,shu,21,2,0.5754,0.0083,-0.0005,0.0754,0.0076
codebrain,shu,22,2,0.6599,0.001,0.0042,0.1599,0.0042
codebrain,shu,23,2,0.6136,0.0016,-0.0074,0.1136,0.0045
codebrain,shu,24,2,0.5823,0.0,-0.0026,0.0823,0.0054
codebrain,shu,25,2,0.5778,0.0017,0.0011,0.0773,0.0044
cbramod,shu,1,2,0.5529,0.0026,0.0005,0.0529,0.0066
cbramod,shu,2,2,0.5937,0.0015,0.0073,0.0937,0.006
cbramod,shu,3,2,0.6079,-0.0067,0.0062,0.1079,0.0081
cbramod,shu,4,2,0.6532,0.0,0.0005,0.1532,0.0085
cbramod,shu,5,2,0.6245,-0.0016,-0.0056,0.1239,0.008
cbramod,shu,6,2,0.5296,-0.001,0.0006,0.0296,0.0054
cbramod,shu,7,2,0.6332,0.0016,-0.0016,0.1332,0.0048
cbramod,shu,8,2,0.6979,0.001,-0.0093,0.1979,0.009
cbramod,shu,9,2,0.6629,0.0021,0.0087,0.1629,0.0056
cbramod,shu,10,2,0.5713,-0.0031,0.0015,0.0713,0.0036
cbramod,shu,11,2,0.6054,0.0005,0.0,0.1054,0.0064
cbramod,shu,12,2,0.6101,0.0041,0.0021,0.1117,0.013
cbramod,shu,13,2,0.627,-0.0021,-0.0031,0.127,0.0114
cbramod,shu,14,2,0.5445,0.0021,-0.0073,0.0445,0.007
cbramod,shu,15,2,0.5606,0.0005,0.0005,0.0606,0.006
cbramod,shu,16,2,0.5953,0.0016,-0.0,0.0953,0.0079
cbramod,shu,17,2,0.579,-0.0042,0.0026,0.079,0.0055
cbramod,shu,18,2,0.6098,0.0062,0.001,0.1098,0.0063
cbramod,shu,19,2,0.5757,-0.0016,0.0099,0.0752,0.005
cbramod,shu,20,2,0.525,0.0021,-0.0075,0.025,0.0065
cbramod,shu,21,2,0.5707,-0.0021,-0.001,0.0707,0.0086
cbramod,shu,22,2,0.6393,-0.0,-0.0021,0.1393,0.0081
cbramod,shu,23,2,0.5903,0.0011,-0.0005,0.0903,0.008
cbramod,shu,24,2,0.5688,-0.0011,-0.0021,0.0688,0.0092
cbramod,shu,25,2,0.6035,-0.0016,-0.0049,0.1068,0.0043
