model,dataset,target_subject,k,chance,target_base_bacc,target_after_subject,target_after_variance,delta_subject
cbramod,shu,1,2,0.5,0.4794,0.4978,0.4977,-0.0183
cbramod,shu,2,2,0.5,0.5323,0.5337,0.536,-0.0014
cbramod,shu,3,2,0.5,0.5405,0.5218,0.5197,0.0187
cbramod,shu,4,2,0.5,0.5275,0.523,0.5228,0.0045
cbramod,shu,5,2,0.5,0.5187,0.525,0.5208,-0.0063
cbramod,shu,6,2,0.5,0.6464,0.6527,0.6419,-0.0062
cbramod,shu,7,2,0.5,0.5717,0.5697,0.5676,0.002
cbramod,shu,8,2,0.5,0.5199,0.5177,0.5198,0.0021
cbramod,shu,9,2,0.5,0.4742,0.4681,0.4722,0.0061
cbramod,shu,10,2,0.5,0.5465,0.5506,0.5527,-0.0041
cbramod,shu,11,2,0.5,0.5374,0.5294,0.5294,0.008
cbramod,shu,12,2,0.5,0.5474,0.548,0.5455,-0.0006
cbramod,shu,13,2,0.5,0.6229,0.6229,0.6146,0.0
cbramod,shu,14,2,0.5,0.5364,0.5442,0.5357,-0.0077
cbramod,shu,15,2,0.5,0.5166,0.5077,0.5142,0.009
cbramod,shu,16,2,0.5,0.5615,0.5718,0.5657,-0.0103
cbramod,shu,17,2,0.5,0.5761,0.574,0.58,0.0021
cbramod,shu,18,2,0.5,0.5649,0.5609,0.5629,0.004
cbramod,shu,19,2,0.5,0.5915,0.6001,0.6002,-0.0086
cbramod,shu,20,2,0.5,0.6234,0.6275,0.6276,-0.0041
cbramod,shu,21,2,0.5,0.581,0.5788,0.5849,0.0022
cbramod,shu,22,2,0.5,0.5462,0.538,0.5378,0.0082
cbramod,shu,23,2,0.5,0.5638,0.5638,0.5617,0.0
cbramod,shu,24,2,0.5,0.4786,0.4855,0.4901,-0.0069
cbramod,shu,25,2,0.5,0.4976,0.5061,0.5125,-0.0085
codebrain,shu,1,2,0.5,0.4939,0.4939,0.4939,-0.0
codebrain,shu,2,2,0.5,0.5572,0.5571,0.5505,0.0001
codebrain,shu,3,2,0.5,0.4823,0.4842,0.4925,-0.002
codebrain,shu,4,2,0.5,0.5039,0.5039,0.5035,0.0001
codebrain,shu,5,2,0.5,0.518,0.5222,0.5222,-0.0042
codebrain,shu,6,2,0.5,0.6728,0.6812,0.6749,-0.0084
codebrain,shu,7,2,0.5,0.5389,0.5389,0.5348,0.0
codebrain,shu,8,2,0.5,0.5259,0.5259,0.528,0.0
codebrain,shu,9,2,0.5,0.5239,0.536,0.5259,-0.0121
codebrain,shu,10,2,0.5,0.5056,0.5096,0.5014,-0.004
codebrain,shu,11,2,0.5,0.5042,0.4963,0.4941,0.0079
codebrain,shu,12,2,0.5,0.543,0.543,0.543,-0.0001
codebrain,shu,13,2,0.5,0.5467,0.5428,0.5505,0.0039
codebrain,shu,14,2,0.5,0.5202,0.5136,0.5177,0.0066
codebrain,shu,15,2,0.5,0.5097,0.524,0.512,-0.0143
codebrain,shu,16,2,0.5,0.5612,0.5551,0.555,0.0061
codebrain,shu,17,2,0.5,0.4805,0.4844,0.4785,-0.0039
codebrain,shu,18,2,0.5,0.5814,0.5795,0.5773,0.0019
codebrain,shu,19,2,0.5,0.5628,0.58,0.5736,-0.0172
codebrain,shu,20,2,0.5,0.5091,0.5071,0.503,0.0021
codebrain,shu,21,2,0.5,0.5309,0.5287,0.5266,0.0022
codebrain,shu,22,2,0.5,0.5571,0.5676,0.5569,-0.0105
codebrain,shu,23,2,0.5,0.5185,0.5185,0.5206,0.0
codebrain,shu,24,2,0.5,0.5049,0.5049,0.5164,-0.0
codebrain,shu,25,2,0.5,0.5034,0.5012,0.5119,0.0021
