model,dataset,target_subject,k,base_bacc,drop_subject,drop_variance,drop_oracle_task,var_removed_subject,var_removed_variance
cbramod,shu,1,2,0.5227,0.0021,0.0021,0.0369,0.4587,0.5308
cbramod,shu,2,2,0.5534,0.0013,0.0026,0.0406,0.472,0.5381
cbramod,shu,3,2,0.5601,-0.0046,-0.0098,0.0551,0.4783,0.4739
cbramod,shu,4,2,0.5614,0.0021,0.0015,0.0663,0.4373,0.4694
cbramod,shu,5,2,0.5668,-0.0032,-0.0011,0.0822,0.4765,0.5292
cbramod,shu,6,2,0.5109,0.0017,-0.0026,0.0214,0.4314,0.4214
cbramod,shu,7,2,0.5666,0.001,0.0,0.0656,0.4669,0.495
cbramod,shu,8,2,0.5906,0.0016,-0.0005,0.1,0.4497,0.4838
cbramod,shu,9,2,0.5586,-0.0008,-0.0024,0.0613,0.4083,0.4498
cbramod,shu,10,2,0.5503,0.0036,0.0062,0.0832,0.3781,0.3978
cbramod,shu,11,2,0.5718,-0.0001,-0.0022,0.0657,0.4696,0.5198
cbramod,shu,12,2,0.5565,0.0005,-0.0016,0.0658,0.4839,0.5119
cbramod,shu,13,2,0.5468,-0.0016,0.0042,0.0549,0.3852,0.4307
cbramod,shu,14,2,0.5177,-0.0006,-0.0021,0.0203,0.4378,0.4584
cbramod,shu,15,2,0.5127,-0.0026,-0.0015,0.0057,0.4222,0.4524
cbramod,shu,16,2,0.5599,0.0021,-0.0004,0.0559,0.4625,0.4741
cbramod,shu,17,2,0.5397,0.0026,0.0026,0.0607,0.4619,0.5273
cbramod,shu,18,2,0.556,-0.0052,-0.0057,0.0677,0.3603,0.4076
cbramod,shu,19,2,0.5371,-0.0046,-0.0052,0.0519,0.4862,0.4941
cbramod,shu,20,2,0.5303,-0.0016,-0.0043,0.0398,0.503,0.5382
cbramod,shu,21,2,0.5369,-0.0047,-0.0016,0.0394,0.4764,0.4802
cbramod,shu,22,2,0.5888,0.0047,0.0037,0.0869,0.444,0.4933
cbramod,shu,23,2,0.5551,-0.0,0.0059,0.0491,0.4621,0.49
cbramod,shu,24,2,0.5335,-0.0,-0.0063,0.0484,0.463,0.5031
cbramod,shu,25,2,0.5486,0.0005,0.0,0.0519,0.4251,0.4447
codebrain,shu,1,2,0.5282,-0.0005,0.0021,0.0191,0.4103,0.5175
codebrain,shu,2,2,0.5297,0.001,0.0026,0.0322,0.4009,0.5006
codebrain,shu,3,2,0.514,0.0036,0.0026,0.0207,0.5006,0.4668
codebrain,shu,4,2,0.5457,-0.01,-0.0016,0.0566,0.5587,0.6397
codebrain,shu,5,2,0.5343,0.0036,0.0,0.0532,0.427,0.514
codebrain,shu,6,2,0.5138,-0.0041,-0.0032,0.006,0.6353,0.5422
codebrain,shu,7,2,0.5453,0.0021,0.001,0.0375,0.7099,0.7129
codebrain,shu,8,2,0.5488,0.002,-0.0036,0.0767,0.5352,0.5637
codebrain,shu,9,2,0.5741,-0.001,-0.0031,0.0677,0.5338,0.6132
codebrain,shu,10,2,0.5265,0.0073,0.001,0.0359,0.4111,0.3721
codebrain,shu,11,2,0.5368,-0.0038,-0.001,0.02,0.3812,0.5199
codebrain,shu,12,2,0.5446,-0.0005,0.0031,0.0593,0.6321,0.6845
codebrain,shu,13,2,0.5343,0.0042,-0.0005,0.0455,0.474,0.4904
codebrain,shu,14,2,0.5407,0.0079,-0.001,0.0302,0.5491,0.6123
codebrain,shu,15,2,0.5213,0.0011,-0.001,0.0014,0.4776,0.605
codebrain,shu,16,2,0.5212,0.0026,-0.0005,0.0203,0.5832,0.6391
codebrain,shu,17,2,0.5403,0.0021,0.0047,0.0413,0.3737,0.5451
codebrain,shu,18,2,0.5168,0.0031,0.0005,0.0249,0.5605,0.5628
codebrain,shu,19,2,0.5025,-0.0015,-0.0031,0.0125,0.4443,0.4089
codebrain,shu,20,2,0.5099,0.0,0.0011,0.0166,0.5142,0.5765
codebrain,shu,21,2,0.5253,0.0015,-0.0037,0.0383,0.5961,0.5888
codebrain,shu,22,2,0.5538,0.0078,0.0052,0.0522,0.6189,0.6886
codebrain,shu,23,2,0.5328,-0.0048,-0.0005,0.0263,0.5534,0.5975
codebrain,shu,24,2,0.5284,0.0016,0.0026,0.0193,0.5407,0.6122
codebrain,shu,25,2,0.5219,-0.0047,-0.0107,0.0052,0.5489,0.5867
