model,dataset,target_subject,k,chance,target_base_bacc,delta_subject,delta_variance
codebrain,shu,1,2,0.5,0.5112,-0.0041,-0.004
codebrain,shu,2,2,0.5,0.5917,0.0063,0.0078
codebrain,shu,3,2,0.5,0.526,-0.0001,-0.002
codebrain,shu,4,2,0.5,0.5503,0.0021,0.0
codebrain,shu,5,2,0.5,0.6064,0.0043,0.0043
codebrain,shu,6,2,0.5,0.9023,0.0,-0.0128
codebrain,shu,7,2,0.5,0.6373,0.002,0.0082
codebrain,shu,8,2,0.5,0.5843,-0.0,-0.0084
codebrain,shu,9,2,0.5,0.5063,-0.002,-0.0222
codebrain,shu,10,2,0.5,0.4945,0.0001,-0.002
codebrain,shu,11,2,0.5,0.519,0.0035,0.0161
codebrain,shu,12,2,0.5,0.5548,0.0021,0.0188
codebrain,shu,13,2,0.5,0.7566,0.0042,-0.002
codebrain,shu,14,2,0.5,0.5469,-0.002,-0.004
codebrain,shu,15,2,0.5,0.5014,0.0003,0.0
codebrain,shu,16,2,0.5,0.6207,-0.0,0.002
codebrain,shu,17,2,0.5,0.5299,0.002,-0.0101
codebrain,shu,18,2,0.5,0.632,0.0101,-0.0121
codebrain,shu,19,2,0.5,0.7012,0.0,0.0042
codebrain,shu,20,2,0.5,0.8609,0.0,0.002
codebrain,shu,21,2,0.5,0.7155,-0.0042,-0.0021
codebrain,shu,22,2,0.5,0.6634,-0.0021,-0.0124
codebrain,shu,23,2,0.5,0.6317,0.0,-0.0021
codebrain,shu,24,2,0.5,0.4892,0.0046,-0.0046
codebrain,shu,25,2,0.5,0.4803,0.0021,0.0021
cbramod,shu,1,2,0.5,0.487,0.0101,-0.0
cbramod,shu,2,2,0.5,0.5126,-0.006,0.006
cbramod,shu,3,2,0.5,0.5137,-0.0001,-0.0063
cbramod,shu,4,2,0.5,0.5296,0.0042,0.002
cbramod,shu,5,2,0.5,0.6034,-0.0041,-0.0081
cbramod,shu,6,2,0.5,0.7952,0.0021,0.0083
cbramod,shu,7,2,0.5,0.6332,0.0,-0.002
cbramod,shu,8,2,0.5,0.6033,0.0042,-0.0126
cbramod,shu,9,2,0.5,0.5157,0.0021,0.0043
cbramod,shu,10,2,0.5,0.4986,-0.0041,0.0021
cbramod,shu,11,2,0.5,0.5089,0.0061,0.0102
cbramod,shu,12,2,0.5,0.5407,0.0043,0.011
cbramod,shu,13,2,0.5,0.7159,0.0059,0.006
cbramod,shu,14,2,0.5,0.5168,0.0043,0.0211
cbramod,shu,15,2,0.5,0.56,0.0043,0.0041
cbramod,shu,16,2,0.5,0.6375,0.0021,-0.0061
cbramod,shu,17,2,0.5,0.5444,0.0,0.0061
cbramod,shu,18,2,0.5,0.6419,-0.002,0.0
cbramod,shu,19,2,0.5,0.7005,0.0043,-0.0041
cbramod,shu,20,2,0.5,0.8507,0.0,-0.002
cbramod,shu,21,2,0.5,0.697,-0.0021,-0.0041
cbramod,shu,22,2,0.5,0.6558,-0.0042,0.0209
cbramod,shu,23,2,0.5,0.6605,0.0041,-0.0062
cbramod,shu,24,2,0.5,0.5356,0.0023,0.0091
cbramod,shu,25,2,0.5,0.4894,-0.0022,-0.0044
