model,dataset,target_subject,k,task_head_subject_alignment,subj_rank
codebrain,shu,1,1,0.0216,1
codebrain,shu,1,2,0.027,2
codebrain,shu,1,4,0.0353,4
codebrain,shu,1,8,0.0353,8
codebrain,shu,2,1,0.0212,1
codebrain,shu,2,2,0.0212,2
codebrain,shu,2,4,0.0406,4
codebrain,shu,2,8,0.0574,8
codebrain,shu,3,1,0.0585,1
codebrain,shu,3,2,0.0585,2
codebrain,shu,3,4,0.0585,4
codebrain,shu,3,8,0.0585,8
codebrain,shu,4,1,0.036,1
codebrain,shu,4,2,0.036,2
codebrain,shu,4,4,0.036,4
codebrain,shu,4,8,0.0658,8
codebrain,shu,5,1,0.0137,1
codebrain,shu,5,2,0.0137,2
codebrain,shu,5,4,0.049,4
codebrain,shu,5,8,0.0895,8
codebrain,shu,6,1,0.0387,1
codebrain,shu,6,2,0.0387,2
codebrain,shu,6,4,0.0639,4
codebrain,shu,6,8,0.0639,8
codebrain,shu,7,1,0.0439,1
codebrain,shu,7,2,0.0439,2
codebrain,shu,7,4,0.0439,4
codebrain,shu,7,8,0.047,8
codebrain,shu,8,1,0.0196,1
codebrain,shu,8,2,0.0196,2
codebrain,shu,8,4,0.0561,4
codebrain,shu,8,8,0.1007,8
codebrain,shu,9,1,0.0349,1
codebrain,shu,9,2,0.0349,2
codebrain,shu,9,4,0.0429,4
codebrain,shu,9,8,0.0596,8
codebrain,shu,10,1,0.0477,1
codebrain,shu,10,2,0.0477,2
codebrain,shu,10,4,0.0477,4
codebrain,shu,10,8,0.0802,8
codebrain,shu,11,1,0.0222,1
codebrain,shu,11,2,0.0502,2
codebrain,shu,11,4,0.0502,4
codebrain,shu,11,8,0.0844,8
codebrain,shu,12,1,0.0186,1
codebrain,shu,12,2,0.0186,2
codebrain,shu,12,4,0.0444,4
codebrain,shu,12,8,0.0953,8
codebrain,shu,13,1,0.0003,1
codebrain,shu,13,2,0.0187,2
codebrain,shu,13,4,0.0785,4
codebrain,shu,13,8,0.0785,8
codebrain,shu,14,1,0.0369,1
codebrain,shu,14,2,0.0369,2
codebrain,shu,14,4,0.0643,4
codebrain,shu,14,8,0.0643,8
codebrain,shu,15,1,0.0368,1
codebrain,shu,15,2,0.0368,2
codebrain,shu,15,4,0.0637,4
codebrain,shu,15,8,0.0637,8
codebrain,shu,16,1,0.0369,1
codebrain,shu,16,2,0.0369,2
codebrain,shu,16,4,0.0369,4
codebrain,shu,16,8,0.0939,8
codebrain,shu,17,1,0.0171,1
codebrain,shu,17,2,0.0171,2
codebrain,shu,17,4,0.0487,4
codebrain,shu,17,8,0.0487,8
codebrain,shu,18,1,0.0531,1
codebrain,shu,18,2,0.0568,2
codebrain,shu,18,4,0.0568,4
codebrain,shu,18,8,0.0952,8
codebrain,shu,19,1,0.0414,1
codebrain,shu,19,2,0.0414,2
codebrain,shu,19,4,0.0414,4
codebrain,shu,19,8,0.0414,8
codebrain,shu,20,1,0.0369,1
codebrain,shu,20,2,0.0369,2
codebrain,shu,20,4,0.0392,4
codebrain,shu,20,8,0.081,8
codebrain,shu,21,1,0.052,1
codebrain,shu,21,2,0.052,2
codebrain,shu,21,4,0.052,4
codebrain,shu,21,8,0.0726,8
codebrain,shu,22,1,0.0317,1
codebrain,shu,22,2,0.0317,2
codebrain,shu,22,4,0.0317,4
codebrain,shu,22,8,0.0629,8
codebrain,shu,23,1,0.0493,1
codebrain,shu,23,2,0.0493,2
codebrain,shu,23,4,0.0493,4
codebrain,shu,23,8,0.0743,8
codebrain,shu,24,1,0.032,1
codebrain,shu,24,2,0.032,2
codebrain,shu,24,4,0.0514,4
codebrain,shu,24,8,0.0578,8
codebrain,shu,25,1,0.0451,1
codebrain,shu,25,2,0.0451,2
codebrain,shu,25,4,0.0451,4
codebrain,shu,25,8,0.0691,8
cbramod,shu,1,1,0.0268,1
cbramod,shu,1,2,0.0268,2
cbramod,shu,1,4,0.0634,4
cbramod,shu,1,8,0.0634,8
cbramod,shu,2,1,0.0255,1
cbramod,shu,2,2,0.0255,2
cbramod,shu,2,4,0.0652,4
cbramod,shu,2,8,0.0652,8
cbramod,shu,3,1,0.0586,1
cbramod,shu,3,2,0.0586,2
cbramod,shu,3,4,0.0586,4
cbramod,shu,3,8,0.0586,8
cbramod,shu,4,1,0.0353,1
cbramod,shu,4,2,0.0353,2
cbramod,shu,4,4,0.0471,4
cbramod,shu,4,8,0.0471,8
cbramod,shu,5,1,0.0258,1
cbramod,shu,5,2,0.0435,2
cbramod,shu,5,4,0.0435,4
cbramod,shu,5,8,0.0435,8
cbramod,shu,6,1,0.0248,1
cbramod,shu,6,2,0.0248,2
cbramod,shu,6,4,0.0248,4
cbramod,shu,6,8,0.0399,8
cbramod,shu,7,1,0.0222,1
cbramod,shu,7,2,0.0257,2
cbramod,shu,7,4,0.0257,4
cbramod,shu,7,8,0.0327,8
cbramod,shu,8,1,0.0183,1
cbramod,shu,8,2,0.0183,2
cbramod,shu,8,4,0.0534,4
cbramod,shu,8,8,0.0541,8
cbramod,shu,9,1,0.0292,1
cbramod,shu,9,2,0.0292,2
cbramod,shu,9,4,0.0315,4
cbramod,shu,9,8,0.0573,8
cbramod,shu,10,1,0.0533,1
cbramod,shu,10,2,0.0533,2
cbramod,shu,10,4,0.0533,4
cbramod,shu,10,8,0.0533,8
cbramod,shu,11,1,0.0483,1
cbramod,shu,11,2,0.0483,2
cbramod,shu,11,4,0.0483,4
cbramod,shu,11,8,0.0521,8
cbramod,shu,12,1,0.0347,1
cbramod,shu,12,2,0.0347,2
cbramod,shu,12,4,0.0347,4
cbramod,shu,12,8,0.0377,8
cbramod,shu,13,1,0.0111,1
cbramod,shu,13,2,0.0566,2
cbramod,shu,13,4,0.0566,4
cbramod,shu,13,8,0.0588,8
cbramod,shu,14,1,0.0341,1
cbramod,shu,14,2,0.0341,2
cbramod,shu,14,4,0.039,4
cbramod,shu,14,8,0.0435,8
cbramod,shu,15,1,0.0236,1
cbramod,shu,15,2,0.0236,2
cbramod,shu,15,4,0.0462,4
cbramod,shu,15,8,0.0462,8
cbramod,shu,16,1,0.0386,1
cbramod,shu,16,2,0.0386,2
cbramod,shu,16,4,0.0386,4
cbramod,shu,16,8,0.0386,8
cbramod,shu,17,1,0.0234,1
cbramod,shu,17,2,0.0261,2
cbramod,shu,17,4,0.0397,4
cbramod,shu,17,8,0.0397,8
cbramod,shu,18,1,0.0519,1
cbramod,shu,18,2,0.0519,2
cbramod,shu,18,4,0.0519,4
cbramod,shu,18,8,0.0625,8
cbramod,shu,19,1,0.0329,1
cbramod,shu,19,2,0.0451,2
cbramod,shu,19,4,0.0451,4
cbramod,shu,19,8,0.0649,8
cbramod,shu,20,1,0.0291,1
cbramod,shu,20,2,0.0291,2
cbramod,shu,20,4,0.0291,4
cbramod,shu,20,8,0.0347,8
cbramod,shu,21,1,0.0553,1
cbramod,shu,21,2,0.0553,2
cbramod,shu,21,4,0.0553,4
cbramod,shu,21,8,0.0637,8
cbramod,shu,22,1,0.0169,1
cbramod,shu,22,2,0.0169,2
cbramod,shu,22,4,0.0546,4
cbramod,shu,22,8,0.0546,8
cbramod,shu,23,1,0.0326,1
cbramod,shu,23,2,0.0326,2
cbramod,shu,23,4,0.0326,4
cbramod,shu,23,8,0.0345,8
cbramod,shu,24,1,0.034,1
cbramod,shu,24,2,0.0473,2
cbramod,shu,24,4,0.0473,4
cbramod,shu,24,8,0.0526,8
cbramod,shu,25,1,0.0285,1
cbramod,shu,25,2,0.0285,2
cbramod,shu,25,4,0.0285,4
cbramod,shu,25,8,0.0594,8
