model,dataset,target_subject,pca_dim,source_val_bacc,target_bacc
codebrain,shu,1,128,0.5794,0.5112
codebrain,shu,2,128,0.5984,0.5917
codebrain,shu,3,128,0.628,0.526
codebrain,shu,4,128,0.6885,0.5503
codebrain,shu,5,128,0.6543,0.6064
codebrain,shu,6,128,0.5134,0.9023
codebrain,shu,7,128,0.6384,0.6373
codebrain,shu,8,128,0.7159,0.5843
codebrain,shu,9,128,0.6866,0.5063
codebrain,shu,10,128,0.5564,0.4945
codebrain,shu,11,128,0.6359,0.519
codebrain,shu,12,128,0.6095,0.5548
codebrain,shu,13,128,0.6516,0.7566
codebrain,shu,14,128,0.568,0.5469
codebrain,shu,15,128,0.5841,0.5014
codebrain,shu,16,128,0.6003,0.6207
codebrain,shu,17,128,0.6051,0.5299
codebrain,shu,18,128,0.6015,0.632
codebrain,shu,19,128,0.5683,0.7012
codebrain,shu,20,128,0.5223,0.8609
codebrain,shu,21,128,0.5754,0.7155
codebrain,shu,22,128,0.6599,0.6634
codebrain,shu,23,128,0.6136,0.6317
codebrain,shu,24,128,0.5823,0.4892
codebrain,shu,25,128,0.5778,0.4803
cbramod,shu,1,128,0.5529,0.487
cbramod,shu,2,128,0.5937,0.5126
cbramod,shu,3,128,0.6079,0.5137
cbramod,shu,4,128,0.6532,0.5296
cbramod,shu,5,128,0.6245,0.6034
cbramod,shu,6,128,0.5296,0.7952
cbramod,shu,7,128,0.6332,0.6332
cbramod,shu,8,128,0.6979,0.6033
cbramod,shu,9,128,0.6629,0.5157
cbramod,shu,10,128,0.5713,0.4986
cbramod,shu,11,128,0.6054,0.5089
cbramod,shu,12,128,0.6101,0.5407
cbramod,shu,13,128,0.627,0.7159
cbramod,shu,14,128,0.5445,0.5168
cbramod,shu,15,128,0.5606,0.56
cbramod,shu,16,128,0.5953,0.6375
cbramod,shu,17,128,0.579,0.5444
cbramod,shu,18,128,0.6098,0.6419
cbramod,shu,19,128,0.5757,0.7005
cbramod,shu,20,128,0.525,0.8507
cbramod,shu,21,128,0.5707,0.697
cbramod,shu,22,128,0.6393,0.6558
cbramod,shu,23,128,0.5903,0.6605
cbramod,shu,24,128,0.5688,0.5356
cbramod,shu,25,128,0.6035,0.4894
