backbone,variant,n_folds,mean_target_bacc,worst_fold_target_bacc,mean_target_nll,mean_target_ece,boundary_hit_count,collapse_warning_count,mean_entropy,delta_bacc_vs_erm,delta_bacc_vs_tta_control
EEGConformerMini,ERM_NO_ADAPT,9,0.41358024691358025,0.2534722222222222,5.18442405659613,0.5090140542659571,0,0,0.19587473996699492,0.0,0.0
EEGConformerMini,TALOS_D,9,0.41801697530864196,0.2586805555555555,5.849684275811402,0.520075621611951,9,0,0.1583772171716379,0.0044367283950617065,0.0044367283950617065
EEGConformerMini,TALOS_L,9,0.4157021604938272,0.2552083333333333,4.781862108264146,0.49650672273351504,0,0,0.2216770816769597,0.002121913580246937,0.002121913580246937
EEGConformerMini,TALOS_LD,9,0.41878858024691357,0.2517361111111111,5.476014381056185,0.5110646184863232,9,0,0.17833803812666796,0.005208333333333315,0.005208333333333315
EEGConformerMini,TTA_CONTROL_REPLAY,9,0.41358024691358025,0.2534722222222222,4.853978469281314,0.5015177433128237,0,0,0.21508441654524205,0.0,0.0
EEGNetMini,ERM_NO_ADAPT,9,0.40046296296296297,0.2621527777777778,2.4671723233077865,0.3441154310337762,0,0,0.6099411143855364,0.0,0.0
EEGNetMini,TALOS_D,9,0.45794753086419754,0.3090277777777778,1.7498658390828632,0.24744766738061935,9,0,0.7037671232706456,0.05748456790123457,0.05748456790123457
EEGNetMini,TALOS_L,9,0.4209104938271605,0.2743055555555556,2.144740440053028,0.30266512553739144,1,0,0.6698844549190025,0.02044753086419754,0.02044753086419754
EEGNetMini,TALOS_LD,9,0.4581404320987655,0.31076388888888884,1.7502540867320262,0.24582457227900567,9,0,0.7038099730808505,0.05767746913580252,0.05767746913580252
EEGNetMini,TTA_CONTROL_REPLAY,9,0.40046296296296297,0.2621527777777778,2.4182073608914094,0.34161452383034707,0,0,0.6167368719056128,0.0,0.0
