dataset,seed,target_subject,balanced_acc,macro_f1,source_bacc,best_epoch,best_source_val_bacc,final_val_source_bacc,zero_graph,zero_temporal,zero_spatial,permute_nodes,gate_graph,gate_temporal,gate_spatial
BNCI2014_001,0,1,0.4878,0.4927,0.5875,20,0.3507,0.3108,0.5538,0.5521,0.2795,0.4635,0.4551,0.1849,0.3599
BNCI2014_001,1,1,0.5365,0.5119,0.61,24,0.316,0.2552,0.6111,0.5382,0.2795,0.559,0.375,0.1971,0.4279
BNCI2014_001,2,1,0.3976,0.3681,0.7738,58,0.5434,0.3906,0.4635,0.4201,0.2743,0.4115,0.3576,0.1951,0.4473
BNCI2014_001,0,2,0.2917,0.2655,0.8772,116,0.3559,0.3056,0.2743,0.2569,0.2691,0.2552,0.2129,0.1982,0.5889
BNCI2014_001,1,2,0.2865,0.2273,0.5075,7,0.3108,0.283,0.2743,0.2812,0.2743,0.2587,0.1886,0.1173,0.6942
BNCI2014_001,2,2,0.2622,0.2359,0.7964,58,0.6163,0.5625,0.2535,0.25,0.2812,0.2569,0.3059,0.0901,0.604
BNCI2014_001,0,3,0.4983,0.4668,0.8817,131,0.3733,0.3472,0.533,0.4688,0.3142,0.4896,0.3194,0.1806,0.5001
BNCI2014_001,1,3,0.4427,0.4393,0.4392,6,0.3125,0.2552,0.4688,0.4705,0.2847,0.4635,0.1756,0.2207,0.6038
BNCI2014_001,2,3,0.4167,0.4046,0.6859,40,0.5226,0.3802,0.5,0.4132,0.2726,0.4149,0.4237,0.1722,0.4041
BNCI2014_001,0,4,0.3333,0.3001,0.6833,27,0.6042,0.4861,0.3472,0.342,0.2569,0.342,0.1525,0.1269,0.7205
BNCI2014_001,1,4,0.3073,0.3067,0.4419,4,0.3333,0.2691,0.309,0.3351,0.283,0.309,0.1298,0.3943,0.4759
BNCI2014_001,2,4,0.3264,0.3222,0.8227,60,0.5642,0.5104,0.3524,0.3212,0.283,0.3628,0.2873,0.1751,0.5376
BNCI2014_001,0,5,0.2448,0.1722,0.67,27,0.6146,0.4896,0.2552,0.2587,0.2656,0.2274,0.5479,0.0641,0.388
BNCI2014_001,1,5,0.2535,0.1719,0.4998,7,0.3056,0.283,0.2535,0.2587,0.2604,0.2552,0.4367,0.2563,0.3071
BNCI2014_001,2,5,0.2361,0.1507,0.8054,64,0.5729,0.5382,0.2448,0.2483,0.2587,0.25,0.209,0.3405,0.4505
BNCI2014_001,0,6,0.3125,0.3062,0.6696,26,0.6059,0.467,0.3108,0.3194,0.2587,0.309,0.1193,0.3471,0.5336
BNCI2014_001,1,6,0.2917,0.2584,0.8996,160,0.316,0.2969,0.2865,0.3299,0.2448,0.2951,0.0815,0.3742,0.5444
BNCI2014_001,2,6,0.3021,0.2864,0.597,20,0.5781,0.5,0.2986,0.3003,0.2517,0.3056,0.1113,0.2795,0.6092
BNCI2014_001,0,7,0.2413,0.2221,0.683,26,0.6215,0.4653,0.2795,0.2413,0.2465,0.2378,0.4366,0.1308,0.4326
