artifact_sha256,unit_id,dataset,rows,feature_dimension,backend,max_abs_error,p95_abs_error,p99_abs_error,logit_abs_max,logit_abs_p95,finite,saved_wzb_vs_logits_max,saved_softmax_max,repeat_logits_max,repeat_z_max
e72393fe861fc746b114bd357dce9390ff6a4b14fb33fbb1cd603a3506bb750a,c84l1_000d62b62a7bf8f26b4627e0c5504d0f,Cho2017,4000,1040,CPU_PyTorch_float32,1.0132789611816406e-06,3.5762786865234375e-07,4.76837158203125e-07,3.167969226837158,1.4515998363494873,1,2.1457672119140625e-06,1.1920928955078125e-07,0.0,0.0
e72393fe861fc746b114bd357dce9390ff6a4b14fb33fbb1cd603a3506bb750a,c84l1_000d62b62a7bf8f26b4627e0c5504d0f,Cho2017,4000,1040,NumPy_float32,2.5033950805664062e-06,6.258487701416016e-07,1.0728836059570312e-06,3.167969226837158,1.4515998363494873,1,2.1457672119140625e-06,1.1920928955078125e-07,0.0,0.0
e72393fe861fc746b114bd357dce9390ff6a4b14fb33fbb1cd603a3506bb750a,c84l1_000d62b62a7bf8f26b4627e0c5504d0f,Cho2017,4000,1040,NumPy_float64,8.95058437144769e-07,2.675496972609492e-07,4.083193218873405e-07,3.167969226837158,1.4515998363494873,1,2.1457672119140625e-06,1.1920928955078125e-07,0.0,0.0
9d9980001b754584be7090033538d239fd05f788ce6ded4dc1999c0382648732,c84l1_00133829c50564d711bcb6b6f63e016b,Cho2017,4000,1040,CPU_PyTorch_float32,1.9073486328125e-06,4.76837158203125e-07,9.5367431640625e-07,8.84687328338623,4.565650463104248,1,4.76837158203125e-06,1.1920928955078125e-07,0.0,0.0
9d9980001b754584be7090033538d239fd05f788ce6ded4dc1999c0382648732,c84l1_00133829c50564d711bcb6b6f63e016b,Cho2017,4000,1040,NumPy_float32,6.67572021484375e-06,1.430511474609375e-06,2.1457672119140625e-06,8.84687328338623,4.565650463104248,1,4.76837158203125e-06,1.1920928955078125e-07,0.0,0.0
9d9980001b754584be7090033538d239fd05f788ce6ded4dc1999c0382648732,c84l1_00133829c50564d711bcb6b6f63e016b,Cho2017,4000,1040,NumPy_float64,1.5302371849656993e-06,4.783149613385437e-07,7.550195242078672e-07,8.84687328338623,4.565650463104248,1,4.76837158203125e-06,1.1920928955078125e-07,0.0,0.0
5cfbfd4cfc5be29dc80aed9f88eb4751f0260044e2607b53880509734e9937e5,c84l1_0069c4248758733b79002b1254f81d4f,PhysionetMI,3421,1040,CPU_PyTorch_float32,2.86102294921875e-06,9.5367431640625e-07,1.6689300537109375e-06,14.857544898986816,7.080235004425049,1,6.67572021484375e-06,1.1920928955078125e-07,0.0,0.0
5cfbfd4cfc5be29dc80aed9f88eb4751f0260044e2607b53880509734e9937e5,c84l1_0069c4248758733b79002b1254f81d4f,PhysionetMI,3421,1040,NumPy_float32,7.152557373046875e-06,2.384185791015625e-06,3.337860107421875e-06,14.857544898986816,7.080235004425049,1,6.67572021484375e-06,1.1920928955078125e-07,0.0,0.0
5cfbfd4cfc5be29dc80aed9f88eb4751f0260044e2607b53880509734e9937e5,c84l1_0069c4248758733b79002b1254f81d4f,PhysionetMI,3421,1040,NumPy_float64,2.970594186635367e-06,8.913548167566175e-07,1.2668641146440512e-06,14.857544898986816,7.080235004425049,1,6.67572021484375e-06,1.1920928955078125e-07,0.0,0.0
156018c86710ef1782a9587663229f0d64d78a0f63e4170639805a069261e5ff,c84l1_0099f60cb3b4c89831d36688710bba11,PhysionetMI,3421,1040,CPU_PyTorch_float32,2.86102294921875e-06,9.5367431640625e-07,1.4480948448181196e-06,16.483394622802734,7.031746864318848,1,7.62939453125e-06,1.1920928955078125e-07,0.0,0.0
156018c86710ef1782a9587663229f0d64d78a0f63e4170639805a069261e5ff,c84l1_0099f60cb3b4c89831d36688710bba11,PhysionetMI,3421,1040,NumPy_float32,8.58306884765625e-06,2.384185791015625e-06,3.6954879760742188e-06,16.483394622802734,7.031746864318848,1,7.62939453125e-06,1.1920928955078125e-07,0.0,0.0
156018c86710ef1782a9587663229f0d64d78a0f63e4170639805a069261e5ff,c84l1_0099f60cb3b4c89831d36688710bba11,PhysionetMI,3421,1040,NumPy_float64,3.2611864710929694e-06,8.624705171378362e-07,1.261026469059347e-06,16.483394622802734,7.031746864318848,1,7.62939453125e-06,1.1920928955078125e-07,0.0,0.0
12f5055856c46c26c61193649835a368cc5cccd3da636709d3b138d9713dc302,c84l1_00b03f70e02cea51b1792f0a29d91031,PhysionetMI,3421,1040,CPU_PyTorch_float32,4.76837158203125e-06,9.834766387939453e-07,1.9073486328125e-06,14.337690353393555,7.157837390899658,1,7.152557373046875e-06,1.1920928955078125e-07,0.0,0.0
12f5055856c46c26c61193649835a368cc5cccd3da636709d3b138d9713dc302,c84l1_00b03f70e02cea51b1792f0a29d91031,PhysionetMI,3421,1040,NumPy_float32,7.152557373046875e-06,2.384185791015625e-06,3.337860107421875e-06,14.337690353393555,7.157837390899658,1,7.152557373046875e-06,1.1920928955078125e-07,0.0,0.0
12f5055856c46c26c61193649835a368cc5cccd3da636709d3b138d9713dc302,c84l1_00b03f70e02cea51b1792f0a29d91031,PhysionetMI,3421,1040,NumPy_float64,2.65421232725771e-06,8.880622367701817e-07,1.3394012898748643e-06,14.337690353393555,7.157837390899658,1,7.152557373046875e-06,1.1920928955078125e-07,0.0,0.0
5ec64ebccda1273e21898d63c585d28396a5cab069babc61f4e03e9648d21d00,c84l1_00cb2c89efa87efe281dbb9229c63e53,Cho2017,4000,1040,CPU_PyTorch_float32,1.239776611328125e-05,3.3974647521972656e-06,5.127191543579128e-06,22.928443908691406,10.274676322937012,1,1.52587890625e-05,1.1920928955078125e-07,0.0,0.0
5ec64ebccda1273e21898d63c585d28396a5cab069babc61f4e03e9648d21d00,c84l1_00cb2c89efa87efe281dbb9229c63e53,Cho2017,4000,1040,NumPy_float32,2.193450927734375e-05,6.198883056640625e-06,9.5367431640625e-06,22.928443908691406,10.274676322937012,1,1.52587890625e-05,1.1920928955078125e-07,0.0,0.0
5ec64ebccda1273e21898d63c585d28396a5cab069babc61f4e03e9648d21d00,c84l1_00cb2c89efa87efe281dbb9229c63e53,Cho2017,4000,1040,NumPy_float64,1.0063620615952118e-05,3.0251523429392066e-06,4.631418602576432e-06,22.928443908691406,10.274676322937012,1,1.52587890625e-05,1.1920928955078125e-07,0.0,0.0
