field,dtype_exact,shape_exact,canonical_byte_sha256_exact,prewrite_postreload_equal,status
unit_id,1,1,1,1,LOCKED
dataset,1,1,1,1,LOCKED
panel,1,1,1,1,LOCKED
training_seed,1,1,1,1,LOCKED
level,1,1,1,1,LOCKED
level_intervention_id,1,1,1,1,LOCKED
regime,1,1,1,1,LOCKED
epoch,1,1,1,1,LOCKED
trajectory_order,1,1,1,1,LOCKED
target_subject_id,1,1,1,1,LOCKED
target_trial_id,1,1,1,1,LOCKED
session,1,1,1,1,LOCKED
run,1,1,1,1,LOCKED
logits,1,1,1,1,LOCKED
probabilities,1,1,1,1,LOCKED
z,1,1,1,1,LOCKED
Wz_plus_b,1,1,1,1,LOCKED
classifier_weight,1,1,1,1,LOCKED
classifier_bias,1,1,1,1,LOCKED
repeat_logits,1,1,1,1,LOCKED
repeat_z,1,1,1,1,LOCKED
