ordinal,field,target_label_field,schema_version
1,unit_id,0,c84f_target_unlabeled_v2
2,dataset,0,c84f_target_unlabeled_v2
3,panel,0,c84f_target_unlabeled_v2
4,training_seed,0,c84f_target_unlabeled_v2
5,level,0,c84f_target_unlabeled_v2
6,level_intervention_id,0,c84f_target_unlabeled_v2
7,regime,0,c84f_target_unlabeled_v2
8,epoch,0,c84f_target_unlabeled_v2
9,trajectory_order,0,c84f_target_unlabeled_v2
10,target_subject_id,0,c84f_target_unlabeled_v2
11,target_trial_id,0,c84f_target_unlabeled_v2
12,session,0,c84f_target_unlabeled_v2
13,run,0,c84f_target_unlabeled_v2
14,logits,0,c84f_target_unlabeled_v2
15,probabilities,0,c84f_target_unlabeled_v2
16,z,0,c84f_target_unlabeled_v2
17,Wz_plus_b,0,c84f_target_unlabeled_v2
18,classifier_weight,0,c84f_target_unlabeled_v2
19,classifier_bias,0,c84f_target_unlabeled_v2
20,repeat_logits,0,c84f_target_unlabeled_v2
21,repeat_z,0,c84f_target_unlabeled_v2
