object,path,size_bytes,sha256,role
C85T_RESULT.json,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/C85T_RESULT.json,3144,ecaff65e942dbb81d93a3bdb61589fa9f1f6590f7188947688e6b30617140cec,C85T_CONTROL
C85T_RESULT_ARTIFACT_MANIFEST.json,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/C85T_RESULT_ARTIFACT_MANIFEST.json,3705,a727beebcb45598ea0f92f37bed8ef32369b1c793ecad9efc2f5d9941bd5bb0e,C85T_CONTROL
C85T_V3_SEMANTIC_REPLAY_RECEIPT.json,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/C85T_V3_SEMANTIC_REPLAY_RECEIPT.json,868,735edf13a24c074cb3c18e56d168ebd905b3a7bcb29e3c273b3652bb1b7dcc6e,C85T_CONTROL
C85T_V3_COMPLETION_RECEIPT.json,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/C85T_V3_COMPLETION_RECEIPT.json,1281,418f74e4c3cf60847b11bf18a890ffebf870ed8adee1a75d304b01075646e65d,C85T_CONTROL
T1,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/c85t_proof_candidates/T1_blackwell_monotonicity.md,1461,57ef99b65846ff62dc1471de311433c8a605774721bd0dbaf89c8a1bd0de98cf,FROZEN_PROOF_CANDIDATE
T2,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/c85t_proof_candidates/T2_restricted_policy_counterexamples.md,1350,417a7496bebff41a8ca1c0240c5a5c7d690124b8fe33c49194d4c51458f2b6fc,FROZEN_PROOF_CANDIDATE
T3,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/c85t_proof_candidates/T3_policy_collapse.md,1391,cdeda8e9feae09a13617dabc82735633fe39affe7fcd7b9a3aca628e957088d1,FROZEN_PROOF_CANDIDATE
T4,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/c85t_proof_candidates/T4_two_state_lecam_regret_bound.md,1519,9238f914c1bb5efbf5980050b02e0e72e20c934ea30f1287967f2ecc70755d03,FROZEN_PROOF_CANDIDATE
T5,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/c85t_proof_candidates/T5_fano_extension.md,1317,a6a38358dc3bf1bc2b39e1fda8bdece0a2a416b7627bb16bd671047724d90188,FROZEN_PROOF_CANDIDATE
T6,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/c85t_proof_candidates/T6_mean_tail_counterexample.md,1361,d9325fab96d634b5164a3528c0bb9da484d4b20714116027f5bb39d5826b917f,FROZEN_PROOF_CANDIDATE
T7,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/c85t_proof_candidates/T7_near_optimal_union_bound.md,1406,1316236128ae0389f681459ff28dfa99a248b3ad73357208821bb3220476a857,FROZEN_PROOF_CANDIDATE
exact_scenario_results.json,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/exact_scenario_results.json,1861,dde13367e7c43403d54e196a250dc7c6b5692f7fc0323b1ceb015d0aa0e39d0f,EXACT_FINITE_REVIEW_INPUT
proof_candidate_dispositions.csv,/projects/EEG-foundation-model/yinghao/oaci-c85t-synthetic-v3/c85t-v3-3ee51a994969ebaa-9ec012bedbf24f1f/proof_candidate_dispositions.csv,1114,17a279f0f240ab2316c5371f08be0727cd58a992c31fe6bd99a1509c5db4601e,CANDIDATE_DISPOSITION_REGISTRY
