subset_seed,train_seed,A0_L1_heldout,A1SE_L1_heldout,drop_heldout,A0_L1_insample,A1SE_L1_insample,drop_insample,source_val_bacc,n_pairs_heldout
0,0,0.9444,0.8611,0.0833,0.9389,0.9833,-0.0444,0.6111,6
0,1,0.9444,0.8778,0.0667,0.9389,0.9556,-0.0167,0.6389,6
0,2,0.9444,0.8556,0.0889,0.9389,0.9556,-0.0167,0.6111,6
0,3,0.9444,0.7722,0.1722,0.9389,0.9667,-0.0278,0.6111,6
0,4,0.9444,0.8611,0.0833,0.9389,0.9889,-0.05,0.7222,6
1,0,0.9278,0.9278,-0.0,0.9167,0.9889,-0.0722,0.5929,6
1,1,0.9278,0.9,0.0278,0.9167,0.9722,-0.0556,0.6749,6
1,2,0.9278,0.8389,0.0889,0.9167,0.9889,-0.0722,0.5929,6
1,3,0.9278,0.7833,0.1444,0.9167,0.9889,-0.0722,0.5341,6
1,4,0.9278,0.85,0.0778,0.9167,1.0,-0.0833,0.7043,6
2,0,0.9722,0.9111,0.0611,0.9778,0.9889,-0.0111,0.5375,6
2,1,0.9722,0.9389,0.0333,0.9778,1.0,-0.0222,0.6375,6
2,2,0.9722,0.8722,0.1,0.9778,1.0,-0.0222,0.4813,6
2,3,0.9722,0.9278,0.0444,0.9778,1.0,-0.0222,0.5563,6
2,4,0.9722,0.9111,0.0611,0.9778,0.9944,-0.0167,0.5,6
