scalar_name,semantic_class,bit_budget_mode,num_bins,threshold_scope,hit,coverage,closed_fraction_vs_c53_gap,cell_close_count,cell_hit_ge_0_7_count,same_label_derived,available_at_selection_time,target_label_derived,diagnostic_only,no_selection_artifact
target_joint_margin_raw:high,S5_same_label_oracle_margin,binary_sign,2,global_threshold,0.9444444444444444,1.0,1.0,153,153,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,tertile,3,global,0.8775940623162846,1.0,0.8536518661518663,141,141,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,tertile,3,within_target,0.8169555813346662,1.0,0.720902759138053,123,123,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,tertile,3,within_trajectory,0.7147374744596966,1.0,0.49712798462798446,105,105,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,tertile,3,within_target_trajectory_cell,0.7147374744596966,1.0,0.49712798462798446,105,105,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,quartile,4,global,0.8433979147214441,1.0,0.7787900295253236,123,123,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,quartile,4,within_target,0.8589843344745306,1.0,0.8129116511469454,135,135,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,quartile,4,within_trajectory,0.7739564961787184,1.0,0.6267696267696269,117,117,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,quartile,4,within_target_trajectory_cell,0.7739564961787184,1.0,0.6267696267696269,117,117,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,quintile,5,global,0.9305555555555556,1.0,0.9695945945945947,150,150,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,quintile,5,within_target,0.869488536155203,1.0,0.8359073359073365,135,135,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,quintile,5,within_trajectory,0.798015873015873,1.0,0.6794401544401544,117,117,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,quintile,5,within_target_trajectory_cell,0.798015873015873,1.0,0.6794401544401544,117,117,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,decile,10,global,0.9351851851851852,1.0,0.9797297297297299,150,150,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,decile,10,within_target,0.9027777777777778,1.0,0.9087837837837839,141,141,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,decile,10,within_trajectory,0.8703703703703703,1.0,0.8378378378378378,132,132,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,decile,10,within_target_trajectory_cell,0.8703703703703703,1.0,0.8378378378378378,132,132,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,rank_only,0,within_target_trajectory_cell,0.9444444444444444,1.0,1.0,153,153,1,0,1,1,1
target_joint_margin_raw:high,S5_same_label_oracle_margin,continuous_raw,0,raw,0.9444444444444444,1.0,1.0,153,153,1,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,binary_sign,2,global_threshold,0.8195484483887477,1.0,0.7265790356618532,117,117,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,tertile,3,global,0.8279140612473945,1.0,0.7448929448929448,126,126,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,tertile,3,within_target,0.7488679787290898,1.0,0.5718461155961156,102,102,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,tertile,3,within_trajectory,0.6956384150828595,1.0,0.4553165303165303,99,99,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,tertile,3,within_target_trajectory_cell,0.6956384150828595,1.0,0.4553165303165303,99,99,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,quartile,4,global,0.8316239316239316,1.0,0.7530145530145529,117,117,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,quartile,4,within_target,0.8303961470628138,1.0,0.7503267003267006,117,117,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,quartile,4,within_trajectory,0.7293062904174015,1.0,0.5290218790218789,102,102,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,quartile,4,within_target_trajectory_cell,0.7293062904174015,1.0,0.5290218790218789,102,102,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,quintile,5,global,0.8639510181176848,1.0,0.8237846612846614,135,135,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,quintile,5,within_target,0.8420588508307807,1.0,0.7758585653322496,120,120,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,quintile,5,within_trajectory,0.7412257495590829,1.0,0.5551158301158302,105,105,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,quintile,5,within_target_trajectory_cell,0.7412257495590829,1.0,0.5551158301158302,105,105,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,decile,10,global,0.8950617283950617,1.0,0.8918918918918919,141,141,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,decile,10,within_target,0.8719135802469136,1.0,0.8412162162162162,132,132,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,decile,10,within_trajectory,0.8209876543209876,1.0,0.7297297297297297,111,111,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,decile,10,within_target_trajectory_cell,0.8209876543209876,1.0,0.7297297297297297,111,111,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,rank_only,0,within_target_trajectory_cell,0.9259259259259259,1.0,0.9594594594594595,150,150,0,0,1,1,1
target_bacc_delta:high,S3_target_endpoint_component_label,continuous_raw,0,raw,0.9259259259259259,1.0,0.9594594594594595,150,150,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,binary_sign,2,global_threshold,0.6040451279445861,1.0,0.2548014963111209,75,75,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,tertile,3,global,0.7092734142177622,1.0,0.4851661230172633,93,93,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,tertile,3,within_target,0.6897396329542872,1.0,0.4424029802512774,93,93,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,tertile,3,within_trajectory,0.6527196568863235,1.0,0.36135924885924875,93,93,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,tertile,3,within_target_trajectory_cell,0.6527196568863235,1.0,0.36135924885924875,93,93,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,quartile,4,global,0.6893963168085975,1.0,0.44165139625665933,96,96,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,quartile,4,within_target,0.7010712449394939,1.0,0.4672100227053786,93,93,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,quartile,4,within_trajectory,0.6954585537918871,1.0,0.45492277992278,99,99,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,quartile,4,within_target_trajectory_cell,0.6954585537918871,1.0,0.45492277992278,99,99,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,quintile,5,global,0.740914209915758,1.0,0.5544338108966593,108,108,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,quintile,5,within_target,0.7356981854903538,1.0,0.5430149466140178,102,102,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,quintile,5,within_trajectory,0.704673721340388,1.0,0.47509652509652506,96,96,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,quintile,5,within_target_trajectory_cell,0.704673721340388,1.0,0.47509652509652506,96,96,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,decile,10,global,0.7922415547415548,1.0,0.6667990792990794,123,123,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,decile,10,within_target,0.7737762237762238,1.0,0.6263749763749764,111,111,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,decile,10,within_trajectory,0.7314814814814815,1.0,0.5337837837837839,96,96,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,decile,10,within_target_trajectory_cell,0.7314814814814815,1.0,0.5337837837837839,96,96,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,rank_only,0,within_target_trajectory_cell,0.8333333333333334,1.0,0.7567567567567569,135,135,0,0,1,1,1
target_nll_delta:high,S3_target_endpoint_component_label,continuous_raw,0,raw,0.8333333333333334,1.0,0.7567567567567569,135,135,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,binary_sign,2,global_threshold,0.5850532135995119,1.0,0.21322460274487742,66,66,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,tertile,3,global,0.6144065725095772,1.0,0.27748465873718253,81,81,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,tertile,3,within_target,0.6823513992696139,1.0,0.42622873894158714,90,90,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,tertile,3,within_trajectory,0.6330547538880872,1.0,0.3183090558090557,81,81,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,tertile,3,within_target_trajectory_cell,0.6330547538880872,1.0,0.3183090558090557,81,81,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,quartile,4,global,0.6740545842598983,1.0,0.4080654412176152,99,99,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,quartile,4,within_target,0.6524796083275615,1.0,0.3608337371495265,87,87,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,quartile,4,within_trajectory,0.6689079952968842,1.0,0.3967985842985843,96,96,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,quartile,4,within_target_trajectory_cell,0.6689079952968842,1.0,0.3967985842985843,96,96,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,quintile,5,global,0.6910333493666827,1.0,0.4452351702351703,99,99,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,quintile,5,within_target,0.7278280167778218,1.0,0.5257856583514479,105,105,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,quintile,5,within_trajectory,0.6896825396825397,1.0,0.4422779922779923,99,99,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,quintile,5,within_target_trajectory_cell,0.6896825396825397,1.0,0.4422779922779923,99,99,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,decile,10,global,0.7249050332383665,1.0,0.5193866943866943,108,108,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,decile,10,within_target,0.7015178237400459,1.0,0.46818766818766805,102,102,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,decile,10,within_trajectory,0.7222222222222222,1.0,0.5135135135135135,90,90,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,decile,10,within_target_trajectory_cell,0.7222222222222222,1.0,0.5135135135135135,90,90,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,rank_only,0,within_target_trajectory_cell,0.7037037037037037,1.0,0.472972972972973,114,114,0,0,1,1,1
target_ece_delta:high,S3_target_endpoint_component_label,continuous_raw,0,raw,0.7037037037037037,1.0,0.472972972972973,114,114,0,0,1,1,1
